car_brand,car_model,comments,likes
현대,마르샤,뭐든 주제가 확실해야 구매층이 생기는 것 같습니다~ㅎㅎ 추억의 마르샤네요~ 이병헌이 선전했던 차도 기억이 나네요 ^^,1
현대,마르샤,마르샤의 출생하면 .. 다이너스티 이야기가 꼭 나와야죠 ㅋㅋㅋㅋ,2
현대,마르샤,"'사고싶기는 한데... 이거 살 바에는 그랜져나 소나타를 산다.'즉 가성비를 따져서 구매한다는 말씀이 팩트.  차량가격 상관없이 차만 보는 사람은 마르샤를 구입했음. 이것도 팩트. 그런데 지금도 그렇지만, 가성비를 따지는 사람들이 많다보니 당시 판매량이 좋지않았음...현대자동차에게 그닥 큰 이익을 주는 제품은 아니였기에 바로 단종... 하...",1
현대,마르샤,마르샤 21년 탔는데요.오디오풀튜닝과 방음으로 무게가 180kg늘어난 상태로 쇼바 튜닝하고 일상주행늘 해보면  뉴그랜져랑  주행느낌이 90%이상 비슷합니다..정비공장에서 뉴그랜져 2.0수리후 테스트 드라이브 하며 고속도로 주행하며 껍데기를 무시하고 마르샤체중 늘리면 마르샤랑 별반차이 없음을 체감하게 됩니다.그러다 소나타로 옮겨타니 통통튀는 작은차타는 느낌 확 오고요.현재 LF2.0 터보 소유 하는데 힘만 100마력 넘쳐나지 나머지 주행질감 승차감.감성 전부 다운그레이드된 기분을 피할길 없네요.2.0터보에 225타이어에 전자제어 쇼바 장착된 1500kg대 체중으로 재탄생 된다면 아마 애매한 포지션의 e300.520i 등등 고만고만한 수입 중형차 안부러울수 있을거 라는 상상만 해보네요.,1
현대,마르샤,영상이 반복만되고~실내도 보여줘야지 ~~답답해,1
현대,마르샤,영상을 보여주다 만느낌,1
현대,마르샤,가장 큰 이유는 만들다만것 같은 후면 디자인,1
현대,마르샤,마르샤 차 진짜 신경 많이 쓴 차다. 사람들은 외모로 차를 취하지만 내구성이나 기타 편의성이 소나타와는 넘사벽이다. 그랜져가 대형으로 나왔지만 그저 그런거라면 오히려 마르샤가 포지셔닝이 정확한데 돈을 왜그렇게 비싸게 쳐발랐는지 좀 이해가 안되는부분이다.,16
현대,마르샤,너무 자세하게 알려주셔서 감사합니다.,2
현대,마르샤,저렇게 애매모호한 포지션 차량은 인기를 못끈다는 것을 아슬란이 다시 보여주었죠ㅋ,6
현대,마르샤,고급 정보 감사합니다!!!!,3
현대,마르샤,그 당시 고속도로 달리면 잘나가서 속도 경쟁하던 차뒤에서 따라가보면 역시나 마르샤구나 했던개인사업자 사장님들이나전문직 분들이 많이 탔던 차였습니다.,2
현대,마르샤,"자동차 역사 언제나 잘보고가요~ 갤로퍼, 스타렉스 부탁드립니당",1
현대,마르샤,차는 참 좋았습니다. 운행시 부드러움과 괜찮은 승차감..아부지가 모셨는데 저도 처음으로 이차로 운전연습을 ㅎ,2
현대,마르샤,오오옹! 잘 만드셨다. 편집 실력 대단하시네요!,2
현대,마르샤,디자인만 남겨놓고 작렬하게 전사한 마르샤씨와 아슬란씨....(디자인은 ㄹㅇ 이쁨...ㅋㅋ),1
현대,마르샤,돈이 없어서 그랜져를 못사는게 아니라 직장상사 눈치보여서가 대부분이었죠.. 그래서 무쏘도 가격은 다이너스티랑 비슷했는데 SUV라 눈치 안보이고 많이 타고다녔었어요,1
현대,마르샤,우리 집 앞에 마르샤 주차되있는데...영상으로 보니까 멋지네,2
현대,마르샤,"당시 EPS가 달려 가볍고 부드러운 핸들링으로 인해 아줌마들의 사랑을 받기도 했었죠. 물론 당시 EPS 수준이 너무 낮은 편이라 저속, 고속 상관없이 장난감처럼 휙휙 돌아간 턱에 선배 한명은 마르샤로 고속도로에서 앞차 피하다가 이승 뜰뻔하기도. 하튼 쏘나타와 같은 실내지만 주행시 좀더 정숙했고 전반적으로 고급진 차라는 느낌이 물씬 풍겼음.",3
현대,마르샤,영상 만드신다고 고생이 많으십니다.,1
현대,마르샤,이 영상 너무 재미있게 봤어요.,3
현대,마르샤,신차 사서 만21년 타고 깨끗하게 세차해서 폐차했는데  전날 눈물이 막나오더라구요  생애 첫차이기도 하고  타이밍벨트 클러치디스크 까지 자가정비 하면서 타서 정이 많이 들었는데 남은건 추억뿐,1
현대,마르샤,마르샤 2.5는 차도 가볍고 배기량도 높아서 아무도 못따라왔었음,2
현대,마르샤,마르샤를 더 자세히 알게되었네요 ㅎㅎ 좋아요 누르고 갑니다 ㅎㅎ,6
현대,마르샤,가격 조율하고 조금더 신경 쓰고 쏘나타 시리즈로 출시됫다면 히트 첫을껀데...아깝네요...아슬란도 배기량 줄이고 감량좀 하고 옵션 분배해서 쏘나타 후속으로 나왔거나 완전 전기로 출시됫으면 k5오징어화 시켜버리고그랜저 보다 더 많이 팔렸을텐데,2
현대,마르샤,오옹오옹 이거정말보고싶었는데..엔초님 정말감사해용!!,2
현대,마르샤,그래도 디자인만큼은 괜찮았었는데... 단종된다는게 너무나 아쉅고 아깝다는생각이...,1
현대,마르샤,저 차  아빠께서  2016년까지 타셨는데  그때  2012년(7살) 때   뒷좌석  문닫을 때   손  낑겨서  조수석에서  에어컨으로 손  아픈거 풀었는데  그게 생각난다 비록 지금은  쏘렌토지만,3
현대,마르샤,속도감응 쇼바는 요즘차에도 잘 없는 옵션. 좋은 차임.,1
현대,마르샤,마르샤 우리아빠 젊을때 타고다니던거!~^^,4
현대,마르샤,마르샤도 꽤 괜찮은 찬데...,2
현대,마르샤,"우리 아버지 차였는데, 애매한 포지셔닝 및 가격이 실패의 원인이었음.",1
현대,마르샤,재밌네요..구독합니다,2
현대,마르샤,저도 마르샤 운행해본경험을토대로말씀드립니다당시 96년식 2500cc 풀옵이었죠승차감 정숙성 호환성은 마르샤를못타라갑니다(제 경험이니 악플삼가부탁이요),2
현대,마르샤,마르샤 큰 인기를 끌지 못하고 허망하게 1998년 10월 1일에 단종 되다니ㅠㅠ,1
현대,마르샤,그러고보니 마르샤가 그랜저만의 특유의 이어진 후미등을 계승했네..?(사실 쏘나타 2도 이어진 후미등이지만..),2
현대,마르샤,롤스로이스 역사 부탁드립니다^^,1
현대,마르샤,마르샤 전동시트 ecm룸미러 그당시에는 첨단옵션이였죠,2
현대,마르샤,말샤 내리고 에쿠스 출시를 대비해서 그랜저의 포지셔닝을 바꿨죠.,2
현대,마르샤,알람떠서 왔는데 늦졌다ㅋ 마르샤 다시나오면 사고싶네ㅋ,3
현대,마르샤,옛날에는 마르샤가 엄청 무서웠는데;;;라이트가 너무 찢어져서(?) 구아방보더 더 길쭉했기에;;;,12
현대,마르샤,마르샤 명차인데 포지셔닝 ㄹㅇ 똥망이라 망한 차죠...만약 마르샤와 같은 차가 또 있냐고 물으신다면 있습니다. 바로 어슬렁이죠 ㅋㅋㅋㅋ아니 그랜져 윗급이라면서 디자인만 다르면 머하자는 ㅋㅋㅋㅋ 조금 신경써서 후륜으로만 만들어줘도 좋았을 녀석 ㅋㅋㅋㅋㅋ 돈 좀 더 쓰게 만들려는 못된 심보가 드러나는 대표적 차량이죠,2
