car_brand,car_model,comments,likes
현대,베라크루즈,"국내 베라크루즈 시승기 찾기가 쉽지 않은데 덕분에 잘봤습니다. 중고차 시장이 점점 활성화 되어가고 있고, 어려운 경제상황에서는 새차보다는 상태좋은 중고차를 찾기 마련인데, 이렇게 연식이 된 차량 설명이 된거보니까 다른 리뷰어들과는 조금 차별화되어서 좋네요! 개인적으로 중고차 전문 시승기 유튜버가 있으면 차량구매하기전 많은 도움이 될것 같았거든요. 아무튼, 첫 시작이니만큼 용기 잃지마시고 좋은 컨텐츠로 구독자들에게 보답하길 바라겠습니다. 좋아요~ ㄱㄱ 추가로, bgm 때문에 실내부분 설명할때 목소리가 묻히는감이 있네요~",3
현대,베라크루즈,베라크루즈 지금봐도 질리지않는 세련된 디자인이죠,31
현대,베라크루즈,저희 부모님이 11년식 베라타시는데 부모님이 아주 길을 잘들여놔서 이 차를탈때마다 굉장히편안함을 느낍니다.역시 suv의 제왕 베라입니다.!!,6
현대,베라크루즈,잘봤습니다.^^ 응원합니다.신차뿐 아니라 이렇게 년식좀 지난차량도 많은 리뷰 바라겠습니다.,5
현대,베라크루즈,"베라크루즈 영상은 최근 근황, 관리도 올려주세요,, 디자인은 정말 10년,20년이 흘러도 꿇리지 않을 거 같네요.",8
현대,베라크루즈,베라 중고 알아보시는분들 많으시네요^^ 저도 베라 끝물 찾고있어요 14년식정도로..ㅎㅎ 주변에서 칭찬이 자자한차들이라 기대도 됩니다만 타는차가 팔려야하는데 영 안팔려서 맘이 답다압 합니다요.. 모터피디 응원해봅니다^^,2
현대,베라크루즈,"hey charlie, I really liked this review, made me search and want to know more about Hyundai SUV`s...  Maybe I change my mind and get myself a Veracruz rather than a Mercedes ML.. respect",5
현대,베라크루즈,저희 매형이 타시는데 오늘 봤더니 48만km를 넘었드라구요. 그런데도 아직 내구성이 튼튼하던데요 머플러 끝부분 그을린 것만 빼고. 개인적으로 suv에선 최강자라 봅니다. 지금은 단종이지만 외려 맥스크루즈보다 디자인이 더 깔끔한 것 같아요. 연비를 물어보니 파주 금촌에서 법원리쪽으로 매일 운행을 하시는데 6만원에 500km정도 타시드라고요. 좋은 리뷰 잘 봤습니다.^^,6
현대,베라크루즈,어릴때 드림카였죠..단종되서 정말 아수웠고..지금 다시 찾는중입니다...좋은시승기 잘봤습니다,3
현대,베라크루즈,정말베라를  사랑하시는거같네요 좋은 시승기보고갑니다,4
현대,베라크루즈,이분의 초창기 모습이네요 ㅋㅋㅋㅋ 지금은 잘하고 계시네요.,3
현대,베라크루즈,추천으로 떠서 클릭했는데 이게 모토피디 첫영상이었나보군요.. 저는 개인적으로 디자인이 너무 별로라(sm5가 죠스바 닮았다던데 전 이 차 앞태가 더 죠스바같습니다^^) 관심외 차였는데 평은 참 좋은 차 같습니다. 앞으로도 좋은 리뷰들 많이 부탁드려요,6
현대,베라크루즈,저도 베라 12년식 4륜 타고있는데  13만키로  아주만족하고 타고있습니다  승차감  가속력  suv차량중 최고가 아닐까요  아주좋은차입니다,4
