car_brand,car_model,comments,likes
현대,베르나,고갯마루는 국산 수입 차별없이 있었는지도 모를 차들 갖고나와서 리뷰해주시니 오히려 좋아.........,26
현대,베르나,와... 옛날(?) 차임에도 요즘 차만 보던 눈에는 디자인이 오히려 새로워 보이는 느낌입니다! 국내차에서는 보기 힘든 3도어 모델이라 더 반갑네요. 100발 느린 리뷰이기 때문에 이런 귀한 차도 자세히 구경할 수 있네요. 감사합니다~,7
현대,베르나,튜닝과 개조에 대한 명확한 설명 좋네요. 영상 볼 때 마다 말씀하시는 거 공감합니다. 감사합니다.,9
현대,베르나,와 멋지네요 자신만의 소중한차는 정말 인생에 큰 낙임개조랑 튜닝에대한 말씀은 지당하심개조도 좋지만 자기만의 튜닝값으로 만족감을 얻는건 기분업뿐 아니라 안전이랑도 연관있음,10
현대,베르나,시승기 중 기술적인 내용들이 항상 와 닿습니다. 튜닝에 대한 철학도 개인적으로 공감이 많이 됩니다. 가능하시다면 가성비 세단(단종 포함) top10 강의 함 부탁드려도 될까요...,4
현대,베르나,2007년 제가 샀던 첫차와 같은 색에 동일 모델이네요ㅎㅎ 전 4단 자동이였지만ㅎㅎ 수출형 16인치 휠은 매우 구하기 힘들어요! 상태 좋은 차 잘 구하셨네요ㅎㅎ 오래타시기 바래요 :),3
현대,베르나,이차 진짜 디자인은 기가막히다ㅜ구할수가없네,3
현대,베르나,제 첫차인 03년식 아반떼 XD 수동을 생각나게 하는 차네요 ㅎㅎ 그차도 연식에 비해 전자동 공조장치나 자동 사이드미러 폴딩 등 지금 제차에도 없는 옵션들이 붙어있었죠ㅎㅎ 차에서 오너의 애착이 느껴지네요. 그런데 투도어에 앞문열고 앞좌석 접을때 앞으로 몰리는건 현대 엑셀 투도어에도 있었던것같은데...?,7
현대,베르나,"제 첫차인 2001년식 수동 베르나 스포티 생각이나네요~ 문이 두짝이라 휠타이어랑 서스펜션 튜닝좀하면 스포츠한 느낌이 나서  동호회에서 부러움의 대상이었죠~ 스포티라고 이름붙여놓고 다른것은 3도어인것말고는 사이드 스컷과 가죽핸들 기어봉, 스카이블루 전용컬러 말고는 없었던 걸로기억 ㅎㅎ 스프링이좀 달랐다는 얘기도 있었지만 확인불가.. 엑센트 티지알과 달리 퍼포먼스측에서는 스포츠버젼으로 볼수없는 모델이었으나 추억이 많은차였습니다~",8
현대,베르나,현재 동형의 차량을 타고있습니다 레어한 맛을 주는 차량입니다실제로 자동차관련 종사하시는 분들도 잘 모르는 차량이라 재밌는 에피소드를 많이 겪어보았습니다 ^^,11
