car_brand,car_model,comments,likes
현대,벨로스터,"터보부스트압, 엔진사운드 세분화까지.. 대단하네요.",1
현대,벨로스터,"자체세팅, 전자장비가 몇년사이 엄청 발전한거 같네요.아마도 비어만 사장이 진짜 대단하신분이거 같습니다. 영상 잘 봤습니다. 감사합니다.",21
현대,벨로스터,뭐 하나 빠지는 것 없이 꼼꼼하고 친절한 시승기 잘 봤습니다.,3
현대,벨로스터,현대 기아차가 판매량은 적어도 고성능 모델에 투자하고 노력하는 부분은 칭찬할만 하네요 그리고 수동 변속기에 모든 선택 사양을 다 선택할수 있는 부분만으로도 벨로스터의 가치는 충분하다고 생각 되네요,24
현대,벨로스터,시승기 기다렸습니당 ㅎㅎ 직접 타보는것같이 생생한리뷰 항상 잘보구 있어요❤️,2
현대,벨로스터,"새삼스러운 얘기긴 하지만 매번 일관된 구성,매끄러운 진행 이젠 거의 뭐 시승기에 통달하신듯 하네요 1인 진행으로 이 정도까지 디테일하게 보여주기가 어려운데 새삼 대단하게 느껴집니다.1따봉 드릴께요",13
현대,벨로스터,믿고보는 상기횽님!항상 좋은 영상 감사합니다.,1
현대,벨로스터,아방스도 워낙 잘 나온 차인데 이 차는 그런부분에 펀카로서의 디자인까지 잘 조화된 차라 생각 되네요.현기 안 좋아하는 편이지만. 그래도 이런 비인기지만 마니아성 차량을 내주는 점은 칭찬하고 싶네요.,1
현대,벨로스터,역시 믿고보는 한상기 리뷰네요 ㅎㅎ 한가지 팬으로서 요청드리자면 얼굴 출현에 인색하신것 같은데... 개인적으로 많이 나와주셨음 합니다 물론 여행기에서도요 ! :),1
현대,벨로스터,와 진짜 기다리던 시승기였어요!잘봤습니다밸로스터 실내가 너무 별로지만..달리기성능은 참 부럽네요!!!!그리고 한상기님 목소리 너무 좋으신거아니에여?ㅠㅠㅠㅜㅜㅠㅠㅠㅠ  흑흑,3
현대,벨로스터,역시ㅎㅎ 기대한만큼 좋은 차네요 구매욕구가 확 생깁니다ㅋㅋㅋ 시승기 항상 감사합니다~!!,1
현대,벨로스터,비교 영상은 최고네요 ㅎㅎ 다른 시승기에선 볼 수 없는,1
현대,벨로스터,운전 잘하는편은 아닌데 타보고 싶음..그만큼 디자인이 매력적,1
현대,벨로스터,한상기님 리뷰가 군더더기가 하나도 없이 기계좋아하는 나한테 귀에 쏙쏙 들어와서 좋네요.,1
현대,벨로스터,상기형 감기 조심해 사랑해❤️벨로스터 꼭 한번은 타보고 싶다!,3
현대,벨로스터,어떻게 이렇게 시승기 올리시는 것마다 매우 만족입니다 항상 시승기 감사합니다,1
현대,벨로스터,한상기 기자님 항상 즐겁고 유익하게 보고있습니다.다름이 아니오라 Nm를 뉴튼미터라고 읽듯 kgm도 (kg)*(m)라 킬로그램미터라고 읽으시면 됩니다!,1
현대,벨로스터,항상잘보고있습니다개인적인 의견이지만 게스트 출연이 없는 기자님 시승기가 더 몰입도가 좋은거 같아요,17
