car_brand,car_model,comments,likes
현대,캐스퍼,"현대 캐스퍼 시승기 어렵게 촬영했습니다. 용인에서 아침 8시 시승인데 새벽부터 나와주신 피디님, 초청해주신 현대차 관계자분들께도 감사드려요! 제가 요즘 부족한게 많고, 처음부터 끝까지 마스크 쓰고 나왔는데도 좋게 봐주신 여러분들도 너무너무 고맙습니다. ㅠㅠ앞으로 더 잘 쉬고 더 열심히 해보겠습니다.",441
현대,캐스퍼,항상 모든 차 장점을 극대화 시켜서 소개해주는 기분 좋은 리뷰 감사합니다.,65
현대,캐스퍼,솔직하셔서 구독 누름 다른 유튜버분들꺼는 외관과 시승이 어떻게 되는지 알여주는데 이분은 디테일 부분까지 알여주셔서 넘 좋음,40
현대,캐스퍼,갈수록 리뷰의 엣지가 살아나는거 같아요. 항상 감사드립니다!,5
현대,캐스퍼,꼼꼼한 리뷰 잘 봤습니다. 뒤쪽 캐스퍼 엠블럼은 유광 블랙이 예뻤을 듯. 수동 옵션이 없는게 너무 아쉽,7
현대,캐스퍼,캐스퍼 차량 리뷰하는거 보고싶었는데 이렇게 올려주셨군요ㅎㅎ 김한용 기자님 모터그래프 때 부터 쭉 봐왔고 그 때 부터 김한용 기자님에 시승기가 넘 좋았습니다,25
현대,캐스퍼,"역시 차리뷰는 믿고보는 한용님,,👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻",21
현대,캐스퍼,원가절감은 했지만 그 돈을 너희한테 주진 않겠다는 현대의 의지가 잘 반영된 차네요,781
현대,캐스퍼,다 좋아 보이는데 4단 미션은 쪼매 아쉽네요. 한단만 더 추가해서 80~120 구간에서 조금만더 연비를 확보했었으면 좋았을것 같습니다.,53
현대,캐스퍼,극한의 원가절감을 했는데 가격은 충분히 넉넉히 받는 듯^^,481
현대,캐스퍼,정말 시승맛집이네요 ㅎㅎㅎ 차알못인데도 이해가 쏙쏙 가고 솔직하게 이야기 하셔서 재미있기까지 해요 ㅎㅎㅎ,7
현대,캐스퍼,나중에 전기차 모델로 만들기 굉장히 좋은 컨셉과 디자인을 가지고 있는 듯 하네요. 당장 버려야 할 거 같은 엔진구성부터가 전기차 전환을 금방 시도하려는 거 같기도 하고,4
현대,캐스퍼,와이프가 먼저 캐스퍼 이쁜거같다고 할정도로 차자체에 크게 관심없는 사람도 관심갖는거 보면 나름 간만에 나온 성공적인 시작인 경차인거 같아요~,46
현대,캐스퍼,늘 솔직한 리뷰 좋습니다~^^,3
현대,캐스퍼,차분한 설명과  구석 구석 다양한 기능들을 자세히 설명해 주셔서 많은 도움이 되었습니다  감사합니다,2
현대,캐스퍼,"2000만원 대 비싼 경차 뒷칸 도어 손잡이에 경악 하게 되네요;;  하지만, 디자인은 쩔고! 핸들에 엠블럼 없앤게 신의 한수👍🏻",14
현대,캐스퍼,역쉬 모카 한용님.. 쏘렌토하브빼고는 자동차 리뷰 다 믿음직 스럽네요! ㅋㅋ 캐스퍼가 경차치고 비싸긴하지만 스포티지가 4천만원인 시대에서 앞으로 나올차들은 점점 더 비싸질테니 가격은 어쩔수가 없을듯 하네요 가격외 다른부분들은 만족스럽네요  ! 좋은리뷰 감사합니다,3
현대,캐스퍼,진짜 시승맛집이네요가려운 부분을 넘 시원하게 긁어주네요굿뜨,2
현대,캐스퍼,자동차 리뷰채널 중에서 가장 좋은곳 같아요~매일 시청하고 있습니다요~~^^,37
현대,캐스퍼,오늘도 열일 하시는 최고의 자동차 기자 김한용 편집장님,2
현대,캐스퍼,김한용 기자님은 현기차 종합적 평가는 항상 좋게 평해주려고 하는것 같습니다.,8
현대,캐스퍼,1.2세대 스포티지 모델이 84마력 디젤엔진이였음(터보챠져)공식 휠마력이 42마력.오토차량에 비해 가속이 늦지만 그렇다고 꽉꽉 밟고 다닐정도로 느리진 않았음,1
현대,캐스퍼,역시 믿고보는 신차리뷰 모카 👍캐스퍼 정말 많이 궁금했는데 속 시원하게 다 들여다본것 같은 느낌,4
현대,캐스퍼,캐스퍼가 나왔다는 뉴스를 봤을 때 우리나라도 경차디자인에 다양성이 좀 더 생겼구나 생각 했습니다. 물론 금액적인 면에서  감수하는 면이 있고 경차의 주 목적인 경제성에서도 떨어지겠지만 말이죠.,5
현대,캐스퍼,터보는 거의 필수일것 같네요... 경차지만 가격으로 따졌을때는 4단미션이 너무 아쉬워용,180
현대,캐스퍼,"이전 아반떼AD 밸류플러스 트림 가격 생각하면 캐스퍼가격은 미친게 아닌가 싶음..아무리 물가상승 적용한다하더라도. 그때 아반때AD밸류 플러스 구입할 때 나중에 애프터마켓애서 크루즈 달고 네비매립비용까지 해서 1,800만원이 안넘었던걸로 기억하는데…",10
현대,캐스퍼,"아반떼가 얼마나 가성비가 좋은 차인지 또 느끼지만, 캐스퍼를 이유로 가격이 많이 오를 듯.",166
현대,캐스퍼,아 떨린다. 라고 하시길래 승차감이 안좋은줄 알았는데 아니군요 ㅎㅎ 잘봤습니다. 언제나 좋은 영상 감사합니다.,1
현대,캐스퍼,현대에서 국내용 경차로는 아토스에 이어 2번째군요 무난하 잘나온거 같습니다만 풀옵 가격대면 조금 부담스럽기도 합니다 ㅎ,1
현대,캐스퍼,비싸도 사고 싶은 차네요~ㅎㅎ실내만 예쁜 감성 벤츠 vs 가성비 실용성 그랜저😁😁 시승기 잘봤습니당 역시 모카 최고👍,2
현대,캐스퍼,지금은 단점이 조금조금있지만.. 다음세대가 기대가 되네요..!,27
현대,캐스퍼,진짜 저디자인에 전기차로 나왔으면인기 많을거 같은데,7
현대,캐스퍼,"캐스퍼를 무지하게 기다렸으나, 가격을 보고 실망해서 얼리버드 신청하고 그냥 안했습니다.지금 타는 차는 스파크인데 친구한테 선물로주고 캐스퍼를 살 생각이었거든요.그러던 중,기자님의 티볼리 에어 리뷰를 보고정말 마음에 들어 계약해버렸습니다.50대인지라 벌써 5번째 차인데 이렇게기다림이 즐거웠던 적이 없던 것 같습니다.기자님 리뷰는 솔직하고 전문성이 있어서믿고 보게 되네요.그래서 티볼리 에어가더 기다려지고요.캐스퍼는 계약안하길 잘했네요ㅎㅎ",14
현대,캐스퍼,모카 김한용 씨의 얘길 들으니 신뢰가 갑니다. 한국가면 사고 싶네요.ㅎㅎ,1
현대,캐스퍼,두명이서 차박 편하게 준준형 사이즈로 엔진 좀 업글해서 나오면 좋겠다 ..외부 디자인 너무 귀여워 ㅠㅠㅠㅠ,1
현대,캐스퍼,감사합니다. 고생하셨습니다. 걱정되는 부분은 직물느낌나는 '비닐' . 이 부분 나중에 분명 문제가 생길 것 같습니다. 끈쩍끈쩍 하던가.. 벗겨지던가.. 헤지던가.. 내구성이 좋지 않은 재질로 보입니다.,1
현대,캐스퍼,"PV=nRT ! 몇십년만에 들어보네요! ㅎㅎ+ 연비나 혜택도 물론 중요하지만, 경차 오래타다보면 경차의 콤팩트함 자체가 굉장한 장점으로 느껴질 때가 많습니다. 남들 유턴 못하는 길이나 좁은 주차장에서 회전반경이 나와서 쉽게 휙휙 움직이는 면이라던지, 도로주행 시 차선이 넉넉하다던지,  큰 차를 탈 때와 확실히 다른 '요리조리 내맘대로 다닌다'는 느낌이 너무 좋은 거죠.  우리집 세컨카로 마련했지만 주로 운행은 경차만 하게되는?오랫동안 스파크를 타왔지만, 단종도 눈앞에 있다고 하고, 나이먹은 사람도 폼나게 탈 수 있는 고급 경차가 있으면 갈아타겠다 생각하고 있었는데... 캐스퍼가 그런 차라 하기엔 쪼끔 아쉽네요. 특히 다른 리뷰에서 이너 왁스가 안 되어있어서 오래타면 차체 내부 부식의 위험이 있지 않을까 염려하던데, 언젠가 안전성과 내구성을 강화한 고급형 경차가 나와줄지 기다려봅니다.",11
현대,캐스퍼,역시 믿고 보는 모카~~  영상 잘봤습니다!,8
현대,캐스퍼,와..진짜 전기차 버전으로주행거리 250km 2500만원..보조금받으면1500만원대 이면대박일것같아요.,21
현대,캐스퍼,너무 깔끔하게 설명해주셔서 감사합니다,1
현대,캐스퍼,14:30 현웃 구간이네요. 캐스퍼에 대한 양가감정 폭발ㅋㅋㅋㅋ29:10 아반ㄸ 쿨럭 ㅋㅋㅋ,257
현대,캐스퍼,영상퀄 최고이고 김한용님도 최고입니다,3
현대,캐스퍼,디자인은 진짜 너무 예쁜것 같아요 경차인데 지나가는거 보면 쳐다보게 되더라구요,2
현대,캐스퍼,체급도 다르고 구동도 다르지만 쉐보레 euv가 2천 후반이면..... 이건 진짜 경쟁에서 너무 밀리는거 아닌가...아무리 현기 안전옵션 달고 나왔다 해도옵션장난질 없는 euv 출시하면 존재감 자체가 사라질듯,3
현대,캐스퍼,길이 너무 친근합니다ㅋㅋ 저희동네 오셨었네요ㅎㅎ 이케아 다녀오다 흰색 카키색 캐스퍼 봤어요ㅋㅋ 넘나 귀엽고 이뻐서 막 따라갈뻔ㅋㅋ근데 마이 작네요 아무래도 전 아반때로 가얄듯요ㅋ 제가 그 옛날 티코차주 였었음요 경차 사랑해요! 영상 잘봤어요 궁금함이 싹 풀렸네요,12
현대,캐스퍼,디자인 좋고 실용성이 좋네요,4
현대,캐스퍼,차량 구입의 진리는 '출시 후 1년이 지나고 동호회 반응보고 사라!!,15
현대,캐스퍼,모닝 터보와 비교를 해주시면 특히 하부 서스 좋겠네요. 그리고 주차타워 이용이 가능한지도,2
현대,캐스퍼,실물은 어떨까 궁금했는데 영상 잘 봤습니다!,9
현대,캐스퍼,"위로 갈수록 좁아지는 모양만 어떻게 했으면… 박스카 같은 차를 원했는데, 아쉬운 부분이 많습니다. 우리나라 기업이 아직 엔진 기술이 부족해서 경차부분 연비도 상당히 낮고요. 정확히는 티코의 확대 버전이 아닌가 싶을 정도로 내부 공간이 너무 답답합니다.",1
현대,캐스퍼,경차를 사람들이 싫어하는 결정적 이유는사실 진동 때문이죠거의 노후된 디젤차 진동에 버금가는 진동은어떻게든 실드가 불가능합니다차체가 작은만큼 철판도 가장 얇은 걸 쓸테고따라서 소음차단도 최악이죠비슷한 가격의 아반떼만 사도이런 단점이 대부분 사라진다는 게 문제입니다,13
현대,캐스퍼,리뷰 정말 잘 하시네요,1
현대,캐스퍼,오늘도 귀에 쏙쏙 박히는 설명 감사합니다.,4
현대,캐스퍼,개인적으로 캐스퍼의 헤드램프를 자세히 보고 있으면 로터스 앨리제 초기형 느낌이 납니다.ㅋㅋ.항상 잘 보고 있습니다. 건강 관리 유의하시구요.,1
현대,캐스퍼,이분 시승기 잘 안 보는데 상세히 잘 리뷰 해 주셔서 좋군요 1~~~10까지 전부 리뷰가 들어 있군요 궁굼했던  부분 다 해결,2
현대,캐스퍼,중립적인리뷰 솔직한리뷰 하시니 믿고볼만합니다솔직히다른분들은 칭찬위주라서 못믿겠더라고요ㅋㅋ,4
현대,캐스퍼,모카 ㅡ김한용님 솔직해서 좋음 가식없이 소비자입장을 잘대변하심,2
현대,캐스퍼,그 75마력/100마력 최대출력수치가 아마도고 rpm에서 나오는수치라실제 도로주행에서는 별차이가 없을거같네요,2
현대,캐스퍼,"25:14 경차 5년 탔는데 동감합니다. 경차는 부족한게 많은 차에요. 그런점을 잘 따져서 ""이렇게 이렇게 해서 타면 탈만해~""하면서 타는거죠. 아반떼는 크게 아쉽지 않은 차고... 모자람이 없으려면 그랜져 정도는 돼야죠 ㅎㅎㅎ",16
현대,캐스퍼,레이 타는입장에선 운전석 완전 접을수있고 뒷좌석이 앞으로 완전 슬라이드 되는것만 부러워 보이네용,2
현대,캐스퍼,이건 미션따위는 전혀 관심도 없는 일반인이 귀여운 자동차로 편하게 일상주행하는 용도로 사용될듯하네요..ㅎㅎ 가장 저렴한 세단인 아반떼를 사느니 경차의 최고라고 자부심갖는 분들도 많으실듯..ㅎㅎ,13
현대,캐스퍼,"사실대로.. 좀 잘 팔린 이유가 의문이지만디자인 하나는 귀엽고, 뭐 경차 치고 성능도 고만고만한데 가격이 창렬이라… 그냥 귀엽고 신차라 예약한 사람 천국일 듯..",19
현대,캐스퍼,"11:55 원래 경차들은 전부 쇼바 마운트 상단에 '인슐레이터'라는 부품이 존재했습니다. 엔진 마운트처럼 고무재질이기 때문에, 닳기도 하고 경화되기도 하면서 조향 시에 등속 터졌나? 라는 의문을 남기는 소음을 내기도 합니다. 경차만 들어가요",10
현대,캐스퍼,캐스퍼가 무시하는경차로 안보이고 .일반RV차량으로 듬직하게 보이네요.,1
현대,캐스퍼,잘보고있습니다~~많은정보 얻어갑니다^^,1
현대,캐스퍼,ㅋㅐ스퍼 넘나 궁금했는데 완전 자세한 후기 감사해용👍🏻,8
현대,캐스퍼,일본처럼 경차종류가 많아져야혜택도 많아질거 같네요,5
현대,캐스퍼,캐스퍼에 이어 더 많은 경차를 만들어주세요. 경차의 특징은 주차 편리함과 세금혜택입니다.,1
현대,캐스퍼,한드래곤님 항상 잘보고있습니다.경차인데 탐나네요 가격적인것만 뺀다면ㅋ,1
