car_brand,car_model,comments,likes
현대,코나,정비성이 매우 뛰어남. 외판 보면 대부분 분리형태로 되어 있어서 사고나도 도색비용과 노력 시간이 매우 절감되는 모델,2
현대,코나,김상영 기자님 리뷰가 갈수록 재밌어지고 몰입감이 생기네요 좋은 리뷰 잘봤습니다  앞으로도 기대되네요.,1
현대,코나,코나 유저인데 만족하며 타고 있어요.가솔린 특성상 토크가 낮아서 출발 시 좀 느리다는 느낌을 받으실 수 있는데 이후 주행은 매끄럽고 또한 출력이 상당히 좋아요.또 연비도 13이상 나오기도 하고요,2
현대,코나,잘 설명해주셔서 감사합니다^^화이팅 하세요!!!,1
현대,코나,전 개인적으로 디자인 좋은것 같아요 이쁘네요 첫차로 참 좋아보이는..,11
현대,코나,시승기 잘봤습니다- 코나 뒷자석 매장가서 직접 앉아봤는데 많이 좁더군요... B세그에서 더 바라는건 욕심인것 같지만 김상영기자님 이야기처럼 아이태우기는 부족하지 않은것 같습니다- 근데 휠베이스가 더 짧은 스토닉은 공간이 더 작으려나......; 그리고 예고편 너무 기대되네요 ㅋㅋㅋㅋㅋ 밤새 편집하느라 고생하셨습니다,13
현대,코나,맘에들어 하시는게 리뷰에도 보이네요 저도 이번차 감각적으로 나왔다고 생각한 사람인데 공감이 많이 되네요,3
현대,코나,관심있게 보고있는데 날 더운데 고생하셨네요~ 잘 봤습니다! ,22
현대,코나,좀 더 자세한 어떤 느낌이라던지 그런 측면에서 소감이나 말씀이 쬐~꼼 더 풍부했으면 좋았겠다는 생각이 듭니다. 여하튼 수고 많으셨고 감사히 잘 봤습니다 :),1
현대,코나,소비자를 위한 현기차가 되었으면 좋겠네요.,4
현대,코나,모터그래프는 그 만의 색이 있어서 좋아요.^^자세한 설명 잘 들었어요 ^^,2
현대,코나,마지막 부분을 봤을땐 확실히 현대를 좀 아껴주네요 일단까고 정정해도 됬을텐데 회사에 확인후 올린다고하는거보니 모터그래프는 큰 잡지사이고 그만큼 얽힌게 많을껍니다 무작정 깔수있는 노형과는 다를수밖에없죠 이렇게 출시도 안된차를 시승하게해주는 특권도 광고를 위해 주는거 아니겠습니까  아무튼 영상 잘봤구요 코나출력이 좋고 연비가 좋다는건 확실히 끌리네요.. 디자인은 티볼리인데.. 너무 출력이 낮아스 ㅜ,4
현대,코나,리뷰에 앞서 김상영 기자님이 구매의향이 있다고 해서 칭찬이 좀 더 부각된 면도 있었던 것 같습니다. 가격면에서는 전혀  싼 편이 아닙니다.  이번 영상에서 다소 아쉬운 점은 차량의 여러 색상들은 조금 더 보여주고 승차감  엑셀과 브레이크에 반응성이 좀 더 추가되서 보여줬음 어땟을까 생각을 해봅니다. 시청자 분들도 무조건 빤다고 하지만 마시고 전반적으로 어디부분이 공감 못할내용인지 옹호하는지 말씀해주시면 좋겠습니다. 고칠건 고치고 조금 더 좋은 자동차 매체가 되었으면 좋겠습니다. 댓글이 너무 뭐라하시는것 같아 댓글 남겨봅니다. ㅎㅎ 화이팅하세요,3
현대,코나,1:30에서 너무 웃김 ㅋㅋ 무표정으로 힘내시고 앞으로도 성공하세요!!!,15
현대,코나,김상영 기자님 영상은 편안하게 볼 수 있는 장점이 있는거 같습니다,1
현대,코나,감사합니다코나랑 티볼리 고민중이었는데 큰 도움이 된 것 같아요 'ㅂ'/,2
현대,코나,역시 김상영기자님 ㅋㅋ 위트있으셔요,1
현대,코나,주행영상 부분에서 주행에 관한 사항은 없고 다른이야기가 더많은듯... 운전의 재미에 출력도 중요하지만 '핸들링' 이 가장중요하다고 생각되는데50km 가까이를 주행하면서 핸들링 언급이 없다는건 분명히 아쉬운 리뷰입니다.,1
현대,코나,솔직히 코나 디자인하난 잘빠졌다..소형suv치고 디젤에 옵션질하면3000가까이된다는거만빼면 메리트있는듯..,2
현대,코나,현대 맘에는 안들지만 B세그먼트는 잘만든다고 생각듭니다.현대가 고성능이나 플레그쉽에서는 아직이지만 B세크먼트 차량판매대수가 말해주는거죠,2
현대,코나,기본골격이랑 몇몇군데는 qm3랑 비슷하네요 ^^,1
현대,코나,외관은 정말 예쁜데 성능은 티볼리랑 어떤지가 조금 궁금하내요,1
현대,코나,가격 타협하느라 만들다 만 느낌 2%부족~  차는 이쁘네요~ i30 베이스라 믿음도 가고... 김한용 기자보다 요즘 리뷰 잘하시는듯 ㅋ,1
현대,코나,다른 B 세그먼트는 뒷자리 폴딩으로 트렁크 공간을 넓힐수가 있는데 코나는 어떤가요?? 폴딩시 트랙스처럼 평평하게 되는지... 폴딩여부도 알려주시면 감사하겠습니다,1
현대,코나,영상으로 봐도 눈이 부신데 실물이 낫다니... 짐작이 안가는군요...아 물론 김상영 기자님 말입니다 (찡끗),2
현대,코나,"말씀 맞는거같음코나 같은 소형suv는 부부, 어린 아기있는 가족혼자서 이런분들이 타야되긴함(경차는 작고 , 경차보다 조금 큰차 원할때)",2
현대,코나,디자인 완성도가 높아졌다는 것은 인정하되 그것이 독창적이지 않다는점에는 많은 아쉬움이 있다.,1
현대,코나,같은가격으로 투산을 살때 결국 깡통이라니요? 가격비교하면 결국 한등급 차이같은데(모던-프리미엄) 코나로 갈 때 포기해야 할 것들이 너무나 많은 것 같습니다.,1
현대,코나,대략 13:30~13:55 사이 같은 영상 두번 반복되네요.'해치백보다는 ~ suv 가 선전되는 것같다',2
현대,코나,저차  2980이면  공간자체에서는투싼 옵션많이뺀게 좋은선택일꺼같네요,1
현대,코나,투싼 1.6t 랑 코나 1.6t 모델 같은 옵션을 넣으면 가격 비슷해지는 거 같던데요? 1-200정도 차이나는 정도?,1
현대,코나,김상영 리뷰어는 진짜 차를 보는 시각은 저랑 극명하게 다르네요.,4
현대,코나,현기차가 그래도 실내공간 하나는 잘 뽑네,1
현대,코나,풀옵해도 열선이 없나요??,1
현대,코나,진짜 ㅈㄴ 사고싶다 산타페나 투산같은 suv디자인 개ㅂㅅ이었는데 코나는 ㅈㄴ 잘빠졌다,1
현대,코나,역시 SUV는 SUV전문(?) 기자분 김상영 기자가 해 주셨네요~,2
