car_brand,car_model,comments,likes
현대,테라칸,요즘 결함투성이인 차들보다 훨씬더 잘만들었다고 생각한다,9
현대,테라칸,"Hey there ! Did you ever consider making some videos in English ? Although I can read and understand some Korean, I would love to understand some more haha ! Keep up the great work, cheers !",3
현대,테라칸,테라칸이아닌 테라퀸이라고도 불릴만큼 역사적인차...크ㅡㅡㅡㅡ 테라칸 멋지다!!!!!,3
현대,테라칸,재미있게봤어요 좋은영상만들어주셔서감사합니다,1
현대,테라칸,초등학생때 아부지 차였는데 차가 괜찮았던 기억이.. 가끔씩 도로에 보일때면 괜히 추억에 젖어요 ㅎ,2
현대,테라칸,맵핑빨 잘받는 290은 괴물이죠 더군다나 350은 부드럽고 조용해서 대박 2년전까지 350 타다가 팔았는데 솔직 테라칸 같은 suv가 안나와서 아쉬워요 1열 시트포지션이 낮아서 승요차 만큼 편했는데...,1
현대,테라칸,테라칸 디자인도 좋은것 같아요.,1
현대,테라칸,구독눌렀어요ㅎㅎ 다음엔 현기차말고 대우 쉐보레것도 해주실거죠?ㅎㅎ,1
현대,테라칸,03년식 블렉스페셜 상시사륜 신차때부터 지금까지 소유하고있는 차주입니다영상 만들어주셔서 감사합니다vgt개발 하려고 시도하다가 미션트러블로인해 단종된 내용거진 모르는데 좋은 영상 잘보았습니다,2
현대,테라칸,다음엔 될수있음 수입차도 만들어주세용!!!,1
현대,테라칸,정말 테라칸 하부를 보면 튼튼하게 잘 만든 차인데 앞으로 테라칸 만큼 튼튼한 차가  나오진 않겠네요.시대를 잘못 만난 차입니다.,2
현대,테라칸,테라칸에 J3엔진은 카니발2에도 들어가는데 마쯔다 엔진을 보고 만든지라 연식이 좀 들면 출력이 떨어진다는단점이 있지만 내구성은 좋지요기아에서 만든 엔진입니다,2
현대,테라칸,테라칸 다시 부활시켜주세요.,1
현대,테라칸,렉스턴 1에 들어갔던 엔진은 무쏘 후기형의 엔진을 개량하여 같은엔진인데 마력이 132마력이었죠,1
현대,테라칸,"렉스턴은 벤츠5단 자동변속기를 장착하니까 191마력에도견디고, 품질이 좋잖아요.",1
현대,테라칸,테라칸 파워플러스 후미 디자인 보면 테일램프의 디자인이 일반 테라칸 보다 아주 살짝 달라요.,2
현대,테라칸,테라칸은지금봐도 디자인이안질린다죠!ㅎㅎ,3
현대,테라칸,엔초님 감사합니다.  현대 갤로퍼 역사 좀해주세요.,2
현대,테라칸,저희 아빠께서 저 어렸을때 타고 다니셨던 렉스턴이 3:28에 나온 렉스턴의 휠과 색상이 완전히 똑같았어요,1
현대,테라칸,진심 디자인이나 모든면에서는 렉스턴이좋았지만 오프로드 성능면에선 테라칸이 더좋았는데 ㅠㅠ 많이아쉬운 차량이죠 ㅠ,1
현대,테라칸,이분은  너무 신기하다 영상 퀄리티가...와우 장난아니게 좋아ㅎㅎ 힣,1
현대,테라칸,테라칸도!!! 엔초님 감사합니다!!!,5
현대,테라칸,01년 렉스턴나왔을때 눈을 떼지못했죠 찦차도 저런디자인이 나올수있구나 먼 미래에서 튀어나온듯한 미친디자인;;;,1
현대,테라칸,아마 그때 포르쉐는 3000cc로 400마력이상의 엔진을 만들고 있었겠지,1
현대,테라칸,저 당시에 렉스턴이 진짜 존나 잘만들었지..,47
현대,테라칸,비운의 차 테라칸ㅜㅜ 플레임은 군용레토나 뺨치게 튼튼한차인데.. 아쉽네요ㅜㅜ 그래도 배라크루즈로 연결되니 다행이네요! 제 이모부차도 베라크루즈 인데ㅋ 암튼! 영상 잘 보고 갑니다! 엔초님!^^,1
현대,테라칸,저때 내가 고딩이엿엇는데렉스턴이 얼마나 멋져보엿는지ㅜㅜㅜㅜㅜㅜ,1
현대,테라칸,투싼 역사도해주세요!,2
현대,테라칸,진짜 97년도에 lMF만 않일어났어도 디자인은 진짜 앞서같을뜻,3
현대,테라칸,대우자동차 매그너스 역사 올려주세욧!,1
