car_brand,car_model,comments,likes
현대,트라고,윤사장님편은 항시 꿀잼이네요 ㅎㅎ  이번영상도수고하셨습니다,4
현대,트라고,역시 윤사장님 ㅎㅎ 쵝오십니다,3
현대,트라고,역쉬 윤사장님~~,5
현대,트라고,윤사장님 항상 유쾌하십니다 ~,3
현대,트라고,정상! 인정하구 안전하게 운행하면 됩니다!,5
현대,트라고,천안에서 덤프기사타고 있어요 영상 항상 잘보고 더 배워갑니다~ㅋㅋ,1
현대,트라고,항상 잼난영상 감사해요~,4
현대,트라고,킥다운 스위치까지 밟아야만 최고출력 나오는건 현대 승용차들도 그런 느낌이더라구요 독일차는 안그럼 딸깍 안밟아도 바닥까지 밟으면 최대출력 나와야 하는데,1
현대,트라고,이 차주분 예전에 로드파일럿 카페에서 뵌 분 같은데...전에 볼보 타셨던거 같은데...,2
현대,트라고,트라고 오토 연비는 어느정도 되나요??,1
현대,트라고,만트럭덤프중에 원쓰리는 어떤 용도로 쓰이나요~????,1
현대,트라고,윤사장님 스카니아 xt 덤프 사신다고 하시지 않으셨나요???,3
현대,트라고,우원 자동덮개달린차량 컨트롤박스 멜로디음은 못들을까요...? 차량리뷰도너무좋은데요!!!!! 자동덮개도보고싶습니다!!!!,3
현대,트라고,"꼭다리 스위치 파워버튼 아녜요킥다운 버튼입니다스위치랑 마력이랑 연관없어요BMW 승용차도 딸까닥 버튼은 그냥 킥다운 버튼이구요트라고, 엑시언트 버튼도 그냥 킥다운 버튼이에요",1
현대,트라고,근데 끝이 좀 그래요! 결론도 없고 말을 하다 끝나는것은 ㅡㅡ . 윤선생 보다는 윤박사도 좋을것 같음.  박사님 느낌이 남ㅋㅋ,1
현대,트라고,국토부 보고있나 ㅎㅎ,1
현대,트라고,"역시 경륜이...차에 맞춰 타면 되고 돈 덜 들어가면장땡이고,.이번편 아주 시원합니다!",6
현대,트라고,매일 새바람 넣고 타는차 ㅎㅎ 세계적인 명차 ㅎ,5
현대,트라고,윤사장님 센스쟁이~,12
현대,트라고,올라온 영상 중 젤 재밌네요ㅋㅋ,4
현대,트라고,트라고 좋은차죠 엑시언트부터가 상태가나빠진거지 트라고 명차에요 ㅋㅋ,8
현대,트라고,진심 잼있어 구독중입니다 ㅎ촬영은 무슨 장비로 하시는거에요?,2
현대,트라고,트라고 신차만들면! 또산다!,2
현대,트라고,트라고 타보고 느낀건 큰장점도 단점도 없지만 그냥 무난한 차같네요ㅋㅋ,5
현대,트라고,개인적인 생각이지만 파워텍엔진 단 차들중에선 그랜버드가 승차감이 제일 낫더군요ㅋㅋㅋㅋ,3
현대,트라고,아ㅋㅋㅋㅋㅋㅋ 그래서 트럭들이 엔진이 조수석바닥에 있는건갘ㅋㅋㅋㅋㅋㅋㅋㅋ듣고 즐기래섴ㅋㅋㅋㅋㅋㅋㅋ,3
현대,트라고,"ㅋㅋㅋ 광고 아시아나:항공 뜨네요 광고 수익 발생하나 모르겠지만 성공하세요 :) ! 전 대우 4.5톤 윙바다 윙 단발이 7m50 노부스 타는데요 덤프는 안 해봐서 모르겠지만, 트라고 빽:미러에 대해선 어떻게 되나 궁금했는데 역시 좀 그렇네요 ㅋㅋㅋ 안 좋네 ... 노부스는 크고 시야 넒은데 뭔 미러 딱 잘라서 만들었나 ... 잘봤습니다.",4
현대,트라고,트라고는 하이탑나오면서 위로만 겁나 올리고 침대는 안넒인다고. 엄청 꾸증좀 들었죠,1
현대,트라고,"리타더는 잘 먹는데, 풋브레이크는 잘 안들어요",1
