car_brand,car_model,comments,likes
현대,티뷰론,만들고 싶었지만 아직 만들지 못한 영상을 89브로스가 완성해 주셨네요. 추억 속 스쿱 터보를 떠올리며 재미있게 봤습니다. 👏👏👍,94
현대,티뷰론,"스쿠프는 진짜 자동차를 예전부터 좋아했더면 모를수가 없는 차량이죠 ㅠㅠ 이제 점점 보기힘들어져가는 차 ㅠㅠ 스쿠프….언젠간 가지고와서 멋지게 튜닝,리스토어 해서 타보고싶네여 ㅠㅠ",34
현대,티뷰론,저당시에 티뷰론 진짜 혁신이었다......특히 페이스리프트인 터뷸런스 나왔을땐 진짜 로망이었던 차....튜닝빨 제대로 먹힐정도로 뽀대 압살이었던;;;;;;;차후 투스카니와 제네시스쿠페도 나왔었으니....인기가 참......하지만 이제 세월이랄까.....스포츠카류 차는 많이 안보이기시작하고 GT류의 해치백으로 출시되는게많으니.....보기힘든...ㅠㅠ,17
현대,티뷰론,추억의 스쿠프...현재 타는 차량의 출력과 비교하면 트랙터 출력 수준인 그 차가 그때는 얼마나 재미있었는지....그때의 현대차는 가격도 좋고 재미도 있었네요...,3
현대,티뷰론,5:51 이건 근데 진짜 혁신적인 디자인이라고 생각함...,10
현대,티뷰론,"이영상올려주셔서 감사합니다.19년째서비스중인 시티레이서가 떠올린만한 영상이었습니다.ㅎㅎ평소에 제가 자동차튜닝,레이싱에 관심이있다보니 자동차전문대로 가는게 꿈이입니다.ㅎㅎㅎ",2
현대,티뷰론,"어릴때 부산에 사시던 외가 친척 삼촌들이 배기랑 게이지, 윙작업만 하시고 타시던 티뷰론그때도 정말 멋있어 보였는데 지금봐도 솔직히 멋있는 차",3
현대,티뷰론,"스쿠프 하니 떠오르는 추억. 때는 1990년, 마계 모 중학교의 '마'지막 남은 노처'녀' 영어선생님(그래서 별명이 마녀)의 차가 파란색 스쿠프였는데 그 선생님에게 맞은 학생이 화풀이로 주차된 선생님의 스쿠프에 이단옆차기를 해서 리어스포일러를 떨어뜨렸는데... 그리고 그 학생은 학생과 끌려가서 체육선생님에게 죽도록 맞....그 뒤로 마녀 선생님의 스쿠푸는 제가 졸업할때까지도 뒷날개없이 다녔죠.",30
현대,티뷰론,스쿠프는 국산차 최초 14인치 60시리즈. 185. 티뷰론은 국내 최초 50시리즈 15. 205 타이어 출고 했었죠.. 92년에 스쿠프로 중부고속도로 개통 된지 얼마 안 돼서 약간 내리막길에서 196km. 티뷰론은 자유로에서 225km 최고속 냈었는데 스쿠프가 더 무서웠었던 기억이..지금은 19년 g70인데..200넘어가도 좋네요. 처음으로 오토기어에 문짝4개....,5
현대,티뷰론,정보) 우리나라에서 스쿠프 만들어서 출시할 때 일본에서는 이미 R32와 NSX를 팔고 있었다...ㄷㄷ,17
현대,티뷰론,제가 진짜 어릴때 터뷰런스에 터빈업 올리고 각종 LED튜닝에 인테리어는 플레이트로 하고 휠은 사제휠 등등 엄청나게 튜닝된 차를 딱 한번 옆에 타본적이 있는데 어릴때라 기억은 잘 안나지만 차가 옛날차 치고 고속에서 엄청 안정적이었던 기억이 있네요.,27
현대,티뷰론,아반떼스포츠 오너인데 조상뻘되는 차가 나오니 반갑네요. 현대자동차가 이렇게 발전해서 N까지 만들고 WRC에서 활약하는게 자랑스럽습니다. 내 차도 요즘 나오는 차에 비하면 뛰어난 성능은 아니지만 약간의 튜닝만 거쳐 출퇴근과 서킷에서 잘 타고 있습니다. DCT의 벙찜과 미션슬립만 좀 없었으면 좋겠네요. N으로 갈아타고 싶네요.,1
현대,티뷰론,자동차생활에서 티뷰론 기사를 수십번 보며 1996년 12월 tgx를 출고해서 4년동안 행복한 추억을 남겨줬던 차였네요. 썬루프와 프레임리스 도가 한몪했었고 기본 카오디오 또한 빵빵했던 기억이,2
현대,티뷰론,어릴때 제가 좋아하던 차가 쭉 나오니 넘 좋네요 ㅎㅎ 지금은 벨로스터 타고있는데 머무 괜히 반갑네요,1
현대,티뷰론,"티뷰론 터뷸런스(2000.8월 신차), 투스카니(2003년8월 신차), 제네시스쿠페(2010년8월 신차)를 차례로 출고해서 몰아봤는데가장 감성적으로 좋았던 느낌은 첫차인 티뷰론터뷸런스 였어요. 모두 흰색을 뽑았는데 정말 어딜가나 주목을 받을 정도로 멋있어 했던 기억이 납니다.그리고 가장 별로인건 단연 투스카니였죠. 차체가 무거워져서 그런건지 아무리 밟아도 나가질 않더라구요, 터뷸런스때는 정말 조금만 밟아도 차가 튀어나가는게느껴졌거든요, 정말 민첩성이 투스카니와는 비교가 안될정도로 재빨랐죠.. 그리고 제네시스쿠페는 오 잘만들었네 라는 두루 좋았던 기억이 납니다.이젠 국내 스포츠카는 그후로 만들어지지 않아서 안타지만 자금 사정이 좀 좋아진다면 다음차로 맥라렌 720스파이더가 꿈입니다.ㅋㅋ끝은 슈퍼카죠^^ 부지런히 돈 모으는중입니다^^",3
현대,티뷰론,티뷰론 디자인은 지금도 꿀리지 않는다고 생각합니다,2
현대,티뷰론,투스카니에 ccs(하드탑 컨버터블)도 넣어주세요.비록 벡스코에서 전시만 하다 출시 못한 차량이지만 그래도 실물로 뚜껑 열리는거 보면 멋있긴 합니다.현 엘리사오너,2
현대,티뷰론,와 스쿠프! 제가 스쿠프 다이캐스트를 구입하여 터보 모델로 개조를 할려는데 마침 이 영상이 나오다니! 감사합니다! 앞으로도 재밌고 유익한 영상 부탁드립니다!,1
현대,티뷰론,1996년식 티뷰론 SRX 2.0    제 인생 최초의 첫차였죠....그래서 그런지 아직도 잊지 못하고 있습니다. 가끔은 중고차로 다시 사서 소장도 할까 생각도 하고 있을정도로요...ㅎㅎ,2
현대,티뷰론,빨간색 티뷰론오너였는데... 다른차보다 긴 프레임리스도어는 간지였지.. 당시엔 없던말이지만 하차감 하나는 끝내줬던 차였네요,3
현대,티뷰론,역시 우리나라도 해외에 꿀리지 않는 대단한차를 만든게 자랑스럽네요 그러고 스쿠프에대해서 더 자세히 안거같아요,4
현대,티뷰론,고딩때 스쿠프가 나오고 와! 멋지네했는데96년도 티뷰론보고 가지고 싶어서 면허따고 바로산 내 첫차.2014년 폐차 시킬때 왠지 씁쓸했던 기억이 나네요.,1
