car_brand,car_model,comments,likes
혼다,인사이트,참신기한 차네요처음보는차라 디자인이 진짜 미래 진향적이네요,1
혼다,인사이트,영상 너무너무 잘보고 있습니다. ♡덕분에 지루한 일상속에서도 매일 행복하게 살아갑니다. 많이 감사드리고 있어요. ^^,2
혼다,인사이트,안녕마이카 사장님 이제 소개해주시는게 친근감이 느껴지네요 ㅎ,1
혼다,인사이트,️벌써 팔렸다 연비가 좋아  휘발유 차 인대 불과하고 현대차 보단 연비좋내 외제차 연비가 지금은 푸조랑 시트로엥 밖에 없는데  어떤차지 난 기회가 된다면 산다,2
혼다,인사이트,마이크 잡고 운전하지 마시고두손으로 안전하게 운전하세요,1
혼다,인사이트,밧데리 수명이 어떨까요?,2
혼다,인사이트,아벨라 같은데요 ㅎㅎ,1
혼다,인사이트,귀엽다ㅋㅋㅋㅋ,1
혼다,인사이트,^^~~,2
혼다,인사이트,,1
혼다,인사이트,전국 차한대밖에 없으면 수리는 누가...?,1
혼다,인사이트,안녕하세요,1
혼다,인사이트,2등.....,1
혼다,인사이트,아이오닉 하이브리드도 올려ㅜ세요,2
혼다,인사이트,사고싶다,1
혼다,인사이트,멋지다,1
혼다,인사이트,힘좋고 정말 잘나가는 페밀리카 입니다! 공간도 넓고 편의시설도 좋고요,4
혼다,인사이트,혼다 파일럿 최고입니다~ 힘이 장사~,9
혼다,인사이트,차 멋있어요!,2
혼다,인사이트,정속주행할때는 연비좋네요,3
혼다,인사이트,영상 잘봤습니다! 차 엄청 크네유,4
혼다,인사이트,요새 보고있는 차종이라 잘보고 갑니다,3
혼다,인사이트,플러그인 하이브리드가나와야...연비120...,1
혼다,인사이트,그렇게밀면 2열은 어떻게 타나요,2
혼다,인사이트,파일럿 부품수급이나 메인터넌스 어떤가요 ?,7
혼다,인사이트,폭몀에 엔진꺼지면 에어컨도 꺼지나요,3
혼다,인사이트,성님~ 스피커 테스트 빠진거 같습니다~,1
혼다,인사이트,하이브리드 언제 나올까요?,1
혼다,인사이트,풍절음은 어떤가요?,2
혼다,인사이트,한국에서는 혼다파일럿 중고차량 쉽게구할수없지 않나요? 매물도적구요....가격도 비싸에올라올건데...한국에서는 합리적인게아니지 않나요,1
혼다,인사이트,풋브레이크 ㄷㄷ충뎍,1
혼다,인사이트,Crv가2열이더넓어,1
혼다,인사이트,발음이 안좋아서차가 못알아듣나요,1
혼다,인사이트,모든뉴타운에서 집을뺐겨버린원주민들에게 입주권이라도 찾아주어야 진짜민주주의정부 한다는것 대통령제이다 진짜 진짜 진짜 진짜 진짜 진짜,3
혼다,인사이트,"파일럿은 중고 사세요. 2019년에 1500만원 할인해서 팔아서, 그 물건들 사는게 이득입니다.",12
혼다,인사이트,기술의 혼다 . 옛날얘기죠../  직진주행이 많은 북미스타일의 suv는 가고서고가 많은 우리나라에 잘 안맞죠,2
혼다,인사이트,소음이 너무 큰 게 최대의 단점  방음이 전혀 안 됨!,2
혼다,인사이트,전쟁도안했는데 집을뺐기고 노숙자신세가되는세상 광명뉴타운에는 국가유가족에게 입주권도안주고 강제로내쫒아버리는것은 국민차별 노숙자양성 양극화시대 보이지않는 전쟁이다 라는 말이 왜 집을뺐겨버리고 노숙자신세가되는지 모르겠다 내가 진짜 너무 화가나서 진짜 너무 화가나서 진짜 너무 화가나서 진짜 너무 화가나서 진짜,2
