,comments,likes
0,0:12 ???,206
1,솔직히 우파형은 편집자한테 월급 많이 줘야된다... 갓직히... 편집 넘 잘하자너...,1
2,본인의 생각을 얘기해주고 꾸준한 리뷰 감사해요 우파형님~~😀,2
3,우파님 항상 재미있게 보고 있습니다. 감사합니다. 내용중 주행모드 간 서스변화의 강한 느낌에 대해 혹 cls53amg 와 비교하면 어떨까요? 현재 400d 타고 있는데 세단과 쿠페에 겹쳐지는 모델을 좋아하는데 스포츠모드에서 꽉 잡아주는 느낌이 400d는 별로 없는듯 해서 기변 생각중이거든요. 우파님 의견이 궁금하네요. 항상 응원합니다.,2
4,와....요즘 BMW 디자인 미쳤다... 3시리즈부터 ㄷㄷㄷㄷㄷㄷ,3
5,차량 협찬해주신 도이치모터스 관계자분들께 감사드립니다^^,58
6,디자인 미쳤네요 ㄷㄷ 너무 이뻐요,1
7,근데 느끼는건데 형 진짜 뭔가 겁나 부자인데 겸손하고 멋있어요!,1
8,항상 재미있는 자동차 영상올려주셔서 감사합니당,1
9,이제 곧 구독자 50만이시네  우파형 파이팅!♥,4
10,와 진짜 전면부가 엄청 이쁘네요!!,1
11,Cls보다는 한 급 위 차임 ᆢ외과ᆢ실내 ᆢ다  대만족ᆢ정말 늘씬하게 잘 빠진 스포츠세단 ᆢ,6
12,기다렸던 리뷰내요 즐감하겠습니다 승훈님 겨울철 감기 조심하세요~^^,1
13,간지나는 차.아직신차할인이 없어서 지나고사시는분들이 몇분계시네요. 진짜 멋지다뒷궁뎅이가 빵빵하네요🤗🤗😂👍👍,3
14,벤츠 cls와 고민하시는 분들이 많을 듯 하네요~ㅎㅎ영상 재미있게 잘 봤습니다~^^,3
15,ㅋㅋ 우파님 신나셨네요~~늘 리뷰 재밌게 봅니다~~,2
16,8시리즈 개이쁩니다 ㄹㅇ..,12
17,"8시리즈, CLS, A7, 파라메라 아빠들의 드림카 아닐까 싶어요~ ㅎㅎ",3
18,전에 이벤트 BMW 이벤트 참여햇던 BMW 덕이라고 햇던사람입니다 절보셧을진 모르겟지만 정말로 BMW 둘러보다가 네이버 차에 이 M8시리즈 나오자마자 진짜 너무 마음에들어서 정말로 장기라도 팔아서 타고 다니고 싶어햇던 차에요 이차는 840 I인거같은데 저는 M8 컨버터블 이랑 850I 에 디자인을 전체적으로 너무 좋앗던거같아요 진짜 이런거 내인생에서 탈수가 있을까요 ㅜㅜ 타보지도못하고 꿈만꿔야하는 제자신이 너무 슬프네요 ㅠㅠ 우파형님이 너무 부럽습니다 PS.....열심히 영상 잘보고있습니다 감사합니다!!,1
19,"8시리즈 우파형님 리뷰 목이빠지게 기다리고있었습니다 ,, 드디어  쿠페도얼른해주세요",2
20,이야... 8시리즈!!!! 우파님 도이치모터스갑 입니다 ^^ 8시리즈 너무 예쁘고 멋있어요,1
21,이차랑 CLS 랑 비교하면 어떤 느낌일까요? 저도 궁금하네요,1
22,우파형 이렇게 신난 모습 오랜만에 보네용 ㅋㅋㅋㅋ,1
23,인트로 편집 퀄리티가 나날이 올라가네요!앞으로도 좋은 영상 많이 챙겨보겠습니다 ^.^,33
