,comments,likes
0,"M3를 보조석에 타봤는데, 진짜 BMW의 M 고성능의 느낌을 그대로 저에게 팍팍 받는 느낌을 주는게 좋았어요~ 배기음의 M4가 좀 더 하이 같아서 좋았습니다.아직 보조석에만 탈 수 밖에 없지만 이 느낌들을 직접 운전하면서 느껴본다면 여한이 없을 것 같네요!!",6
1,와 진짜 잘봤습니다 기다리던 영상영상퀄리티가 날이 갈수록 어마무시 하네요마음맞는 지인들과 엠투어 꼭 한번 가보고 싶은생각이 드네요,7
2,내가 여행을 한 것 같은 즐거움이네요^^ 오준님 시승기는 이래서 참 좋아요^^ 아원고택... 가족들과 다녀와봐야겠어요^^ 남해 힐튼 시절에 다녀와봤는데 저런 곳이 있었네요...ㅋㅋㅋ 재미있고 즐겁게 보고 갑니다^^,2
3,대리만족 하구 갑니다경치두 좋구 차량에 대한 느낌 평가...잘 봤네요~^^,1
4,역시 M3와 M5가 최고죠!! 영상퀄리티 대박이네요 ㅎㅎ,17
5,차도 멋지지만 영상 퀄리티가....너무 재밌게 봤습니다~,1
6,종합적인 스포츠 카로서는 M3인데... 8기통 성애자한테는 또... M5의 매력이 있죠^^,1
7,미니쿠퍼도 핸들링 좋았는데 비엠 그중에 엠은 엄청좋겠죠?? 상상도 안가네요 ㅎㅎ,1
8,영상 퀄리티가 더 좋아지신거같습니다...ㄷ 피피티 모터투어에있는거 투어 한번씩해보고싶네요ㅠㅠ,1
9,역시 안오준씨 리뷰는 좋네요.이렇게 맛집 소개나 여행 같으면서도 차를 알아볼 수 있어서 좋네요~!!!M 행사에 참여하려면 어떻게 해야하나요~~??,1
10,m투어 짱이네요!!!  밴츠나 아우디도 이런 투어도 했으면 좋겠어요,3
11,비엠 디자인만보면 개인적으론 이번에나온신형 전 구형 3시리즈게 제일이쁜거같아요 ㅎ,1
12,m3 타실때 너무 신나신게 눈에 보이네요 ㅋㅋㅋ,2
13,성능은 M5 간지는 M4컨버 인것같아요.,3
14,오준씨 항상 멘트 멋져요! 문대표도 오랜만에 보니 반갑네요!,2
15,옥스포드 그린 진짜 말이 안나오게 이쁘다..  너무 부럽다,18
16,영상 너무 재밋게 잘봤습니다 힐링되네요 !,1
17,근데 BMW는 세대가 바뀌어도 모델이 달라도 다.... 너무 비슷하게 생겼어요. 모델별로 특징이 너무 없어서 3시리즈 타다가 5시리즈로 올려 타도 차 바꾼 느낌이 외관에서는 거의 안날듯 하네요.,1
18,M2 300km탔는데 시속 70km대에서 풀브레이킹시 극심한 핸들떨림(ABS)느낌아님.  뽑기를 잘못한걸까요 아니면 후륜의 당연한 현상일까요... 고수님들 ㅜ,2
19,아원고택 고즈넉하니 좋죠ㅎㅎ그나저나 M5는 M3보다 소녀였네ㅋㅋㅋ,2
20,감성적인 영상퀄리티 음악 목소리 조화가 참 좋네요~,2
21,영상 퀄리티 오짐니다 굿M5 3월초 입양하러 갑니다^^,1
