,comments,likes
0,"2년 가까이 오너로서 리뷰 내용에 100% 동의합니다.저도 40i를 타는데 최근에 코딩나눔하면서 50i를 잠시 몰아보고 정말 크게 후회했습니다.50i 살걸....ㅠ,.ㅠ그런데 제가 X7을 뽑았던 2년 전에는 50i가 없었어요. 그 해 10월에 국내에 출시되기 시작했죠....ㅠ,.ㅠ참!! 동생분은 코딩 어디에서 하시나요?코딩 나눔 원하시면 제 유튜브 영상 설명 따라서 오시면 됩니다.....ㅋㅋㅋ",15
1,1년 넘게 몰고 있는데 가족용으론 최고의 차입니다. 애들도 좋아하고 와이프도 좋아합니다. 우파님 말씀하신대로 편안해요. 그냥 편해요. 다만 제 타입의 차는 아닙니다. ㅎㅎ 참고로 40i는 엑셀을 끝까지 밟아줘야 그 진가가 드러납니다.,1
2,"X7,q8 고민하다 건강 생각해서 걸어다니기로 하였습니다.",492
3,X7 40i dpe 6개월째 타고 있는데요.정말 이 차는 주차빼고는 단점이 없습니다.아직까지 희소성이 있어서 더 좋은거 같아요!!,9
4,이차 올해 1월에 출고받았는데너무 만족스럽게 타고다니는중입니다근데 딱한가지 불편한점은차체가 워낙 커서 좁은 주차장은 못가요 ㅠ,50
5,집값도 올랐겠다 이번기회에 좋은차 한대사야겠다  마음먹고 있었는데 영상보고 결정했습니다.^^라고 말할수 있는사람이 되기위해 작업복입고 출근준비합니다. 출근길에 삼각김밥한개 먹고 힘내자~~!!!♡,36
6,압도적인 포스ㄷㄷ 실제로 보면 장난아니죠 무광그레이? 색상 진짜 미쳤더라구요 무슨 에디션같던데,3
7,진짜 사고 싶다 근데 돈이 없다 ㅜㅜ,18
8,6기통 가솔린치고 진동이 좀 있음. 40d시승 해보고 생각보다 진동 있길래 40i샀는데 디젤이랑 큰차이 없는 정도. 그거 빼고는 대만족,4
9,사실 요즘 디젤이랑 가솔린 100원미만으로 금액차가 많이 줄어서굳이 디젤차가 좋다고 하기엔기름값 아꼈다 생각하다가디젤 요소수 관련 수리 터지면 ㄷㄷ..이제는 차라리 가솔린차가 훨씬 괜찮다 생각합니다.10년이상 오래타도 저공해차 안걸리고..,9
10,고속연비 11~12키로 나옵니다.편안한 운전감은 기본이고리뷰 감사합니다,1
11,2열 승차감 좋아요 에어세스 세팅 값이 잘 맞는듯 m50i 부러운건 힘이 아니라 후륜조향 차가 커서 후륜 3도만 조정되도 주차등이 편할텐데요,12
12,내 꿈의차.. 복권되면 바로 담날 계약하고 싶은 차,5
13,카니발 살돈도 없는데 우파님의 자세한 설명을 보면서 눈만 높아져서 큰일이네,15
14,X7은 생각도 못하고 6gt에서 X5로 넘어 왔는데 볼때마다 탐나더라구요  ㅎㅎ,4
15,차량이 너무 멋지네요. 최고네요.,6
16,X7 40d msp차량타는데 너무만족합니다.주변에서는 왜 가솔린안타냐 이런소리하는데 초반토크도 좋고 뭐 신차니까 크게고장날일도없고 애2명(4살 2살)아빤데 너무 만족합니다.,2
17,공간활용에 저 가격!!에스컬레이드도 노려볼수있긴 하지만독3사에 저 체급만 비교한거 같으니 다음엔 미국쪽도 비교언급했으면 하는 바램이네요,2
18,X7  패카로 최고입니다~  독삼사중 벤츠 6대 비엠 6대 아우디 3대 폴쉐 1대  다 소유했었고 소유하고 있지만 패카로 보면 카이엔 1.4억대 차보다는 좋아요. 만족감이.  당연한 이야기지만 s클래스 7시리즈 롱바디  보다 좋습니다. 패카 기준으로 본다면 !!!  다 소유했었고 x7이랑 같이 소유 중 입니다.아이가 초등학교 저학년 아래 기준 입니다. ㅎㅎ,5
19,출고한지 4일되었는데요 차정말좋습니다ㅎㅎㅎ,1
20,"x7 장점 : 패밀리카로 사용가능하면서도 혼자 타고다닐때 재미있다(넉넉한 출력,짐 많이드감)x7 단점 : 딱히 없는듯",7
21,진짜 SUV 최고...ㅠ,5
22,배려가 가득한 차량…..탐난다 ㅠㅠ,2
23,제 차가 x7 40i msp인데 연비는 시내 7~8km 고속주행 10~11km복합 9~10km정도 나오네요. 현재 2만정도 탔습니다. 연비 좋아요. 전 차가 640i gt였는데 연비 1km정도밖에 차이 안 나요. 전 연비주행은 안 하고 보통사람들 처럼 하는것 같아요. 정말 10년이상 타고 싶을 정도로 마음에드네요. 6gt도 정말 마음에 들었었는데 스포츠백이다보니 생각보다 트렁크가 캠핑짐 싣고 다니기엔 불편했습니다.,13
24,X7시승하고 너무 좋다고 생각하고 이걸로하려고 했는데 내부가 제 취향에 맞지 않아서 결국 gls로갔네요 출고된다는데  아직도 좀 아른거리네요,4
25,솔직히 1억이 훌쩍넘는 페밀리카를 손쉽게 살수있는 분들이 얼마나 될까요...그냥 부럽기만하네요 구경잘했습니다.,1
