,comments,likes
0,i8의 일상 및 고속영역에서 주행을 잘 보았어요. 배터리 용량이 앞으로 더 커지면 고성능 영역을 더 달릴 수 있겠네요.,1
1,영상 잘 봤습니다! 역시 꼼꼼하게 짚어주셨네요.한국형 i8이라 키도 그렇고 레이자라이트도 그렇고.. 하루빨리 우리나라도 관련 법규가 완화되었으면 좋겠네요.다음 시승기도 기대하겠습니다 :),1
2,많은 시승영상 올려주세요~잘보고 갑니다,2
3,김한용 기자님 이렇게 신나신거 458 스파이더 시승하신 이후 처음인것 같아요! 주행시승기 전부터 이렇게 신나하시는거보니 저도 즐겁네요. 비록 안전벨트에 아저씨 똥배가 나왔어도 어린아이보다 더 순수하게 즐길 수 있는 키덜트 감성이 김한용 기자님 매력이죠.,1
4,i8에 4기통 터보 엔진에 1M출력에 DCT기능을 확보한 차량 이었다면 연비면에서도16.17이상 나오지 않았을까 싶네요,1
5,캬....카본이면 간지도 나고 가격도 고가에...가볍기도 가볍고 탄성도 좋고...,1
6,김한용기자님 보면볼수록 말투도 귀엽고 펴현하는방식도 귀엽다.ㅋㅋ,1
7,카본과 편의성을 강조한 디자인이 전부인 그런 느낌이네요!,1
8,영상 잘 보았습니다.15분 남짓한 영상을 보는내내 i8이 어떠한 차인지 제대로 학습한것 같네요^^좋은 정보 감사합니다.,2
9,김한용기자님 코란도스포츠시승기할때랑 분위기가 완전 다르시네요 ㅋㅋㅋㅋㅋㅋㅋ 코스하실땐 얼굴이 비장하셨는데 i8은 놀이동산오신 기분이네요  공감합니다 ㅋㅋㅋㅋ,1
10,국산차와는 다르게 신나게 설명하시는듯 ㅋㅋㅋㅋ,1
11,역시 독일브랜드는 정말 잘만드네요 bmw화이팅,1
12,저희 아빠차가 BMW420d쿠페인데여...BMW i8도 굉장히 이쁘면서 강력하네여!!!다음에는 x시리즈도 시승기 찍어주세용!!!!,1
13,개인적으로 우리나라에 최적화된 차라고 생각함,1
14,항상 잘 보고있습니다^^,3
15,ㅋㅋㅋㅋㅋ김한용기자님 되게 좋아하신다 미소가안떠나네요,1
16,김한용 기자님(차량을 구하긴 어렵지만) 다음에는 페라리나 람보 시승기는 어떨까요 ,1
17,실제로 i8 신형에 안에카본 레이저 기능도있는걸 타고있는데 완충거리 37km 이더라구요,1
18,항상 느끼지만 목소리는 정말 편안하고 뭔가 좋으심,1
19,생각보다 더 멋있는듯하네요 엄청 신나신듯,1
20,개인적인 디자인 생각은 방향지시등이 매트릭스 램프를 썼으면 좋겠다는생각을 합니다,1
21,이분 평 하는 스탈이 참 맘에드네~ ^^다른분들의 평이...... 소리만 지르는 질낮은 평같은 느낌이 되버리네여 ㅎㅎ,11
22,전에 i8 순간 봤는데 엄청나더라구요. 뭔가 우락부락한 걸 봐서 봤는데 i8 ㅎㄷ ㄷ그나저나 반쪽짜리 i8아쉽다.,1
23,가상사운드ㅋㅋㅋ 아이디어 싱크빅하네 게임하는느낌이겠다,1
24,i8인제에서 달리는 영상 보고싶은데 아직까지는 없나 보네요 조금 아쉽습니다ㅎㅎ,1
25,진짜 너무 이쁘다... 미쳤다..,2
26,"나는 저거좋음.  비머는 취향이아니고 하나같이돼지코에 애들타는거라생각했는데  발상이정말대단함외관은 스포츠카 내부는 친환경 그것도 플러그인이라니..   이건 상업성따지고만든게아니라 기술력, 브랜드이미지재고때문에만들었다고봐야됨  성능을떠나서 정말 멋진차임",1
27,김한용 기자님 되게 신나셨네 ㅋㅋㅋ,46
28,부가티 시승기 보고싶습니다!!,1
29,기자가 자동차 리뷰를 하는게 아니라 그냥 체험 하러 간 일반인 같아요ㅠㅠ,3
30,bmw차중에서는 개인적으로 이차가 디자인갑아우디는 a7이갑폭스는 새로나온차가 갑인데 이름모름현대는 제네시스 기아는 k5르노는 sm6쉐보레는 카마로ss쌍용은 티볼리그리고 나의꿈에차 테슬라 모델s나루시드에어개인의의 취향임 ㅎㅎ,4
31,잘봤습니다 ^^,1
32,i8이 저렇게나 이쁠줄이야...,1
33,유치원선생 이 더 잘어울릴듯한 김기자님 리뷰 잘보고 있습니다,30
34,진짜 워너비 카입니다.,1
35,완전신남으로 시작해서 캐신남으로 끝난 시승기 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저 차는 누가 타도 저렇게 될 듯 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
36,"i8에 대해 찾아본 적이 없어 정확하다 할순 없지만, i8과 같이 뒷자석이 이용이 불가능 하지만 넣는 경우는 대부분 보험료 때문 입니다. 한국은 모르겠으나 해외의 경우 뒷좌석의 유무에 따라 보험료 차이가 많이 납니다. 로터스 사의 에보라나 렉서스의 sc430 도 같은 맥락 입니다. 애초에 제작부터 사람을 태우라는 의도로 만들어 진게 아닐 것이라 생각 됩니다.",1
37,Bmw i8이 제일 이쁜듯 잘봤습니다,13
38,아동보호법 ㅋㅋㅋ 간만에 웃엇네요 ㅋㅋ,1
39,전기말고 일반 휘발류만 써두되나요??,1
40,키는 해외판과 국내판이 확연히 다릅니다. 우리나라는 법쪽에 문제가 있어서 경쟁차종의 기술을 우리나라의 대기업이 따라갈 때까지 도입을 하지못하게 막습니다. 이러한 악습으로 인하여 우리나라의 국민들은 신기술인 레이져 헤드라이트와 스마트키의 일부 기술들을 사용하지 못합니다. 대한민국 정부와 국회는 이러한 법들을 경기활성화와 선의의 경쟁을 위해서라도 지금이라도 바꾸어야 할 것 입니다.,12
41,모터그래프님 i8리뷰 해주셔서감사합니다 저도 차에대에서 좀 아는데 저는i8이 외형만 스포츠카지 속도는 우리나라 2000~1990년대 차 수준의속도라서 좀 기대가않된다고느꼇는데 이영상보고 i8한번 타고싶어지네요 ㅠㅠㅠ i8최고! 그런데 이야길하시면서 욕쓰시나요? 영상에서 자꾸 삑 소리가 나서 욕인거같아서 물어봅니다 답장 않하셔두 됩니다^^ 앞으로도 리뷰 많이해주세요! 아이오닉도 재밌엇어요^^,1
42,BMW i8 아는형덕에 약2~3달정도 타봤는데 출퇴근 일상주행할땐 최고인거같음 진동이 좀 심한거 빼곤... 의자는 너무 낮게 되어있어서 불편했고 마트나 이런곳에 들어갈수도 없음 주차를 간신히 해도 도어 열리는 타입이 너무 불편했음 그리고 튀는걸 별로 안좋아하는 사람들은 이차 사면안되는게 지나갈때마다 다쳐다봄 대부분 어? 미션임파서블에 나온차다 이거나 좀차를 아시는 남성분들은 어 i8이다 이럼 아는형 말론 프로모션인가 뭐해서 4천정도 할인했다는데 그거까진 알 필요없고 연비가 상당했음 물론 충전도 하면서 전기로 다녔지만 출퇴근 거리가 왕복 한 12킬로?정도고 그두달 세달동안 혼자 놀러도 많이갔는데 유류비도 많이 안들었음 그래서 결론은 뭐냐면 돈많은사람이 디자인과 과시(?) 유지비측면에서는 갑인거같다. 하지만 문이 저래열려서 생각보다 불편함 그리고 내차 아반떼보다 훨씬좋다. 끗(당연히 좋지만) 2달 3달정도 타본 AD아반떼 유저가씀 (양카처럼 튜닝안하고 그냥 일반적으로 조용조용 매너 방어운전 하는 사람입니다.),1
43,그냥 비엠만 비라는 시승기 이분은 비엠만 바라는분같음,2
44,좋은내용감사합니다,1
45,리뷰는 모토라인이 최고지!,8
46,드라이빙센터 다른브랜드 차량도 운행가능하나요?,1
47,bmw i8 까는 분들 있는데 아직 전기차가 실용화 되지도 않고 1500cc 3기통 엔진에 4초대 제로백 찍는게 미친건데,47
48,공기저항을 덜받고 차체가 가벼워서 잘나가는게 아닌지...,1
49,이야.... 내가 가장 좋아하는 차...,4
50,신났네 신났어ㅋㅋ 애같이 좋아하는게 귀여우시네요 ㅋㅋ,1
51,근대사람들 왜욕하는지모르겠내 사람마다 리뷰도 제각각이고 그런거지. 재밌게 보고있어요~,1
52,예전에 일산에서 한번봣믐데 딱티나더라구요 i8 근데 에코모드엿나봐요 완전조용,1
53,단점에대한 지적은 거의 없네요.top gear uk의 리뷰를 보면 BMW가 발표한 연비수치에 한창 못 미치는 리터당 12km 수준이고(다른 i8도 이정도 수준으로 나온다고 함.)연비도 좋지 않은데 연료탱크 크기는 26리터에 불과해서 주유소에 자주가야 하고 주행중 배터리 충전은 스포츠모드에서만 가능하고 후방시야는 최악이고 트렁크는 정말작다.그러나 이차는 과도기적인 차지만 우리가 가야할 방향을 알려주는 차이다.라고 평했네요.,7
54,잘보고 갑니다,1
55,누구라도 신날듯...ㅋㅋ,1
56,엔진소리가 가상소리라닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
57,"배터리 엄청 빨리 닳고 뻥연비 심하다던데, 좋은 점만 말씀하시네",4
58,모터그래프는 정확해서 좋아요.,13
59,저는 김한용기자님팬이에요!,1
60,잘 봤습니다,1
61,모터그래프님은 뭐하시는분이신가요? 굉장히 차에 박식한게 멋있으시네요.,1
62,"돈되는 차만 만들어 파는 자동차회사하고는 다른 마인드를 보여주는 것입니다.저차를 보면서 연비니 가성비니...이런 얘기를 할 수 있지만, 그것을 위해서 판매하는 차는 아닌 것 같아요.돈 벌려고 만든 차는 아닌 것 같네요.",4
63,이차는 전기말고 가솔린은 없나요?,1
64,이차는 최대 몇인승인가요?뒤에 좌석이있는걸 봤는데,1
65,i8은4인승보다는2인승을만들어야될판인데여김한용기자님은키가177정도인데여뒷좌석아무도못태워야겠음ㄷㄷ,1
66,코너 돌 때랑 가속할 때 쥑입니다. 근데 소리는 진짜 별로입니다.,1
67,저 사운드 제너레이터가 외부에서도 잘 들리나요?,1
68,미래형자동차같습니다,1
69,기아 카니발은 하면서 쌍용 코란도 투리스모는 안하나요?,1
70,전기충전은 비엠베매장에서 충전하나요?,1
71,한국 도로상태에서 데일리카로 탈만한 차일까요? 방지턱은 넘을수 있겠지요?,1
72,2억이라는돈을주고사기엔.. 뭐자기취향에따라다를수도있지만^^저같으면 다른차를타겠죠..,1
73,배기음 스피커에서 나오자너 ㅋㅋ,1
74,개인적으로 가상 엔진음은 별로인데.. 여러분 생각은 어떠신가요,2
75,영종도 드라이빙 센터에서 i8 드라이빙하는거 무료인가요? 저도 드라이브 해보고싶어서요~,1
