,comments,likes
0,GT 타고 있는데 정말 넓고 좋습니다!,2
1,5gt 차주입니다.영상 잘봤습니다~!,2
2,5gt 도 좋치만  깜직 발랄 예쁘고 귀여우시고 말도 잘하고! 실물이 더 예쁘실듯! 수고 하세요 ~,3
3,우와 너무 좋은 차네요,2
4,ㅎㅎ그전엔 520d가 그렇게 좋다고 하더만!!그렇다구요..!!,2
5,lf소나타가더넓어요.한번비교해보세요.,2
6,13:16 제대로 된 카메라 시야. 차 보여주는 방송에선 차 위주로 보여주는 게 맞음,2
7,좋은정보네요,2
8,우 왕   고생하셨습니다  추운데 감기 조심하세요      ,3
9,Gt 오너인데 이런 접근도 재밋네요 ^^ .. suv 타다 gt 타는데  쥐티도 좁아요^^;;;,1
10,짱 좋타  괸찬네요  좋아요 추운데감기조심하세요,2
11,에어서스 아니구 에어스프링 입니다 후륜만..교체비용 저렴하구요.,2
12,GT는  차량가격이얼마예요?,2
13,5gt 구매 한다면  가솔린으로  추천합니다,3
14,통풍시트 얘기하려다가 마는.. 아쉬움 ㅋㅋㅋ,1
15,gt 가격 얼만가요??,2
16,5gt 에어스프링 한짝 인터넷 oem제품 8만원정도 뜨네요,1
17,GT차주로서장점: 넓다. 엉덩이가 예쁘다. 단점: 무겁다. 뒤쪽하바가 가끔씩 주저앉는다,1
18,gt 팔렸나요?,2
19,가격이얼마입니까?,3
20,,2
21,신형 gt가 7시리즈 플랫폼 기반이 아닌가요? 구형은 5시리즈 기반이 아닌가요?,2
22,판매완료 된 차량입니다 ^^,1
23,차 리뷰하실때 데루등같은 단어보단 후미등같은 용어를 사용하시는게 더 멋져보일거 같습니다~,1
24,차량 트렁크 혹시 구매어디서 한지 알수있을까요?,1
25,3gt 예정인데 잘봤습니다 감사합니다 ^^,3
26,"3gt,  5gt 모두 멋잇고 좋은차... 카저씨.. 보다보면 웃음이 절로 나오네요..ㅎㅎㅎ",1
27,5gt관심있는데요... 몇년식부터 봐야할까요? 페리나옵션이나,2
