,comments,likes
0,ev6는 사진으로 볼때는 별로였는데 실물로 보니까 엄청 미래적이더라구요. 그나저나 전기차시대에는 자동차가 주는 '감동'이 구별되지 않을 수 있다는 점을 잡 집어주셨네요.,49
1,"모카는 다른 시승기와 다르게, 사소해보이지만, 실제로는 매우 중요한 포인트를 잘 집어줘서 아주 좋아요~ ^^",46
2,EV6는 진짜 디자인이 심지어 실물파 너무 예쁘네요,128
3,디자인도 잘 빠지고 주행거리도 잘 나와서 아이오닉5보다 잘 팔릴 것 같네요:),39
4,전기차가 많이 발전하니 기분이 좋네요 오늘도 많은 지식 배우고 갑니다.,7
5,EV6는 실제로 봐야 압도됩니다. 정말 예쁜 디자인,34
6,ev6는 진짜  타보고 싶은 차에요 디자인이 일단 미쳤어요 기아차 주식 샀답니다 ㅎㅎ,14
7,확실히 김한용 대표님은 대한민국 자동차 리뷰어 중 세 손가락 안에 드는듯적절한 편집도 한 몫 하구요,7
8,"출근길에 봤는데, 전면 후면 모두 존재감 있더라고요..참, HUD는 2016년식도 IMS에 따라서 위치 조절 가능해요~",41
9,얼마전에 EV6택시 타게됐는데 아저씨가 악셀을 넘 밟아서 좀 울렁거리긴했는데 승차감 적당하고 조용하고 나쁘지 않았습니다. 전기차 처음이었는데 첫 인상은 좋네요,6
10,기아 디자인은 인정..... 디자인분들이 칼을 갈고 만드는 느낌이 듭니다. 하체의 고급화는 아직도 갈길이... ㅠ. 살살 달린다면 그닥 큰 문제는 없을 듯합니다.,19
11,성능을 떠나서 요즘 현기차가 디자인 하나는 진짜 쩌는 듯 ㅋㅋ,12
12,정말 김한용 기자님 설명 너무 깔끔해서 좋아요. 재미있게 잘 봤습니다.감사합니다!,12
13,잘 봤습니다. 리뷰 너무 재밌고 좋네요. ㅎㅎ좋은 정보 많이 얻고 갑니다~!,13
14,솔직히 이브6면 외제차도 안부럽다.. 너무 이쁘고 잘만들었다 10점 만점에 11점 준다,31
15,디자인 진짜 대박이다,7
16,"Ev6 잘나온거 같네요~ 테슬라처럼 fsd, 소프트웨어 개발도 잘 했으면 더욱 좋겠네요~",3
