,comments,likes
0,우와 또 인기 동영상에 오르다니. 기아 K5 정말 대단합니다. 최근 올라온 3개의 K5 동영상이 모두 인기탭에 올라갔네요. 대체 얼마나 많은 분들이 관심을 갖고 계신걸까요. 여러 동영상이 있는데도 제 영상을 봐주신 여러분께도 감사드립니다.* 구독해주세요! : https://bit.ly/2NCioiE 김한용 hy.kim@mocar.kr,541
1,잘나온건 잘 나왔다해야죠. 이번 K5는 진짜 잘나온거 같네요 디자인은 진짜 역대급 ㄷㄷ,372
2,K5 디자인이 확 바꼈네요 이전에 K5 1세대 하이브리드 탈때 디자인이 너무 마음에 들어서 구매했는데 이번 디자인도 너무 멋집니다 영상 잘 봤습니다,2
3,디자인 정말 멋지네요  거기다 기능 시스템이 기가막히네요,1
4,진짜 잘나온듯... 이 디자인으로 오래 갔으면 좋겠다 싶을정도로,3
5,이번 신형 진짜 너무 잘만든듯 사고싶다..,10
6,조립하기 어려운 요소가 많앗다고 하셨는데그만큼 마감이 정말 중요하겟네요.출고하고 몇개월뒤에 뽑기 실패햇다 이런말까지없어면 정말 잘만든 차임에는 확실해지겟군요!,1
7,와.... 디자인설명도 진짜 잘하신다.,60
8,"기자님 항상 좋은 영상 감사합니다.쏘나타와 비교해 차선유지, 차간거리조절 기능은 어떤가요? 동일 한가요??와이프 차 한대 사주려하는데 제가 경험한차가... 두종류인데해당기능을...s60, 아테온과 비교해서 설명해주실 수 있나요ㅠㅠㅠㅠ",2
9,구매 생각중인데 하이브리드도 시승기 꼭 부탁드려요~ 하브 살 생각이었는데 1.6T가 생각보다 연비가 좋고 하브처럼 2중유리라 고민중입니다. 정숙성 승차감 위주로 궁금해요,5
10,현재 2세대 k5 갖고 있는 사람으로서 이번 3세대 모델은 디자인이나 기능면에서 기변을 진지하게 생각하게끔 만드네요. 그! 러! 나!!!!! 디자인을 너무 잘 뽑아내서 1세대 k5처럼 양카들 대량 생산이 우려됩니다 ㅜ.ㅜ,1
11,"K7프리미어도 그렇고 이번 K5 절취선 테일램프가 개인적인 생각에 저는 정말 이쁘다고 생각이듭니다.약간 이제 절취선 램프가 약간 패밀리룩으로 가지않을까 생각이들고, 그리고 공도에 K7프리미어 밤에보는 테일램프가 존재감 압살이던데요!ㅎㅎ",25
12,와..대박 ! 서민의 스팅어 될듯 ! 옵션은 진짜 최고네요 ㄷㄷ,3
13,길에서 k5볼때마다 감탄하다가 영상 찾아봤는데 외관말고 다른점들도 이정도 일줄이야ㅣ... 완전 짱이네,14
14,디자인적으로 차량 세부설명을 정말 맛들어지게 해주시네요 ㅎㅎ,1
15,진짜 역대급 디자인 차량,5
16,10년전만해도 현대기아는 1.6리터급에서 저런 성능을 구현하지 못했지요요즘은 정말 잘만들어졌습니다,1
17,이렇게 좋다고 좋다고 한 차 잘 못봣는데 대박이네 진짜 좋나보다..,3
18,요즘보면 디자인이랑 편의기능은 진짜 잘뽑는다고생각든다,1
19,외부 디자인 하나는 진짜 사고싶게 잘 뽑네요..,4
20,디지인은 국산차중에 최고다........디자이너 상줘야할듯ㅋ;; 특히 헤드램프 간지,236
21,요즘 기아 디자인은 하나같이 다 이쁘네요.,2
22,K5 디자인이 대단하네요. 겉모습은 좋아도 문제는 속이죠. ㅜㅠ,9
23,"잘봤습니다.감사합니다.패들쉬프트가 짧은 거는 조금 단점 인것 같다는 생각이 듭니다. (패들쉬프트, 아직 미경험자 입니다. 주행 중 +,- 수동 변속 많이 하는편 입니다.)핸들을 꼭 그위치만 잡고 있는 것은 아닌데 말입니다.그외 나머지는 다 맘에 듭니다.",1
