,comments,likes
0,와~ 댓글 달았더니  정말 세레스 다뤄주셨네요! 감사합니다^^기회가 되신다면 군용으로 쓰였던 록스타와 그 후신인 레토나 같은 군용과 민수용 겸하였던 자동차 시리즈도 한번 다뤄주세요. 국방의 의무를 다하셨던 분들께는 많은 추억이  깃든 차량이라의미가 있을 것 같습니다.,65
1,이건 진짜 농업의 여신이죠. 진짜 여유 된다면 세레스 하나 사서 복원해두고 싶음. 못 가는 길이 없는 트럭. 기계식이라 고장도 잘 안남,78
2,"세레스가 2010년에 들어서기 전까지는 제주도에서 꽤나 많이 보였던 것으로 기억합니다. 비단 제주도 뿐만 아니라 강원도 산간지방에서도 2010년에 들어서기 전까진 자주 보였죠. 지금은 봉고 3 고상형이 자리를 이어받고 있지만, 당시엔 정말 농민들에겐 독보적인 포지션이 아니었을까 생각해봅니다",37
3,저게 이후에 나온 봉고4륜보다 등판능력은 더 좋았다죠 ㅋㅋ연천에서 군복부 할 때 민통선 위병근무 나가면 경운기 바퀴 끼고 비료포대 싣고 밭 올라가는 모습 자주 봤는데 엄청나더군요.,10
4,내가 처음으로 몰았던 차가 바로 세레스 .... 1989년 진흙밭 과 산길을 다녀야했던 직업 특성상  진짜 이만한 차가없었음  .... 지금 생각해도 이 차가 없었다면 아마 엄청 고생 했을거임  .... 나중에 이차의 진가를 알고 머드타이어 끼고산악 오프로드 다닌사람도 있었음 ..... 진짜 최고의 차 ~!  세레스 만큼은 진짜진짜  인정 .... 오프로드 끝판왕 !,20
5,시골이나 공사장에서 아주 가끔씩 보이는 세레스 트럭 볼때마다 아직도 잘 굴러가는게 신기합니다ㅋㅋ,8
6,진짜 시골에 어느정도 녹슬어있는 세레스 보면 군대 주임원사 느낌,5
7,3년전에 92년식 세레스 시골집에 있었는데 아버지 돌아가시면서 동네 형님한테 팔아버렸네요.등판능력도 좋지만 힘이 좋아서 어떤 물건을 실고도 못올라가는 곳이 없었죠. 제가 운전을 아버지한테 세레스로 처음 배웠는데...,27
8,상품명이 일반 명사로 굳어지는 경우는 흔치않습니다.   봉고. 그 이름만 들어도 얼마나 우리 사회에 친숙했는지 다들 공감할 정도입니다.우린 차를 산 것이 아니라  새로운 가족을 얻었다. 라고 할 만큼이라면 말 다 했죠.,7
9,어릴때 부산 자갈치시장에 가면 삼륜차를 봤고 90년대까지도 세레스는 심심치 않게 볼 수 있었지 지금도 아주 가끔 세레스를 보면 반가운 기분이...국내서 상용차부문에선 기아하던 시절이 있었는데 지금은 참 아쉬운 형국이지,9
10,저희 아버지 차를 여기서 볼 줄이야ㅋㅋㅋㅋ 아버지 중고로 구입하셔서 지금도 시골가실 때 잘 타고 다니시네요 대신 일반적인 도심 도로 주행은 극악입니다 정말,24
11,마더러시아의 카마즈 메르세데스 벤츠의 유니목! 조선의 유니목 세레스ㅎㅎ 군대 있을때 (강원도 양구) 세레스가 진심 좋았어요 험한 언덕에도 잘 올라왔었던 기역이 나내요ㅎ,29
12,이차는 말이 필요없습니다.. 그냥 여신이 아니라 농신 !!어릴적 시골에 살았는데 많이보았죠.. 지금도 간혹 볼수 있죠. 너튜브에서 ㅋ근데 균용도색한 세렉스는 ㅋㅋㅋ 진짜 군용차인줄.,12
13,유니목도 농기계로 시작했는데 세레스와 다르게 브랜드 벨류로 지금도 팔리는걸 생각하면 묘하네요.,1
14,"96학번~ 40대 중반의 아재입니다.제가 국민학교 다닐 때,아버지께서 저 쎄레스로통학도 시켜주시고이것저것 여러 일들을 하셨던기억이 나네요~추억 속의 한 장면을 소환해주셔서 감사합니다~^^",4
15,잘모르던 승합차 역사까지 꼼꼼하게 찾아주셨네요~저 어려서 차인데 브로스님 태어나기전 자료까지ㅎㅎㅎ좋은 정보 감사합니다,12
16,1998년식 울 집에선 아직도 사용중. 진짜 천하무적 입니다.  가성비로만 따지면 유니목은 절대 못따라옴,1
17,세레스 많이 기억나네요.. 1998년식 1년탄거 아는 사람한테 중고로 싸게 가져와서 2018년도까지 열심히 제주에서 저랑 같이 다녔네요.. 매연때문에 검사를 통과를 못해서 어쩔 수 없이 폐차 후 봉고3 중고 구입해서 다니는 중이네요. 요쪽에선 봉고3+4륜구동=세레스입니다..ㅋㅋㅋㅋ 요쪽 분들은 다 세레스라고 부르시네요,2
18,"반갑습니다. 제주에서 꽤 오래 볼 수 있었던 차량입니다. 뭔 규정이 생긴건지 20~21년을 기점으로 거의 대부분의 차는 폐차된 듯 하더라구요. 이제 개체수가 거의 없습니다.초기엔 호루탑이었고 4륜이 중간에 나왔고 페리때까지 뒷좌석이 있었다는 사실, 이 영상으로 배우고 갑니다. 잘 봤습니다.",9
19,"고장없는 기계식 세레스같은게 진정 트럭이고 농업에 딱맞는것이지... 지금이라도 예전같이 부활하면 촌사람들은 전부 한대씩 뽑을것이다,",7
20,실내 물세척도 가능하고 시골에서 경운기가 다니는 비포장 도로 폭을 생각하면은 봉고3보다 조금이라도 작은 세레스 선호도가 아직도 높은것일지도 과수원 중간까지 차가 들어갈수 있는것도 여전히 선호도가 높은 이유인듯 유로6 생각하면 디젤로는 안될꺼고 가격경쟁력도 없으니 전기차 토크값을 생각하면 이런 걸로 만들어도 괜찮을지도...?,1
21,이게 진정한 트럭인거 같습니다..,2
22,"시골에서 세레스 강점? 차폭이 포터에 비해 좁아서 농로 굉장히 편하게 다닐 수 있다는 것! 경운기 다닐것만 생각해서 좁게 만들어둔 농로도 요리조리 잘가고, 4륜이라 눈비와도 끄떡없고 정말 좋았쥬",1
23,89브로스 덕분에 많은 것들을 배워가네요 ㅎㅎ 그래서 말인데 헤네시도 다뤄주세요!,1
24,세레스만 보면 친구 할아버지가 생각나네요.. 나무싣고 읍내가다 마을버스랑 부딛혔는데 두 다리가 절단된 채로 친구 집에서 뵀을 때 그 충격이 아직까지 사라지지가 않네요 트럭 운전하시는 분들 안전운전 하시길 정말 위험합니다..!,1
25,산판(벌목)의 황제 세레스군요 ㅋㅋㅋㅋㅋㅋㅋㅋ 시골에서도 아주 유용한 녀석입죠 ㅋㅋㅋㅋ 특장도 많은차 ㅋㅋㅋㅋㅋ 2 단덤프도 되던  무서븐 녀석 ㅋㅋㅋㅋ,7
26,기회가 된다면 우리나라 이륜차 산업에 대해서도 다뤄주셨으면 좋겠습니다.,5
27,크으.... 농촌의 동반자 세레스... 어릴 적 경기도 광주군(그때는 군ㅋㅋ)에 살았는데 시골마을이라 세레스 몇 대 있었죠.비포장 논두렁도 잘 달리고 옆에 달린 무언가로 물도 막 뿜어대고 짐칸에 땡크 싣고 다니면서 농약도 치고 그런 거 자주 봤었는데추억 돋네요 !,1
28,제가 옛날차를 잘 몰랐는데 저희 동네에 자주 다니는 세레스가 그렇게 귀한차인줄 몰랐네요...,2
29,경기 연천입니다. 동네에만 2대 남아있었는데 재작년 비 많이올때 침수되서 물빠지고 견인됬었는데 주인아저씨가 조금 고치더니 며칠만에 다시 타고다니셨습니다.,5
30,국내에서 유일하게 적자로 판매한 차량이 쎄레스죠. 차체가 가볍고 4륜모델은 정말 못가는곳이 없는 오프로드 머신이고 최신 suv도 못 올라가는 눈길언덕길도 가볍게 주파하는 성능으로 눈오는 겨울에는 포르쉐도 안부럽다는 ㅎㅎㅎ,3
31,시골에 살아서 웬만한 트럭은 다 몰아봤는데 세레스 등판력은 다른 트럭들 찍어누르더군요 ㄷㄷ,11
32,와 저희 아버지 출장차 도 나오내요 ㅋㅋㅋㅋ 진짜 어린시절에 항상 멋져보였던..,3
