,comments,likes
0,이번 영상도 잘 봤습니다. 유난히 추운 날씨에도 독자들을 위해 좋은 영상 올려주셔서 감사합니다~,2
1,시승기로는 유툽 1등이시네요! 가성비만큼은 인정 해줘야하는 차라고 생각합니다. 이정도면 아반떼 AD 밸류플러스 트림과 한번쯤 싸워볼만 하다라는 생각이 드네요.,63
2,"지금 1700km탔는데, 생각보다 가성비 좋음. 옵션도 충분하고...연비는 13정도(고속도로 안뛰었음). 단점이라면 좀 통통 튀는 느낌이 있고 외부소음이 잘 전달됨. 자금 넉넉하시면 더 윗 사양을 고르시고 가성비 따진다면 꽤 괜챦은 가격대.",3
3,진짜 스토닉은 잘 만든 차 같아요 가성비 좋게ASCC LKAS만 옵션으로라도 넣어줬으면 최고일텐데 ㅠㅠㅠ,4
4,꼼꼼하신 댓글에 감동하여 영상본다는 약속지키러 왔습니다. ^^사실 국산차 영상은 챙겨봅니다 아마 김한용기자님 첫 영상본게 SM6 출시때인 것 같습니다. 늘 좋은 소식 부탁드립니다.,1
5,"전방 추돌 경보, 보조 다 있습니다. 후측방 경보도 있구요비록 옵션이지만 깡통부터 선택할 수 있게 해놨죠보통 이정도 급이면 최상등급에서나 고를 수 있는데기아에서 아주 각오하고 가격표 만든거 같더군요 ㄷㄷㄷ타사는 옵션으로도 없는데가 많은데",151
6,잘팔릴것 같네요. 하지만 요즘 시대에 1.4 mpi 엔진은  놀랍네요..,1
7,방송 참 차분하게 잘 하시네요...,3
8,진짜 가성비를 논하는 차량이 되버렸네요 ㅎㅎ,85
9,한 가정에서 세컨카로는 체곤거 같은데생애첫차라든가 성능안따지는 여성운전자라든가 주로 출퇴나 마트갈때 쓰는차 정말 필요할때 고속도로도 올릴수있고 기아가 타겟층은 정말 잘잡은듯,9
10,"엔진룸 텅 빈 걸 보니 1.4 터보로 내었으면 더 좋았을듯... 코나팀킬이 되긴 하겠지만, i30 1.4와 1.6디젤 풀옵의 가격차이가 200 좀 넘게 차이난다는걸 감안하면 사실 스토닉 디젤과 240만원 차이나는 지금 가격에는 1.4 터보가 들어가도 될 만 한 가격이긴 함.",6
11,터보랑 통풍만 넣어주면 꽤 평타 칠것같다   (크기가 작은건 함정ㅋㅋㅋ),2
12,경차보다는 좋아보이네요. 그 이상으로 평가하기에는 어렵네요.,1
13,마지막에 편집이 이상하게 된건지 애매하게 끝나네요- 잘봤습니다! 역시 조근조근한 김한용기자님><,1
14,와...역시 코나보다 훨이쁘네요 진짜 조잡하지도 않고 심플하면서 이쁜디자인 좋네요 담엔 스토닉 세컨카로 ㄱㄱ,1
15,영상 재미있게 잘 봤습니다~!,2
16,가성비 좋음 현재 운행중 뭐 집사고 급폐차를 하는 바람에 자금이 부족해 사긴 했는데. .  정속 주행을 즐기는 나에겐 불편함 전혀 없음,21
17,스토닉 디젤과 비교해서 가격이 싼거 외엔 큰 메리트는 없어보이네요. 시내바리만 하면 괜찮을듯.,3
18,말 많은 1.6 GDI가 아니라 1.4 MPI라서 오히려 마음에 드네.,29
19,"쏘울 오너인데 쏘울과 소형 suv가 얼마나 차이가 나길래 쏘울은 우리나라 사람들은 언급조차 안할까요? 이번에 이사하면서 쏘울의 공간활용성에 정말 만족했습니다 실내도 정말 넓고 연비는 조금 아쉽지만, 스토닉은 트렁크 공간도 굉장히 작다는데 옵션부분에서도 풀옵션은 쏘울이 조금 더 비싸긴하지만(스토닉엔 없는 파썬과 통풍시트, HID, 전동시트 등) 있을건 다 있으니 가성비에선 밀리지 않는다 생각합니다 투톤도 QM3만 나왔었다 했지만 이미 쏘울도 투톤은 색이 정말 다양하게 있었죠 쓰다보니 차자랑 같이 됐는데 쏘울 참 실용적인 찬데 좀 많이 보였으면 해서 적어봅니다",18
20,"패밀리용, 짐을 다양하게 실어야 된다면 스토닉이 좋을거라 봅니다.개인적으로는 아반떼 살 듯",1
21,디자인 갑인데 저가 버젼으로 나온게 아쉽네요~ gt같은 1.6 스포츠버젼도 나왔음 좋겠네요~,1
22,실용적인 차를 찾는다면야 스토닉이 좋긴 하죠,60
23,디자인만 보면 한국 suv중에선 최고 소음이나 잔고장부분에서 검증된 mpi 가격은 가성비최강 but 엔진출력이나 연비 고급옵션 취향이시리면 절대 비추,5
24,2008보고있었는데 이거 진짜 이뿌네요 ㅠㅠ,1
25,중고 가성비 개꿀인듯. 얼마전에 아는분  뒷좌석 차 타 보니 짱짱한 느낌에 뒷좌석도 별로 안좁던데 엔카 검색해보면 동급차 베뉴보다 훨씬 싼듯,1
26,스토닉의 기본적인 오디오 성능이 궁금 합니다.,1
27,맞아요. 이거 살려는 사람들이 코나 티볼리 니로 qm3만 보는게 아니더라구요. 아반떼 k3 아이오닉 i30등등 그냥 그 가격대 비슷한거 다봐요,21
28,가격면에서는 보면 가성비는 좋으나 가속 정말 답답합니다 ㅋㅋ 준법시민 딱 맞네요 정말 쩜사에서 쥐어짜는 힘이라 ..ㅋㅋ  가격대비 옵션 장난은 안친거같습니다 주관적으로 ..,14
29,귀엽네요.. 편하게 타고다니기는 좋은듯zz,1
30,가솔린 1.0 터보 모델도 시승해주세요~,2
31,아무리 suv라지만 이거보다 아반떼 밸플이 낫지않나요?굳이 300더주고 살이유가없는듯 해요 디젤이면 가성비괜찮은데 가솔린이면 1.4면 프라이드랑 가격차가 심합니다,1
