,comments,likes
0,내가 ㅁ ㅏ! ㅅ ㅓㅍ ㅓㅌ ㅣㅈ ㅣ!!!!,594
1,와... 진짜 조립 상태 보니 어이가 없네요 ㅎㅎ,35
2,진짜 너무이쁩니다...디자인 너무너무 예뻐요...,12
3,엑셀과 브레이크 답력 민감도는 어떤지 궁금하네요. 영상으로보니 정말 멋지고 잘만들어진거같네요.,10
4,현기차 디자인 진짜 이갈았네 .. 이번에 나오는 신차들 진짜 전부 다 너무 예쁨,12
5,"개인적으로는 뒷좌석에 있는 지퍼형태의 수납공간 아주 칭찬합니다. 25개월과 5개월의 아이가 있는 집에서 수납공간, 특히 저렇게 지퍼가 있어서 아이들이 쉽게 빼지 못하는 공간 참 좋구요, 뒷자리에 주로 타시는 부모님이 선글라스 놓을 자리가 없다고 하셨는데 그렇게 사용해도 좋을 듯 합니다. 뒷 자석용 글로브박스라고 하면 좋지 않을까 생각합니다.",21
6,전면 빼고 실내 실외 모두 디자인 좋아졌군요.,7
7,역시 한용님이 설명은 최고,6
8,디자인 정말 이쁘네요,3
9,차 설계랑 디자인이랑 좋아지는거 인정 .. 하지만 생산 공장은 똑같아서 아쉬운것들이 자주 나오는거 같네요..,63
10,현기 노조 진짜 대단하다 ㅋㅋㅋㅋㅋㅋㅋㅋ 일을 제대로 해야 월급을 올려주지 지금 월급도 이해 안되는데,230
11,모카 60만 구독자 축하드립니다!!! 항상 재밌게 보고 있습니다 ㅎㅎㅎ,8
12,"김한용 선생님의 설명은 항상 느끼지만 명료하고 이해되기 쉽습니다. 좋은 영상 감사드리며, 더위에 건강 유념하시길 바랍니다. 모카! 화이팅!",39
13,김한용 방송 볼수록 괜찮네...,5
14,차에 대해서 항상 배우고 잇어요~,1
15,우와 축하드립니다. 이미 전에 다니셨던 회사보다 규모가 커지신것 같습니다. ㅎㅎ,1
16,차 완성도 실화냐?,2
17,좋은정보 잘보고 갑니다~,1
18,와 2열시트 각도 젤 맘에 드네요 대박,2
19,차봤서영님이랑 조합 진짜 좋네요! 재미있게 잘 봤습니다,14
20,진짜 디자인은 되게 세련되게 잘뽑은거같네요.. 생산공정의 아쉬움으로인해 역시나 뽑기(?)라는 두려움이 있지만,56
