,comments,likes
0,"우리나라에서도 흥했으면~!! 소울같은 차가 늘어나면 한국 도로가 한층 다채로워질거 같아요~!! xm3, 트레일블레이져, 셀토스 등등 유럽도심처럼 작고 이쁜차들 늘어났으면~!!^^",48
1,"비록 쏘울 구형을 타고 있지만, 이렇게 쏘울에 대해 알아주고영상제작을 해줘서 오너로서 굉장히 기쁘고 뿌듯하게 느껴집니다.. 모트라인 안좋아할수가 없네요. 흥해라 !!",89
2,"(19년식 쏘울 부스터 중고차 반년 타본 후기)작년 말 중고차 살때 어떤 차를 살까 고민하다가 쏘울 부스터 19년식 1600만원에 나왔길래 뭐 하자가 있어서 싸게 나왔나 싶어 이 영상을 본 후 매장 찾아가서 그냥 바로 지름. 반년 이상 타본 결과 굉장히 만족함.1. 일단 잘 없어서 나만의 레어함이 느껴짐. 구형 쏘울은 많이 보이나 신형 쏘울은 ㄹㅇ 일주일에 1~2번 볼까 말까2. 높이가 있어 뒷자리 폴딩하면 진짜 대형 SUV처럼 짐칸 존나 넓어짐. 하지만 차박하기엔 차 길이가 작아서 성인 남성이 하기엔 좀 빡세고, 짐칸 활용만큼은 최고임. 3. 차가 ㅈㄴ 잘나감. 출력이 좋으니 목표 시속까지 도달하는게 굉장히 빠름. E클래스타는 친구가 시운전 해보더니 왜케 잘나가냐고 놀랬었음. 물론 좆밥차 치고는 잘나가는거만 좋다는 말씀만 드림.그렇다고 승차감이나 운전감이 구데기다 이런건 없음. 걍 나머진 평균정도 하는 듯.4. 2번과 같은 맥락인데 높이가 꽤 있으니 개방감이 좋아 동승자의 만족도가 높음. 멀미심한 사람 멀미도 덜함. 5. 외관은 호불호가 나뉘지만 내관 디자인은 나름 세련되었다는 주관적인 생각. 동승자들이 생각 외로 예쁘다는 말을 수없이 들음.6. 외관 앞면이 꽤나 둥그렇게 잘빠지고 디자인이 예뻐서 좆밥차같지 않아보임. 근데 뒤를 보면 영덕대게 에디션 + 박스카라 그런지 레이 아류 느낌 살짝 나서 좆밥차로 보임.7. 연비 꽤 괜찮음. 아니 좋은 편임.8. 모든 가솔린 차들의 장점이지만 조용함.9. 중고차 가격이 싼 편. 어차피 이 부분은 되팔때도 감가가 많이 되는 단점이 있겠지만 어차피 이제 내연기관차들은 해가 거듭할수록 감가 오지게 쳐맞을 예정임ㅠㅠ이 중에서 제일 좋은 장점은 박스카 특유의 탁 트인 개방감. 거기에 짐도 많이 싣기 좋음.사회 초년생이거나 중형 SUV 살 여력은 안되고, 짐 싣는 일이 많거나, 내외관이 불호가 없는거 같다면중고차 시장에서 쏘울 부스터 매물 나온다면 1픽으로 꼽으세요. 어차피 쏘울은 매니아틱해서 구매의향하는 사람 자체가 별로 없겠지만 매물은 더 없어요 ㅠㅠ이 영상 덕에 사회초년생 첫 차를 좋은 차로 사게 된 거 같아서 감사드린다는 말씀드립니다.",16
3,신차출고 1년 됐습니다. 그동안 탔던 차량 중 가장 만족하고 있습니다. 디자인때문에 전체적으로 저평가 된 것이  가장 아쉽습니다ㅎㅎ,1
4,"쏘울, i30은 제가 정말 좋아하는 차종인데, 좋은 리뷰 해주셔서 감사합니다. 그리고 성로씨 리뷰 실력은 이제 경지에 오른듯 하네요. 그놈의 이탈로 인한 선순환으로 봐도 좋을듯 합니다. 탁월한 진행력에 매번 감탄합니다.",7
5,리뷰가 차분하게 점점 발전하네요~^^트렁크 크기도 언급해줬으면 좋았겠어요~,3
6,쏘울은 진주색 바닐라 쉐이크 색상이 진리라고 생각했는데 블루 색상 쏘울도 멋지네요. 쏘울 처음 나왔을 때 디자인의 유니크함에 반했었는데 우리나라에선 인기가 없어서 의아합니다. 예쁘고 좋은 차인데. 부스터의 리어 디자인은 취향이 아니라 좀 아쉬워요.,15
7,쏘울부스터 관심있게 보고 있습니다가격과 상품구성을 보면 가성비가 아주좋습니다1.6터보에 7단DCT 200마력이 넘는 힘을 보여줍니다이런차가 2월달에 고작 44대밖에 안팔렸다는게 믿기지 않네요한국사람들은 이렇게 생긴차를 싫어하는것 같습니다,51
8,최근에 차 바꾸고 싶어서 가격보고 있는데 정말 여러 소형 SUV중에 쏘울 부스터가 가장 가성비가 좋은것 같습니다. 딱 중간 트림 선택하면 풀Led 라이트에 통풍시트에 액정 모니터 등등 그냥 출고해서 썬팅만하고 타면 되겠더군요.,2
9,"감마1.6터보엔진의 경우, 177마력 사양과 204마력사양의 피스톤이 다릅니다.... 예전 KSF아반떼컵에서 엔진수리받은 선수들 차에 코나 피스톤이 사용되어 문제가 된적이 있었죠. 여튼 소프트웨어만으로 차이가 나는건 아닙니다.",58
