,comments,likes
0,세단은 별로 안이뻤는데 왜건은 진짜 이쁘네요.. 딱 제취향,1
1,한국에서 볼수 있으면 좋겠다...,3
2,뒷좌석 리클라이닝이 되는가요??,1
3,그러나 웨곤은 국내서 안팔린다는..ㅎ,1
4,야... 탐나내요 2.0tgdi sw 국내출시하면 꼭 구매를....,1
5,언제봐도 남의물건 험하게 다루시는듯..,1
6,뭔가 업로드 돼서 왔는데 재업이네용.... 쩝.... 유튜브 수익은 더 벌수 있으니 좋은 이득이군요 !!!!,1
7,옵티마가 K5아니예요?,1
8,영상 작업자가 실수로 삭제해서 새로 올렸답니다. 쩌업.,1
9,옵티마라고 해서 봤는데 k5인줄 알앗어,2
10,K5인줄,1
11,i40하고 같아,1
12,씹선비 댓글들 봐라... 극혐이다 아주... 그나저나 K5모델 인터뷰좀 해주시지 이쁘던데... ㅋㅋㅋ,1
13,똑같은거 한번더 올리신거 같은디...,1
14,????리업로드???,1
15,1등 !,1
16,내가3등,1
17,다음 세대 디자인이 더 기대되는 차..,1
18,렌탈카로 몇일 써봤는데 운전감이 좋아졌고 핸들은 떨림없고 토요타 켐리처럼 조용하기도 했습니다. 다 좋아졌는데요 고속도로로 가면 차가 많이 진동/흔들리네요. 켐리는 고속도로에서도 조용하거든요. 외형재질이 가벼워서 그런건지 잘모르겠네요. 꼭 이점이 더 좋아졌으면 합니다.,2
19,난 k5 디자인 좋아함 ㅋㅋㅋㅋ,5
20,세로형 크롬형 그릴이 사라졌네요... 이번 k5의 디자인 포인트는 거기인데..,1
21,2.4는 185마력이고 1.6터보 178마력인데 190마력 180마력으로 하셨는지...,1
22,피터 슈라이어의 걸작...,8
23,에스컬레이드랑 6000정도 차이나는데 비슷한 크기와 출력이라 충분히 수요가 있을 거 같네요 매력적인 차네요,4
24,와...팰리가 베뉴가되는 마법..타호는 진짜 거대하네요,32
