,comments,likes
0,주인이 꽃미남이네요,6
1,"스텔라는 88올림픽때 출시한 스텔라88로 정점을 찍었죠.참고로 제가 군복무 시 저희 집 차가 대우 에스페로였습니다.당시 어떤 차를 구매할까 식구들이 고민했었습니다.가격대.배기량으로 캐피탈의 경쟁 모델은 현대 엘란트라.대우 에스페로였습니다.배기량과 가격대가 셋이 비슷. 그 상위 모델로 대우는 프린스였고, 기아는 콩코드, 현대는 소나타였습니다.로얄살롱은 80년대 중,후반까지 였습니다.굉장히 고급차였죠.참고로 제가 군복무 후 93년에 택시 알바도 했는데,중형택시로 스텔라,소나타가 있었고 일반택시로 엑셀.캐피탈.에스페로가 주로 운행되었습니다.",3
2,와 대단하다 멋지다!,1
3,한때 유지 했었는데..하브베어링이 유독 약해서 자주 교쳬 했는데..,1
4,응원합니다,2
5,에스페로 슈퍼살롱 찾아주세요,3
6,플라워링하트 성우 장정진 🎉😅,1
7,제발 인제에서 민폐 부리지말아주세요 ㅋㅋㅋㅋㅋ,1
8,소중한 추억이 깃든 가족의 자동차를 박물관에 기증해주신 기증자 가족분들의 마음이 아름답습니다,6
9,아... 맘이 정말 쿵... 눈물이 핑입니다.,6
10,아드님께서 관리하시며~~계속 소유하셨으면!~~~굉장했었을겁니다!,4
11,고맙습니다박물관 관계자 분도 잘 관리해주십시오,1
12,크.... 멋지네요,2
13,1991 뉴 콩코드,1
14,에쿠스 기어봉 썬루프,1
15,당시에 캐피탈 디자인은 정말 멋졌었죠 ㅎㅎ 그에 들어가는 고알피엠 B5도 일품이었습니다. 이렇게 영상으로 보니 감회가 새롭네요ㅎ,3
16,세피아와 슈마에도 들어간 1.5 B5 DOHC사운드 잘 듣고갑니다! 계기판도 멋지고요,3
17,정말 멋진 차량 잘 보았읍니다 횐님 ^^*,1
18,91년식 캐피탈 타고 다녔는데 그당시에는 정말 좋았는데.개인적으로는 엘란트리보다 좋은거 같았음..,1
19,"캐피탈, 제 아버지가 타시던 첫차죠.",2
20,나의 첫차 92년도 캐피탈,1
21,예전에 아버지지인분차 그리고 택시로 많이타봄,1
22,구독 좋아요 알림설정까지,2
23,다이나믹 세단 캐 피 타~~~~알!,3
24,블로그 싼마차님 맞나요?,1
25,농심 자갈치,1
26,"캬...막내이모부 차가 포텐샤였는데 말이죠 ㅎㅎ 한번은 큰이모부네 사촌누나 결혼식장 가는데 저희집 마포, 막내이모집이 종로6가 효제동이라 사당동에서 결혼하는데 차 얻어타고 다녀오는데 포텐샤타고 저도 모르게 어깨 뽕들어갔던 기억이...ㅎㅎ 추억돋네요 포텐샤~~^^",7
27,추억의 포텐샤군요...기아가 계속 살아있었으면...하는 바램이...(합병되지않고),5
28,뒷자리 리클라이닝 기능있었는데요ㅎ90년대 아버지차였는데 추억이새록새록하네요통풍구도 좌우상하 자동 풍향조절도 됐었는데ㅎ 40만타고 눌렀습니다.,5
29,벤츠가 옛날차를 벤치마킹했다면 기아 포텐샤가 아니라 오리지날 모델 마즈다 루체였겠지요...,5
30,사고싶다ㅜㅜ,2
31,2.0 후기형 포텐샤는 그래도 아직 좀 있지만와......저 초기형 그릴+초기형 후미등+V6 3.0엔진 저 조합은 정말 국대에몇대 없겠습니다!,1
32,"저 재수할때 앞집 아저씨의 포텐샤2.2가 급발진 의심으로 저희집 담벼락을 와르르.. 했던 기억이.. 있슴다. 다행히 다치지는 아니하셨고요저차 좀 서운한게 수동은 백키로에 3천rpm오토는 모르겠는데..기아차 다 그러더라고요. 카렌스1도 그러고..프린스도 25백에 백  나왔는데..기어비 세팅이.,ㅜㅜ좋은 영상 잘봤습니다.",4
33,"진짜 오래된 차네요, 고모부가 막 샀을때 제가 할아버지 영정사진을 들고 조수석에 탔었던 기억이 있습니다, 가죽냄새때문에 오바이트할뻔했던.. ㅜ",8
34,포텐샤도 사이드가 모하비처럼 발로 조작하는 방식였다는데 맞나요?이차 전조등이 그랜버드랑 교환되는 걸로 유명하죠,2
35,일본 버블경제 시절 갬성이 그대로 들어있는 차심지어 V6이네...,5
36,와... 만약에 산다고 하면 오토큐에서 수리가 될까요? 안되겠죠? 맨날 폐차장마다 전화해서 부품있냐고 물어봐야할듯..,3
37,"과거 무역회사 스카웃되서 일할때 지급된 차였는데, 원래 대표님 차였던걸 회사 잘좀 키워보라고 하시며 받았던 차 ~그때당시 하차감이란...",1
38,92년도에 나온차가 ㅎㄷㄷ,5
39,이정도면 사고가 심하게 난건지 궁금합니다. 리어 범퍼커버교환후론트 범퍼커버 탈착후론트 범퍼도장후론트서스펜션ass’y우 교환 궁금합니다 사고차인지 알려주세요 잘아시는분 댓글부탁드립니다 설명도 해주시면 정말 감사하겠습니다!,2
40,추억에 포텐샤이네요.,3
41,"저당시 뉴그랜저와 쌍벽을 이루던 포텐샤.. 명차였지..  한간지 험을 꼬집으면 앞뒤범버가 쳐진다는거..,10대중에 8대가 범버쳐져있었던거..",1
42,포텐샤 리뷰 해야되는데...,7
43,ㅋㅋ포텐샤 너무 오랜만에 보니 이랬었나 생각이 드네요.,6
44,일본차느낌이 나네요 지금까지 굴러다니는거보면 관리잘했네요,3
