,comments,likes
0,"어쩌면 EV6도 기아 최대의 업적 중 하나로 평가 받지 않을까요.. 화석연료차에서는 K5, 전기차에서는 EV6 이런식으로요..그리고 개인적으로 EV9는 대체적으로  굵은 직선을 고수하면서도 헤드램프의 끝부분이 날카로운 도검을 연상시켜서 디자인이 맘에 들었습니다.",39
1,항상 하는 걱정이지만 전기차로 발전하는 가운데 커넥티드로 모든 자동차 정보를 통합 제어한다면 바이러스나 해킹의 위험에서 얼마나 잘 방지하느냐가도 중요해 질듯....,46
2,500이 중요한 이유가 안전충전 허용치인 80% 수준을 감안해도 실주행 400이 넘는 수치기에 정말 일상영역에서 편하게 사용할 수 있는 주행거리인데다 세단도 아닌SUV라니...너무 기대되네요.,35
3,"G90을 정말 경쟁력있는 전기차 성능과 주행거리로 내놓으려면 (전기차 성능 순수평가에서 2류수준인) 벤츠 EQS에 맞출께 아니라, 테슬라 모델 S플레드나, 루시드에어드림에 맞춰서 내놓아야 하는거 아닌가 싶네요. 그런면에서 현대차 기술이 아직 모라라고...",2
4,기존 먹거리가 사라지는 만큼 새로운 먹거리가 나타나는데 전기차 전용 가전기구가 대표적이지 않을까 싶네요.,15
5,"아직 성공은 시기 상조라고 봅니다. 테슬라는 자동차 사업만 하는게 아니라서 현대차도 계속 발전해야될 필요가 있어요. 솔직히 테슬라는 솔라시티 및 로봇 사업, 우주 산업 까지 있어서 아직 따라 잡는건 시기 상조라고 봅니다.",3
6,테슬라 주주로써 테슬라는 대단하네요,8
7,EV6 운행 중입니다.  처음 차량 구입해서 100% 충전하면 주행 거리 470km 표시 되었는데  최근 100% 충전하면 주행 거리가 533km 나옵니다. ~~ 주행 방법은 회생모드 오토 세팅하고 고속도로에서는  오토 크루즈 기능 사용합니다. 과속하지 않습니다. 전기차도 내연 기관차와 동일하게 주행 거리는 운전 습관에 따라 많이 좌우 되는듯 합니다. ~~화요일(3/22)에 100% 완충하니 546km로 13km 더 올라가네요,8
8,기아 전기차 라인 너무 마음에 듭니다.디자인은 현대보다 나아 보여요!,18
9,"ev6, 소렌토 하이브리드, 스포티지 하이브리드,,, 대기기간 현기증난다 ㅠ ev6는 처음에 사전계약 한사람이 아직 못받은 사람도 있다던데 차 받기전에 페이스리프트 될듯",21
10,추가적으로 얼마전에 유럽에서 현대기아가 BMW 점유율을 이겼다는데 현재도 잘 팔리는 모델들 중에 아이오닉5와 EV6가 효자 모델이라 하네요. 그런데 제가 해당 기사를 제대로 본 것도 아니고 판매량을 정확히 아는 것도 아니라 따로 확인하는걸 추천드립니다.,13
11,누군가는 제원으로 차량을 평가하지만 누군가는 브랜드 감성으로 차량을 평가한다그 브랜드 감성의 영역을 현대 기아가 잡을 수 있다면...,2
12,"주행거리자체 숫자만 보고 부화뇌동하면 안됩니다.   500km 넘는것 자체야 좋은데 400이든 450 이든 500이든 실제 배터리 용량대비,  그리고 디자인을 무리하게 희생해서 공력계수만 낮춰놨는지 여부가 중요한거지 그냥 무지성으로 500km 숫자 뽑을라고 하면 테슬라와 더불어 현대기아는 맘먹으면 얼마든지 할 수 있는 기술 수준이 됩니다.   전 아이오닉5 ev6 등이 굉장한 가능성을 보여줬다고 생각하는게 디자인과 실용성을 훼손하지 않고 모터와 감속기 만으로 그 정도의 주행성능으로 400-500사이를 뽑았다는데 있습니다.",3
13,EV9과 똑같은 디자인으로 소형이나 중형이 나와주면 땡큐베리~~~~,4
14,근데 ㄹㅇ g80전기차는 제발 올해나올때 거리 500은 넘겼으면 좋겠다,2
15,"커넥티드 카 무서워요... 테슬라 이번 업데이트때 실내카메라 사용동의 묻는데... 옆에 현업 개발자가 타서 하는 말 ""이거 보려고 하면 볼 수 있다."" 커넥티드카가 편리하지만 결국 사생활보호 문제 생기는 거죠. 우리가 하는 모든 말, 모든 행동이 감시될 수 있다는 사실 :/",2
16,지금 내연기관차 비교적 작고 싼 모델들은 1~2천만원에도 탈 수 있는데 전기차는 언제쯤 이 시대가 올지 기다려지네요.. 저는 그때 쯤이 와야 전기차 살 수 있을 듯 해요,21
17,가격도 대박으로 나오겠죠?ㅠㅠ,9
18,좋은 소식 잘 봤습니다. 감사합니다. ~,4
19,나중에는 전기차 사야겠다 ㅎㅎ 점점 좋아지고 있고만,6
20,좋은 정보 감사합니다,3
21,말 잘하네요. 물론 물 흐르 듯 논리도 있고 내용도 괜찮네요. 우리 젊은이들이 열정도 있고 똑똑하니 우리 나라 앞날도 밝아보여요. 당신들은 우리 나라의 소중한 자산입니다. 응원합니다~~,3
22,ev9 먼저 출시후 시장반응이랑 부족한거 더해서 gv9 출시될듯,8
23,"추후 개발되거나 개선되는 차량에는 기계적으로 엔진동력전달을 차단하는 원터치비상레버가 의무화 되었으면 좋겠다.해킹, 급발진등의 오류상황에 대처할 방법이 없다.",2
24,테슬라는 이제 어떡해요 X = 소프트웨어 테슬라못따라가는데 어떡해요 O,13
25,예전 영화에서 차량들이 좀비가되어 주인공을 따라가는 장면이 있었죠. 그만큼 보안에도 크게 신경써주면 좋겠습니다 ^^,2
26,제네시스 G90이 전동화로 나오지 않는 이유가 일본이나 유럽이 우리나라 정치권에 로비해서가 아닌지 의심해봄.,2
27,그래도 기아 디자인은 괜찮음.. 현대는 뭐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 왜 그러는 것인지는 참 이해가 안 가요,4
28,기아가 디자인도 그렇고 잘해나가는듯 현대는디자인ㅜ,3
29,경사네요~더욱발전하길  바랍니다,2
30,가격이 대중적일까요? 4륜에 옵션 몇 가지 선택하면 9천만원 육박할 듯?,10
31,걱정: ...쏘렌토 카니발도 주차하기 힘든 나라인데......이거 어떻게 주차하지...?,10
32,"저런 국내기준 대형급 suv가 제로백 5초대라...  현기가 리막에 몇천억 투자했는데, 거기서 기술 받아온 듯.",2
33,현기 안티들이 이기사를싫어합니다,2
34,노조때문에ㅜ의도적으로 기아를 더 키운다 함,4
35,가격은 EV6 두배일듯,4
36,걍 EV9이 늘 그렇듯 마루타로 양산가고 안정화 확인되면 제네시스나 현대에 도입될듯여,5
37,성능을 보아하니... 1억 2천은 할거 같은... 느낌적인 느낌...  ㅎㅎㅎㅎ,3
38,스팩 540 이면 나오면 실 주행 400임,9
39,통합제어기 넣어놓고 밴츠가 하는짓 따라하지  않았으면 하네요...,2
40,최대 540Km 주행 가능이니까아마 wltp 기준 아닐까요.코리아 기준으로 하면 400Km 나올까 말까일 거 같습니다.세계 대상 거리 발표라 국내 기준 사용 안했을 거예요.,4
41,안피디님 말 속도가 느려졌어ㅋㅋㅋㅋㅋ,3
42,차가 커서 배터리가 큰거 아닐까요?그래서 540정도 나오는거고,7
43,부딧치는 순간 통장 개박살,4
44,근데 전기차 수리비는 국산을 떠나서 비싸지 않나요...????,2
45,아무리봐도 제네시스는 기술력으로 각재는거같음 기아가 600키로 가면 제네시스는 각보고 800~1200이렇게 낼거같음,3
46,소프트웨어에서 테슬라랑 비빌수준이 되는지..,5
47,디자인만 제발 좀 어떻게 해주면 진짜 대박일거 같은데.전면 헤드라이트라도 좀 심플하게 안되나? 뭔가 과하게 덕지덕지 붙인 느낌이 중국차 느낌이라 아쉽네....헤드라이트랑 리어램프 라인을 몇번을 꺽고 두께변화를 주고 그런것만 다듬어도 괜찮을거 같은데.,1
48,다필요없으니 반도체만좀 해결됏음 좋겟습니다,2
49,이걸보고 GV90이 엄청 기대된당,2
50,"가격, 자율주행 3단계, 배터리수급....",2
51,대리기사님도 생각해줘야할듯요. 차 너무 크면 힘듬,1
52,현대는 전세계로 뻗어나가고 판매량도 많은데 주식은 왜 계속 바닥을 치냐고요...,9
53,EV9 납기일 기본 1년6개월 봅니다. 사전 계약못하면......,2
54,일본에서 팔면 사고싶다. 기아 일본에 안 들어올려나?,2
55,이거 바로 사야겠다,3
56,저 스펙.. 진짜 그대로 나올까? 나온다 해도 제발 옵션 장난질은 하지 마라 제발...,2
57,EV9 가격은 8천만원대 되지않을까요?,2
58,다 좋은데 가격이 문제죠..ㅜㅠ전기차 완전 보급화 되면 지금보다 훨씬 저렴해 질거 같은데...,4
59,출력을 쫌 많이 낮춰서 보조금전 3500만원대는 언제 나올까... 550km 정도 해서,2
60,다필요없고 내 차나 빨리 나왔으면..,4
61,인프라 시설을 전국적으로 먼저 갖추고 대중화를 논하는게 우선이지. 차만 판다고 다가 아님.수리는 누가 할 거고 보증은 어찌 할 건데 이런거 보면 노답이여,4
62,잘팔려야 진정한대박이죠.,1
63,??? 제네시스 G80 전동화 모델 실질적으로 주행리뷰하신분들 600KM도 넘게 간거로 알고있습니다모델S롱레인지도 마찬가지고요  500KM는 진즉에 뚫렸습니다요,4
64,ev9 멋지네 오..,2
65,차타본중에  현대  뉴에쿠스 타는데 50만킬로 까지 잔고장없는 기적같은 차는   내차만 그런줄 알았는데    중고차 시장엔 50만킬로 현대차가  태반이네,1
66,제발제발제발 그랬으면 좋겠네요...,1
67,신차는 계속 나오는데 차는 안나오는 이 엿같은 상황…,3
68,Ev9....풀옵 1억 이겠지...,9
69,요즘 현대차 최곱니다~~~,4
70,개인적인 생각으론 기아디자인이 너무 강렬한거 같다.그렇게 또 못생겼다고 생각하는건 아닌데 뭔가 까딱하면 일본차처럼 될것같은 디자인..,2
71,현대는 항상 기대 이상의 실망감을 항상 던저주지...조만간 또 충전중 불타거나 달리다 불타거나 어쨋거나 불타거나 하겠구먼,1
72,기아는 대박나려면 옵션장난질이나 그만해라. 이번에나올 ev9도 옵션질 엄청해대겠지. 기대도안함,1
73,돈이 많은 사람이라면 모를까.. 대부분의 중산층들이 참 힘들어 할 시기인듯 하네요.  자동차가 핸드폰 같아 진다는 말에 공감합니다. 그 이야기인즉...  차 발전 속도가 내연기관 시대와는 다르게 아주 빠르게 발전하기 때문에... 시대와 발전에 뒤떨어지지 않으려면 자주 바꿔야 하거나... 소프트웨어뿐 아니라... 하드웨어 업그레이드를 위해 계속해서 비용을 들여야 한다는 것이겠지요. 과거 차 한대사면... 짧으면 5년... 대게 10년 가까이 큰 돈 들이지 않고 차를 유지하며 타던것을... 이젠.. 망가지지 않아도 돈을 써야 할듯 합니다.  거기다 전기차는 내연기관 차보다 2천만원 이상 더 비싸고... 발전의 빠름에 비례해 중고차 가격은 상대적으로 더 떨어질테니 말입니다. 그래서 요즘 고민이네요. 8년된 휘발유 차를 조만간 전기차로 바꿀지... 아니면 한 2-3년 이상 더 타고 눈치를 좀 봐야할지... 간혹... 연료비로 충분히 아낄 수 있다고 하시는 분들도 있던데... 저같이 년 5000km 전후 타거나... 1만 미만으로 타는 사람들에겐... 배터리도 수명이 있으니.. 차후에 교체비용이 오히려 더 비쌀듯 하더군요.,2
74,잘봤습니다.,1
75,승용차는 전기로 가는게 맞지. 북극곰 불쌍해서가 아니라 인간이 본 적 없는 자연재해가 덮치고 있으니까.그걸 기아가 앞장서면 좋고.,4
76,700km까지 개발 완료했다는데 사실인가요?,2
77,차량밧데리 하나에 들어가는 필요한 리튬의양은   대략 60kg 몇년후면 리튬전쟁이 예고되는데 자원이 없는 우리나라로선 어떻게 리튬확보를할건지 아님  대체에너지원을 찾아야됨,1
78,크기가 풀사이즈가아니라 미드사이즈보다도 작네요콜로나도보라 200도더 작네요,1
79,디자인은 신경써야 할 듯...,2
80,테슬라외 기타. 기타는 기타들끼리 경쟁.,4
81,ev6 10킬로 미만일때 이상한 소리 난다던데....,1
82,자율주행이 ........그래서 안사요ㅠ,3
83,레벨3 자율주행 개나소나 한다고 하니까 현대도 한다고 말만 하는거지,3
84,소비자가 원하는 차는 ᆢ거기서 거기 ᆢ 비슷비슷해 보이는흔하디 흔한 차가 아니라 ᆢ형태부터  전혀 다른 180도 다른차를 원합니다 사고가 나도 덜 다치고사계절내내 그늘을 상시달고다니는 파격적인 차를원하는것입니다유튜브에서 자동차안전캡 을보고 힌트를 얻기 바랍니다,1
85,다 치우고 차가 나와야 타지 지금 주문하고 15개월 이상임~~,1
86,4680셀이 들어갈 것 같습니다.,2
87,전기차가 주류가 될수있진 않을것 같은데??  내연기관차와 영원히 공생관계로 지낼것 같은데??,1
88,암만 좋아밧자 겨울이면 절반밖에 주행못하는데.,1
89,니오는 700키로 1000키로 이미 나올예정.,1
90,왜  현기차를 부정적으로 말하는 사람들 말을들으며? 왠지  그 근거가 있는 분석이라기보다는  바램? 뭐 그런게 느껴질까,2
91,주행거리는 배터리 용량  차이입니다.차를 잘만들고 못만들고 와는 별개임,1
92,ev6도 13개월 걸리는데 ㅋㅋ ev9 20개월 걸리긋다,2
93,이제 남은건 누가 대통령이 되느냐..그리고 그대통령이 기업을 아래로 보고 가지고 놀지위로 받들어 올려 힘을 실어줄지,1
94,그렇게 당하고도 아직 정신못차렸네!!그래 많이 사고 잘타라!!짜는소리 죽는소리 하지말고,1
95,아니 ㅅㅂ 출고지연 해결 좀 해줘 제발.. 돌아버리겠네;,2
96,ev9은 디자인이 밋밋하다. 마인크래프트 따위로 대충 만들어놓은 것 같은 느낌이 있다.,1
97,세차하다 물들어가면 보상안됨.오늘 뉴스에 나왔음,1
98,현대에서 많이 챙겨주나 봅니다.  박명장출연때부터 제의들어왔나?,3
99,이거출시되면 나중에 일터질거 같은데,2
100,니켈 가격 올라서 배터리 어쩌하나요...ㅠㅜ,1
101,"문맥상 ""레드오션""이 아니라 ""블루오션"" 아닐까요?",2
102,등치 큰 소울같네 ㅎㅎ,1
103,그럼 머해요 비싼데 폭스바겐는 2천만원짜리 나오는데 대중적인 차가 나와야지,1
104,저모양 기아차 그거같다 ㅜㅜ,1
105,결국 자국민 마루타로 현기는 세계로?,3
106,그러니까 모하비 위치의 전기차 라는거죠?,1
107,하극상이고 뭐고 차나 빨리출고해라,2
108,문제 는충전소가 부족해,1
109,애초에 벤츠타는 사람들은 이런 국산차의 기술혁신은 관심이 없죠..,2
110,"우리는 항상 퍼포먼스 몰빵 보단 상품성에서 쇼부를 봐야함. 퍼포먼스는 예전 내연(일,미,독)이든 지금떠오르는 전기차든 미국이라는 미친양놈들이 있기에.. 우린 거기에 정면하는것보단 지금처럼 계속해서 상품성(마감,인테리어 등을 말 하는거임)+ 적당한 성능 이거야 말로 궁극기다. 이미 성능은 개인적으로 미국 다음이라고 생각한다. 좀만한 땅에 가마끌던 시절 자동차 만들어 팔던 자동차 선진국가들 쫒아가느라 고생 많았지만 좀만 더 힘내자. 난 정말로 전기차 시대만큼은 현기에 대한 기대가 매우 크다.. 우리나라 별거 없어도 반도체나 안정화공정같은건 우리가 오지게 잘 하자나 . ㅋㅋ 위상이 올라가는 만큼 결함이나 as처리도 더더욱 발전 되기를",3
111,4륜으로 540km?,1
112,해킨당하면 이건 폭탄 이에요,1
113,전기 버스 국내 것 좀...,2
114,밧데리 수명  설명  해주세요,1
115,,1
116,문열리는갬성 차디자인갬성 쌋다;,1
117,가격이 문제  1억 넘으면  꽝,1
118,한대 오더 넣어주소~,1
119,대박 났는데 판매량은 왜 그럼?ㅋㅋㅋ판매량은 거짓말 안한다,1
120,그저 웃지요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
121,스타리아 전기차 소식은 없나요?,1
122,제발 기아 주식좀 올라라,1
123,스펙이 넘사벽인데......,1
