,comments,likes
0,진택이형은 항상 이유 모를 정감이 간다. 현대 설명회에서 여러 제지에도 굴하지 않고 날카로운 질문을 하던 모습에 팬이 되기로 했다.,102
1,진택이형꺼는 의리로 무조건 광고 끝까지 본다,71
2,"몇년째 보고있지만, 정말 장진택 기자님의 꾸밈없이 담백한 차량 리뷰는 너무너무 보기 좋습니다. 항상 응원합니다. 기자님! 아니, 유튜쁘 꿈나무님! ㅋㅋ",5
3,장기자님은 허접하게 혼자 리뷰해도 최상의 리뷰를 만드는 국내 유일의 디자인 리뷰어입니다. 화이팅!!! --------- 구독---꾹꾹꾹,2
4,리프 차량을 자세히 알수있어 좋습니다. 차리뷰는 장진택 기자님이 최고^^,3
5,화질보다 중요한건 장진택 기자님이 하신다는게 팩트입니다.항상 응원합니다.^^,4
6,"진택이형은 자동차 리뷰계의 ""순수한 영혼"" 그 자체 이다.",1
7,이제 점점 본 궤도에 오르고 있는 듯 합니다. 이대로 쭉 가시죠!~,6
8,"장진택 기자, 앞으로도 계속 응원합니다!지치지 말고, 많은 영상 부탁드립니다.",4
9,무직이라뇨? ㅠㅠ 여전히 최고의 기자이자 인기 유튜버이자 자동차 전문가이자 칼럼니스트.,6
10,정진택 기자님 응원합니다 좋은영상 많이 올려주세요차 좋아하는 입장에서 늘 재밌게 유익하게 보고있습니다,1
11,디자인에 대한 설명은 정말 갑이네요~ 항상 응원합니다.,1
12,지금도 충분히 보기 좋아요.친근하고 정감가는 편집느낌(?)입니다 ㅎㅎㅎ,1
13,"진택 횽아.....환절기 감기, 비염 조심하세요,,,훌쩍 거릴때 마다 아쉬움이 들어요~~~ㅠㅠ 늘 관심있게 보고 있습니다...! 덕분에 자동차를 보게되는 디자인적 관점의 수준이 높아지는거 같습니다!!!",1
14,잘 보았습니다. 영상 좋습니다. ^^ 이 정도시면 조금 지나면 손색 없으실듯 합니다.중간에 아찔한 상황이 있었네요. 생생한 생동감 있어서 좋기는 한데. 안전운전  기원합니다.우연히 들은 리프의 클락션 소리지만 싱글 혼인가 보네요. 소리가 조금 가벼운듯...,1
15,뒤늦게 검색하다 아주 훌륭한 리뷰를 하시는 님을 보게 됐네요닛산 일본 홈페에지를 보면 제대로된 리프E+가 있는데도 불구하고 그얘기를 하는 유튜버가 없었는데 님은 그것부터 언급하고 가시는걸 보고 감탄했어요좋아요 구독 꾸욱 누르고 갑니다,1
16,진택이형 싸랑해요 ㅎㅎ 문짝리뷰 오래오래 해주세요!!!!!!!!!,1
17,진택이 형님 카미디어장진택 기자입니다 때부터 봐왔는데 용기 잃지 마시고 언제나 좋은 영상 감사드립니다.,1
18,카메라 잡아주신 동네형님 감각 좋으신데요^^,1
19,구독자 쭉쭉 늘어나니 왠지 제가 배부릅니다. 잘 보고 가요.,1
20,그냥 편리한 그냥 전기차군요ㅎㅎ잘봤습니다.,1
21,저도모르게 장진택 기자님 팬이되었습니다..  자주좀 올려주십쇼!!! 감사합니다,1
22,아... 영상 보는데 진택이형님 너무 짠해요...ㅠㅠ유감독님 없었음 지금의 미디어오토도 없지 않았을까.........,2
23,진택이형 구독자 엄청 빠르게 늘고 있다 100만 가즈아,1
24,장진택 무직 ㅋㅋㅋㅋㅋ 형님센스는 언제나 굿이지요.,1
25,좋은 영상 잘 봤습니다 고생 하셨습니다,2
26,아...현기가 전기차를 잘만드는군요 몰랐습니다,1
27,디자인은 아주 마음에 들지만 가격을 맞출려고 너무 낮은 등급으로 들어온게 아닌가 하는 아쉬움은 크내요...,1
28,형님 오늘도 좋은 정보 얻고 갑니다~,1
29,곧 구독자 50 만 돌퐈~~진택짱,1
30,진택이형 화이팅!,1
31,언제나 응원합니다!^^,2
32,그전에 영상에 비해 이질감 없어요 꼭 화면전환이나 자료화면 삽입필요없고 그냥 이대로만 해주세요^^,26
33,진택이형...흥하자....,1
34,장진택(무직) 하지마시고 ㅋㅋㅋ (자유의몸) 하십쇼 ㅎㅎ그게 멋집니다. 형님을 부러워 하는 사람도 있습니다 ㅋㅋㅋ,13
35,오늘도 열일하는 진택님. 홧팅.,1
36,장진택(무직)ㅋ항상 응원합니다10만 구독자 가즈아~~,1
