,comments,likes
0,유투브에서 봤던 큐브 리뷰 중에 제일 좋네요~ 3세대 오너 인데 잘 봤어요~ 단점도 있지만 분명 매력적인 차량 입니다~ ^^,2
1,혹시 보험료가 외제차로 빠져서 비싸나요?차가 너무 예뻐서 바꿀까 고민중인데욤^^,2
2,좋은정보네요 혹시 부품은 구하기 쉬운가요?,2
3,닛산 큐브 친구가 처음으로 탔던 차량 ㅋㅋㅋㅋㅋ 우핸들이라 너무 불편했어욬ㅋㅋㅋㅋ 그리고 1년만에 레이 타다 또 1년만에 cla 이렇게 넘어가더라구요! 저 또한 5gt 가솔린 오나 로써 쌀롱님 영상 기달립니다 ㅎㅎ 쥐티도 많이 올려주세요!,2
4,이거 너무 연식이ㅜ오래되서 중고차 탈만할까요?  수리비가 더드는거 아닐가 망설여지네요  ...ㅎㅎ,2
5,수리비가 얼마나비싸나요 현대차 소나타비해,2
6,이렇게 작았는데 모터그래프 이렇게 까지나 커졌구낭 멋있당,2
7,쥬크가 상당히 독특하게 생겼네요. 설치류 같이 생겼어요. 마치 돌연변이 들쥐 같은 느낌입니다.,1
8,예쁘고 잘나가고 ..  가격이 조금아쉽,1
9,모터그래프의 신석기 시절 영상이네요. 주크는 가격대비 별로네요.ㅎ,1
10,제가 쥬크를 타는데요..주행해보면정말 잘 만들었다는 느낌이 듭니다..옵션은 깡통수준이지만 자동차로서 기본기는 확실한거 같습니다..pm3비교 하시는분 있는데ㅋ 같은 뼈대지만 성격이 완전 다른 찹니다...,8
11,이건.. 모터그래프 단칸방시절?..이랫던 시절이 있꾸나...,2
12,ㅋㅋㅋㅋㅋㅋ 차 ㄹㅇ 개웃기게생김 ㅋㅋㅋㄱㅋㅋ,5
13,도대체 뭐로 찍었길래 저렇게 울렁거릴까요..,2
14,김한용씨가 차를 직접 만드시지,3
15,뭐라해도 흉기보다 낫다,6
16,카메라 녹화한거 멀미할꺼 같아요....ㅠㅠ,3
17,탑기어 해먼드가 경악하는거 보고 알게됬지만 디자인은 봐도봐도 경악이다..,1
18,외관 디자인이 좀 그러네요,1
19,차 진짜 개얄밉게 생겼네 ㅋㅋㅋㅋ,2
20,다시보니 선녀,1
21,즣더구나?그렇더나?,1
22,사실.. 저차를 보면서 느끼는거지만.. qm3를 사는게 낫다고 봅니다. 아니면 올뉴쏘우..아이건좀 아닌거 같네요 ,2
