,comments,likes
0,2열기준 티구안이 더 여유롭고 티구안 4륜이구 또한 콘크리트 고속도로 주행시 노면소음은 티구안 비교불가 우위. 케시카이는 초기 가속발진시 부드러움이 우수함~,1
1,노면소음 말곤 단점이 없는차 ~,8
2,뒷 디자인은 sm5닮았네요,3
3,티구안도 시승기 부탁드려요~,2
4,이거 사고 싶었는데 판매중지네요 ㅠㅠ 어쩔수없이 알티마로 갑니다,2
5,이정도로 극찬하시다니 ㅋㅋㅋ,1
6,유럽여행 빵터졌네욬ㅋㅋㅋㅋㅋㅋ,4
7,닛산 캐시카이 단점 한가지 더 추가해주세요.ㅠㅠ'1.6 디젤 4륜구동 모델 부재의 대한 아쉬움'으로 추가해주세요.ㅠㅠ,1
8,별 다섯개네요 저렇게 칭찬하는거 처음보네요,8
9,이거 몇년도 캐시카이인가요? 인테리어 디자인이 다른데요.,1
10,중고차로도 관찮을까요?,1
11,배기가스 조작했데여~,2
12,한국은  뭐가그리까다로운지  이핑계저핑계   전세계 수입도정치적  판단이   기계장비에까지  미치는 한국기계장치도 장치로  판단하는  .....정치에 충성하는   엔지니어  공무원이 있는한 한국은  민주주의로 판단하는 순위에서  oecd국가중 꼴찌의  민주주의나라..한국이 사회주의 국가인줄 알아가는  한국 국민,9
