,comments,likes
0,유투브에서 봤던 큐브 리뷰 중에 제일 좋네요~ 3세대 오너 인데 잘 봤어요~ 단점도 있지만 분명 매력적인 차량 입니다~ ^^,2
1,혹시 보험료가 외제차로 빠져서 비싸나요?차가 너무 예뻐서 바꿀까 고민중인데욤^^,2
2,좋은정보네요 혹시 부품은 구하기 쉬운가요?,2
3,닛산 큐브 친구가 처음으로 탔던 차량 ㅋㅋㅋㅋㅋ 우핸들이라 너무 불편했어욬ㅋㅋㅋㅋ 그리고 1년만에 레이 타다 또 1년만에 cla 이렇게 넘어가더라구요! 저 또한 5gt 가솔린 오나 로써 쌀롱님 영상 기달립니다 ㅎㅎ 쥐티도 많이 올려주세요!,2
4,이거 너무 연식이ㅜ오래되서 중고차 탈만할까요?  수리비가 더드는거 아닐가 망설여지네요  ...ㅎㅎ,2
5,수리비가 얼마나비싸나요 현대차 소나타비해,2
6,"큐브를 레이랑 비교하는 이유 쏘울은 이미 대중적으로 인기 + 해외시장에서 폭넓게 인기를 이어가는 있는중. 반면 닛산 큐브는 시장성이 매우 낮아 일본에서만 의존도가 높은편. 레이보다 비싸면서도 불구하고 쏘울보다 편의성,안전성(에어백포함) 모두 다 쏘울이 압승. 레이 터보와 편의성조차도 닛산 큐브가 못따라옴. 단지 닛빠들이 내세울 거라고는 일본산 엔진이라는데 그 일본산 엔진 수리하는데 수리비용이 장난아니게 듬. 혼다차도 수리비가 엄청난데 과연 그보다 더 대중성이 없는 닛산이 수리비 감당이 될련지 의문일거임. 큐브 차 타보고 느낀게 그놈이 그놈임.",2
7,"원조 박스카, 닛산 큐브~♡",4
8,큐브는 앞모습이 ㄹㅇ멋짐,2
9,레이를 감히 큐브랑 비교하다니ㅋㅋ,1
10,1.8을 왜 레이하고 비교함? ㅎㅎ,3
11,닛산VS기아가 비교가 되나? 일본엔진VS국산엔진 비교 안되는데 일본엔진 따라잡을수 없는데 레이는 큐브 그대로 컨링한차,4
12,와 8년 전 꺼야...ㄷㄷ2020년에 보는 사람?,6
13,레이는 안멋짐ㅋㅋ,4
14,레이가 갑이지 저런 깡통타 큐브하곤 비교가 안되걸랑,6
15,비슷한 스펙 큐브 차량 더 있나요?,2
16,현재 타고있는 레이팔고 사고싶다,1
17,매물 아직 있나요?,1
18,팔렸나요?,2
19,이렇게 친절하게 잘 대해주시니 얼마나 좋아요. 가격도 넘 좋고 차량 좋은거 잘 골라주시고~~,3
20,이렇게 꼼꼼하게 잘 봐주는곳 없어요 ㅠㅠㅠ 진짜 잘 찾아오셨다ㅜㅠㅠㅠ,2
21,우와... 혼자 중고차 사러 오셨다니... 진짜 멋지십니다 !!,2
22,너무 보기 좋다 ㅜㅜ 중고차에 대해 인식이 안 좋았는데 점점 좋아지네여ㅎㅎ,2
23,여성분 혼자 중고차 사러 오시다니 ㅋㅋㅋㅋㅋ 진짜 대박ㅋㅋㅋ,2
24,큐브 진짜 귀엽고 좋은차량^^,2
25,영상 너무 잘 봤어요 꼼꼼하게 자세히 알려주시면서 도움주시고 ㅜ 너무 좋네요,2
26,차량구매는 자신의 목적이 중요합니다. 괜히 갔다가 혹해서 다른차량 사오는경우가 많거든요,3
27,멀리도 오셨네욬ㅋㅋㅋㅋ 고생하셨습니다 ㅠㅠㅠㅠ,2
28,박스카 진짜 예쁘다 ㅜㅜ,2
29,닛산 큐브가 은근 잘 팔리네여 저번 영상에서도 본거같은데,2
30,다음에 또 오셔서 구매하실 느낌이 듭니다 ^^,2
31,좋은 소문 많이 내주시길 바래요,2
32,저도 중고차 사게되면 꼭 찾아뵐게욯ㅎㅎ,2
33,여성 분이 그것도 혼자서 구매하러 갔는데 이 정도 평가를 받는다면 누구든지 믿지 읺을 수 없지요. ^^ 구매자 분도 네 시간 걸려서 수원까지 가는 것은 결코 시간 낭비가 아니라고 여기실 겁니다.,2
34,박스카의 원조구나 닛산!!,2
35,다른곳 가셨으면 덤탱이 이빠이 맞고 그랜져 사오셨을듯,2
36,중고차 사면 오일같은건 다 갈아주는게 좋겠죠..?,2
37,트렁크쪽 밑에부분 열어보는 이유가 뭔가여??,2
38,중고차 살땐 구해줘카즈 가세요. 잘못사진 않음,2
39,구해줘카즈 대표님들은 휴가 안가시나요~?,2
40,아빠!,2
