,comments,likes
0,지금보니 당시에는 상당희 앞선 디자인,15
1,"12:21 이러한 티아나에는 영상에서는 컬러오디오도 있다는 것을 확인할 수 있지만, 원래 오디오는 2세대sm5와 1세대의 sm7과 똑같습니다. 아마, 이 영상은 옵션으로 선택한 것으로 추정합니다.",4
2,이게 초대 SM5 베이스모델 세피로와 로렐을 합쳐 만든차라죠.,3
3,그 쿼터 글라스 사고나 다른이류도 탈착시  영점을 못맞추고 조립시 물새는 증상은 참 짜증나는 일입니다유독 닛산이 심합니다.,1
4,구독 2만축하드려요 오래됬지만 매력있는 차군요ㅎㅎ번호판 돗자리로 가린 거 넘 좋아요ㅎㅎ  해외에 계신건가요??,5
5,"Nissan을 먹여 살린 세단이 있었죠시마, 프레지던트, 세피로 2세대 개선형 모델(3000cc 기준)",1
6,티아나 중국형은 국내형 범퍼와 같습니다.,1
7,엔진룸은 sm7하고 전혀 다른게없고요 디자인이 비슷해서 그러지 sm5보다는 sm7하고 티아나는 같은게 많은차 sm5는 바디만 공유해 서써 그런거같습니다,1
8,실내 올베이지 버젼은 예쁨..,1
9,현재의 닛산 알티마가 티아나의 손주뻘이라 봐도 되지요..?,9
10,Nf소나타 그란져tg 로체 아닌가요?,2
11,타이어가 금호타이어네요,1
12,크루즈 컨트롤 있나요?,1
13,2005년식 뉴sm5 베이스모델 고장이 안나는차,3
14,진짜 완전 똑같네 ㄷㄷ,2
15,박식한 지식에 랄부를 탁 치고갑니다.자동차유튜버중 ck님이 짱임. 근데 혹시 하시는일이....,8
16,그렌저tg가 카피 했네,1
17,카이나 보고 싶었는데 유유,1
18,SM5디자인이  좀  너무 못생겼고특히 뒷모습 너무 아니지요,5
19,닛산 알티마 편은 지난 2019년 제작되었습니다. 그동안 비공개 컨텐트였지만 순수한 차량 정보로 봐주실 분들을 위해 공개 전환하게 되었습니다. 또한 지금 당장 인기가 있는 신차에만 국한하지 않고 다수의 브랜드가 보유한 많은 다양한 차량들에 대한 정보를 확대 적용해 나갈 예정입니다.,279
20,알티마 프레임과 하체 정말 좋더라구요~,8
21,닛산알티마 역시 듣던대로 손색이 없는 명차 입니다.  가성비로 따지면 거의 최고 입니다,3
22,"이번 알티마의 매력은 맥시마보다 더 큰 휠베이스와 2.0 VC터보가 아닐까 합니다.다만 아쉬운건 2.5na에는4륜 옵션이 다른 나라는 있는데국내는 삭제를..긴 휠베이스가 주는 옆모습의미적 비율이 특히 좋은데,4륜 옵션 넣구 옵션가격을 저렴하게했다면 요즘의 분위기에도 판매를좀 올리지 않았을까 합니다.",11
23,2.0T 모델은 꽤 재미있으셨던 모냥입니다. 트레드옆에 물결무늬 많은거 보니 꽤나 조지신듯..ㅎㅎ,13
24,2200 에 산사람들 개부럽다 진짜,40
25,잘봤습니당~ 무난하게 이쁘고 기본기도 좋아보이네요,10
