,comments,likes
0,오오오 드디어 블로그를~ 따로 분리되서 편하게 올리시겠네요. 안전 운전 무사고 기원합니다~ ^^,4
1,오오 니카니임! 브이로그채널에 드디어!!!!알람설정 해놔야지~!!차 너무 이뻐요요오옹~ 시원한 느낌이었겠다~~다음 영상이 기대됩니당 ><,2
2,코펜 카페에서 넘어 왔습니다..ㅎㅎ,1
3,우핸들이였으면 얼마나 좋을까,1
4,코펜을 전기차로 만든다면 ~,1
5,와.. 달그닥소리 엄청나네요;,1
6,앙증 맞네요~^^ 한국서는 유니크 하지요~,1
7,구독!,1
8,알고리즘이 소개해주넹,1
9,기왕에수입할것이면1.3좌핸들을수입허지프라이드 탄다생각하고 ....,1
10,일본차는 선전하지마세요,1
11,쌍용에서 이런 경형SUV  만들어 출시하면 대박날듯...,3
12,못따라잡을꺼같으면반일정서또 내새우겠네존나이쁘다진짜,4
13,일본경차가 좋긴한데...이거는 이제 내부공간과 4륜 장착등 뭔가 니즈에 맞는 활용성차원의 문제인거고실제로는 다른게 해결이 되어야 하니 문제인거죠수출용 기준이라던가 안전사양등의 문제가 있고또 경차는 경제성이 경쟁력이어야 하는데수출을 하게되면 아무래도 차값이 비싸져요그러면 경차의 메리트가 또 사라지는거죠아싸리 캐스퍼같은 비싼 경차가 많아지면오히려 일본 경차의 수출은 더 쉬워지지 않을까 하는 기대감도 들긴합니다네 당연한거지만 캐스퍼 대놓고 까는겁니다,6
14,일본은 운전문화가  얌전해서 경차로도 다니는데 전혀 지장없습니다. 한국은 조금만 늦게가면 뒤꽁무니  바짝 따라붙고 압박이 심하죠 .. 특히 작은차는 더심하잖아요,7
15,일본이 경차 편의장치도 많고 가격도 착하고 인건비가 저렴한가 봅니다 언제 이렇게 된겁니까?,8
16,"스카이 필드라고 스즈키에서는 부루던데.. 우리나라오니 썬루프가 되는 군요 허허허,, 요즘은 모르겠지만 왕년엔 우리나라와 일본의 경차 규격 자체가 달라서 ,, 우리나라 경차가 일본가면 소형차로 분류 되고,, 반대로 일본경차가 우리나라 오면 700cc 소형차로 분류 되었죠,, 허허허.,. 일본 경차는 옵션도 좋고 기능도 많고 ,, 좋지만,, 가격이 그랜져 급 이라죠 ㄷㄷㄷ.,.. 800cc 마티즈도  답답해 죽겠는데 700cc 라니요 ,, 그냥 뚜껑 달린 오토바이 수준 같아요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ",2
17,천장에 있는거 썬루프아닙니다 그냥 천장 일부분을 유리로 만들고 가림막을 열고닫을수 있게 만들었을 뿐입니다 그리고 700cc정도면 도심주행이 어렵지 않다고 하는데 실제론 좀 어렵습니다 다만 일본에서는 도심에서 운전속도는 대부분 50~60km 이하입니다 30km이하인곳도 많습니다 과속하면 범칙금 날라오는데 이게 좀 쎕니다 초과속도별로 범칙금 날라오는데 보통 우리나라 돈으로 한 8반원부터 시작합니다 최고 30~40만원 까지도 나오는데 그정도 과속하면 재판받아야 하는걸로 알고있습니다 게다가 순찰차가 스피드건 갖고다니면서 직접단속하니까 꽤 까다롭습니다,6
18,우와~~~갖고싶다ㅡㅡ,2
19,사고싶네요.진짜,7
20,우리나라처럼 작은나라는 저정도 사이즈면 딱인데,1
21,현기차 하고는 비교안되는  멋진 비쥬얼  기능,1
22,디자인이 이쁘지만..... 그래도 이건 못타겠다... 답답해서 한국에서는 좀.....687 ? 배기량만 올리고 4기통에... 그 정도 가격이면 캐스퍼 안사고 이거 산다.,2
23,너무 좋은데요 가지고싶다 한국 판매 안하나요??,1
24,다른건 몰라도 일본 경차는 참 욕심남,1
25,핸들 열선 되나요?,2
26,뭔소리 저거 경차도 아닐뿐더러 가격이 캐스퍼보다 비쌈,2
27,현기차.. 이거다,1
28,일본이 후진국인지 우리가 선직국인지는 모르지만 옵션 성능대비하면 비싼건 사실입니다 하이브리드 경차도 2천이면 사는데,1
29,투입되면 현대차 기아 다 망했다,5
30,응 안아,1
31,캐스퍼 자연흡기 모델 다들 답답하고 그러던데 이 차는 더 답답해서 못탈듯....,3
32,사고나면 딱죽을거같은차네,1
33,s660과 정확히 같은 컨셉이었던 혼다 비트... 그 당시에 초소형 미드십 오픈카를 출퇴근용으로 즐기려고 했던 개발 의도는 지금 생각해도 참 대단한듯합니다.,14
34,류석씨는 제품 리뷰는 진짜 잘하시는...것.....같아요^^,1
35,컨셉공개때부터 너무 맘에들고 양산형 공개도 너무 괜찮았어서 미드쉽에 로드스터 그리고 배기량과 디자인이 너무 맘에들어 구매하려 했으나 국내 들어오는 가격이 너무 터무니없음....그래서 구매 포기 초반엔 정식수입 소문도 있었는데 아쉬움이 큼,6
36,우핸들의 장점1.편의점이나 마트갈려고 잠깐 정차할때 인도쪽으로 내릴 수 있음2.오른쪽 차와 시비 붙었을경우 창문 내리고 바로 얼굴 마주보며 적극적으로 싸울 수 있음,174
37,진짜 이쁘고 좋은데 여름에 타기는 덥지 않나요ㅎㅎ..저도 엄첨 관심있던 차량이라 많이 찾아서 봤었는데 엔진열이 바이크로치믄 스천알알  뺨친다고..하던데욥ㅎㅎ,3
38,한번쯤은 진짜 타보고 싶은차네요 경제적 여유가 있다면 세컨카로 한대 있으면 좋겠네요그리고 드라이브스루나 요금소 같은곳에서 해결방법은 여자친구나 와이프가 있으면 될거같군요..ㅋㅋㅋㅋ,3
39,볼수록 매력적인 경형 미드쉽 엔진 차 입니다. √ 알찬 리뷰 좋아합니다~,4
40,국내 1000cc 경차랑 비교했을때 연비는 어떤지 궁금하네요.,3
41,이차...제 드림카인데...ㅜㅜ이쁘네요..진짜...어릴때부터 드림카였고...알아보고 수입사업체도 동네에있어서 구경도 많이갔습니다..진짜 이뻐요..,3
42,드디어 올라왔네요ㅋㅋ 상세한 리뷰 잘봤습니다!27:13 착시로 갑자기 후진하는줄ㅋㅋㅋ,23
43,"속도 제한은 일본 경차 규정 때문에 걸어 논 건데, 리밋해제를 하면 180까지 나옵니다.",4
44,개인적으론 전체적인부분에선좋은데 승.하차가 힘드네요 ㅋㅋㅋㅋㅋ,15
45,연비 잘나오는 작고 스포티한 이쁜 수동차정말 딱 내 리즈에 충족하는 차인데 우핸들이 문제겠네 ㅋㅋ 어차피 살일은 없겠다만..,2
46,우핸들 수동차 단점이라고 생각되는 점1단이 왼쪽 끝에 몸에서 멀리 있다는 거,7
47,하이패스 필수인 차...약간 미니 카트 같아요,8
48,"키 180넘고 몸무게 100kg넘으면 운전하기 힘든차  몸이 상하좌우 다 낑겨서 운전하게되요 ㅋㅋㅋㅋ 하지만 코너링 하난 재밋는차 맞는거 같아요 ㅎㅎㅎ  하지만 직빨에선 모닝,레이터보한테 따이면 현타와요 ㅠㅠ",3
49,경차할인카드 있으면  리터당 최대 650원까지 할인되니 그럼 같은 비용으로 환산하면 리터당 40km를 가는 셈이겠네요. 대단합니다. 그런데 이 차 180넘는 사람이 타도 천장에 머리가 안 닿을 정도로 시트높이가 조정은 되나요??,1
50,우핸들차 몰아본 경험으로써 며칠간은 적응하기 힘들어요 특히 우회전 ㅡ.ㅡ,1
51,저는 S660 토미카 소장중입니다. 왼손으로 변속하려면 어색할거 같네요. 패들쉬프트나오면 삽니다!! 현실적으로는 스마트 포투 카브리오도 좋더군요. :),1
52,오늘만 영상 2개 넘 좋아용 두카티 영상 잘봤어용,2
53,혼다 S660 수동 ㅎ 리뷰 잘 봤습니다 ㅎ 영상 보니까 더.. 수동 드리프트 뽐뿌 옵니더.. ㅋㅋㅋ,1
54,팩트) 이차 1대 정도는 로니 콜먼이 레그프레소로 가뿐하게 밀 수 있다,3
55,86사려다 현실적인고민끝에 포기했습니다;;; 소형경량스포츠카가 만만한차가 아니더라구요 돈더 모아서 세컨카로 훗날을 기약합니다,1
56,다른 차들처럼 북미 수출판으로 좌핸들이 있었다면 구매했을지도 모르겠습니다. 우리나라 같은 우측통행인 나라에서 우핸들 차량의 가장 큰 문제는 주행중 운전자 시야라고 생각합니다. 오른쪽 코너에서 우측에 붙어 달릴때 블라인드 코너가 되어버리겠죠.. 톨게이트나 기어조작 방향지시등 헷갈리는건 부차적인 문제인거 같아요,2
57,"이건 사이즈도 그렇고 좀 투머치... mx-5 정도가 딱 좋은데 일본차라 테러당할까봐 못 사겠음.,",1
58,Z4와 비교해서 핸들링 느낌이 어떤가요?,1
59,오 자동차 리뷰!! 잘 보겠습니다 ㅎㅎ,2
60,엔진 미드쉽일경우 사고났을때 더 위험하지 않나요? 그냥 궁금해서요,1
61,"작고, 가볍고, 경쾌하고, 미드쉽, 오픈카, 후륜, 수동인완벽한 차로터스",4
