,comments,likes
0,일본 경차기술과 미국 테슬라 전기차 합작하면 대박 날것 같아요 :),6
1,상당히실용적인차네요~수고하세요~항상건강챙기시구요~,2
2,이 차가 기아 레이 모태입니다. 이 차를 가지고 레이를 만들었죠 레이의 아버지뻘입니다,16
3,확실히 경차는 일본이 넘사벽인듯👍,5
4,차박이나 캠핑 영상도 하시면 좋을 것 같습니다.^^,2
5,되게 미니미한데 공간활용을 잘해놨네요!! 혼자 여행갈때 더 알차게 쓰일듯!!,4
6,경차 리뷰 아주 좋아합니다. 니코니코 렌트카에서 탄토한번 빌려보겠습니다. 기회되시면 스즈키 스위프트도 한번 시승 부탁드립니다.,3
7,"한국의 경차도 본받아야 하는데요, 한국은 경차라는 개념이 안좋아요..경차타는 사람 무시하는 경우가 많죠.. 아쉬워요..",7
8,신작 감사드립니다ㅠㅠ 고구마 화이팅!!ㅠㅠ 염치없지만 더 많이 찍어서 올려 주세요!,1
9,와 혼자 차박 여행다니기 진짜좋을꺼같아요..,2
10,일본 경차 정말 좋은것 같아요!! 👍,1
11,앞으로 자막로 천천히 봅니다 🤗HONDA N-BOX 하고 SUZUKI ALTO는 일로 여러 본 탔습니다　그러나 조금 무서웠습니다…😅,6
12,경차로 차박까지! 작은데 너무 실용적이네요ㅎ,2
13,레이가 탄토를 보고 만들었지 ㅋㅋ공간활용은 정말 놀랄정도,2
14,차 굉장히 귀엽네요. ^_^,3
15,일본은 다양한 박스카가 있어서 좋아요.,2
16,완전 평탄화가 쉽게 되는게 시트 아이디어는 진짜 좋네요.,1
17,떠나고 싶드아...!!!!!!!!! 저 차로 차박하고 싶다!!!,2
18,뒷자석 시트 .. 너무 부럽다,1
19,진짜 실용적이네요^^,2
20,이걸보는데 왜 옛날 티코가 생각날까욤~ ㅋ 구마님! 일본 은제쯤이면 갈수있을까욤~~ ㅜㅜ,2
21,"명동김밥... 일본가서 한국음식이라니.. ㅍㅎㅎ스시잠마이 1호점 추천 😂 아카사카 도라후구 추천신주쿠 다케무라소바 카레우동 강력추천.아..카레우동, 스시 🍣 너무먹고싶네..ㅠㅜ언제쯤 갈수있을까요??",3
22,こんばんは♪私は自動車免許を取ってから、ダイハツ軽自動車の愛用者です❤️タントは乗ってないですが、ミライースとムーブを乗ってます。タントは、車内が広く使えるから、良いですよね〜👍,4
23,스즈키6세대 에브리  직수하고 싶은데 어려운가요?,2
24,일본경차는 우리나라  수출못하는게 안전도가 떨어져서 내수로밖게 못사용한다고 하던데 확실히 넓기는 넓네요,1
25,탄토들으면서 딴또가 연상이 돼..,3
26,차가격 대비 짐차로 쓸수도 있고 덩치 큰 사람도 탈수 있으면 세금이나 수리비도 적게 드는 편리한 차임.단점은 사고가 잘 나고 사고발생시 즉사 또는 중상의 확률이 매우 큼.,1
