,comments,likes
0,오오오 드디어 블로그를~ 따로 분리되서 편하게 올리시겠네요. 안전 운전 무사고 기원합니다~ ^^,4
1,오오 니카니임! 브이로그채널에 드디어!!!!알람설정 해놔야지~!!차 너무 이뻐요요오옹~ 시원한 느낌이었겠다~~다음 영상이 기대됩니당 ><,2
2,코펜 카페에서 넘어 왔습니다..ㅎㅎ,1
3,우핸들이였으면 얼마나 좋을까,1
4,코펜을 전기차로 만든다면 ~,1
5,와.. 달그닥소리 엄청나네요;,1
6,앙증 맞네요~^^ 한국서는 유니크 하지요~,1
7,구독!,1
8,알고리즘이 소개해주넹,1
9,기왕에수입할것이면1.3좌핸들을수입허지프라이드 탄다생각하고 ....,1
10,일본차는 선전하지마세요,1
11,1세대 한번 타봤는데 속도감이 한 2배이상은 나는거 같더라구요~ 약간 카트타는 느낌이라 펀카용으로 재미있을거 같습니다.,2
12,일본여행때 자주 보이던 참 이쁜 차였죠 2010년에~ 지금은 독보적으로 이쁘지는 않아요,1
13,ㅠㅠ 제가 20살때부터 드림카로 생각했는데 타보고싶군요..ㅎㅎㅎㅎㅎㅎㅎㅎ 아직 여유가 부족해서 타보진 못했는데 부럽습니다.,5
14,재밌게 잘 봤어요! 이 차 루프 있는 상태로 185정도 남성이 타도 머리공간 괜찮을까요? 시트높이가 조절이 충분히 될지 모르겠어요..,1
15,1세대 유럽수출용은 1300cc에 좌핸들이었는데....국내의경우 경차해택은 버리더라도 두배의심장이면 재미있을듯^^ 영상고맙습니다.,3
16,연비 진짜로 대박이네요 ;;;,1
17,외제차 직수입차의 단점인 사고나면 끝이다 그리고 우핸들 .. 이거 빼면은 완벽한 차네요,4
18,고등학생 때부터 드림카라... 보배드림을 보며 반드시 살거라 맘먹었는데.. 결혼하고 보니.. 꿈만 꾸고 있네요..ㅋㅋㅋ;;; p.s 영상 너무 좋아요~ 잘 보고 갑니다~,1
19,휴학하고 공부중인 20대 중반입니다..  코펜은 3년째 제게 드림카입니다.. 직장구해서 돈벌기 시작하면 코펜 정말 꼭 사고싶네요,1
20,1세대가 딱 만배 더 이쁘네요.. 왜 디자인을 이렇게 바꿨을까 싶네요.,6
21,중고 말고는 따로 구매 할 방법이 없나요? 세컨드로 구매 하고 싶네요^^,1
22,와 근데나 저차 실제로 본적있음 ㄷㄷ,1
23,하핫.. 코펜이군여 ㅋㅋ 레드 이쁩니다 ~!!,8
24,2세대 15년식이 1700만원 ㅋㅋㅋ 이 차 저도 사려다 2500이 넘어서 그냥 다른차 사는게 나아요,3
25,s660 전륜구동버전이라 보면되겠네요,1
26,2세대사고싶은데 로브는 외관이 제스타일이아니라 ㅠㅠ 1세대고민중입니다 ㅋㅋㅋ,1
27,혼다s660과 비교해서는 어떤가요?,1
28,"차를 설명 할려하면 기본으로   회사소개,차량이름,배기량, 연식,출고당시 가격, 현제 시세, 그리고 가성비등등 순서를 이야기해줘야지 가끔 유튜브 보면 지 이야기만 신나게 하고 끝이여 ㅋㅋ",1
29,운전대만 왼쪽에 있으면 딱좋은데,2
30,수동으로 사면 되팔때 잘 팔릴까요?,2
31,저도 시승해봤는데 좁아서 오른쪽 팔이랑 어깨가 너무 부대끼던데ㅠㅠ 방법이있나요?ㅠ,4
32,이 차는 어떻게 구매할수 있나요?,1
33,이건 이제 국내에선 중고로밖에 못구하나요?,2
34,마술사님!!!... 새차를 사는 방법은 없는지요?  SK엔카에는 5년전 모델 밖에 없네요...,2
35,보험료 얼마 나오나요?,2
36,사고나면 운전자도 끝나겠는데요,1
37,차대번호 어떻게보나요?,1
38,경차도1200넘어가면취등록세 면제 옛날얘기입니다취등록세 납부합니다,2
39,정말 안전은 최악 입니다 외관이 플라스틱 으러 만들거 아시죠? ㅎ,1
40,저 차 박는사람은 ㅈ되네...,1
41,내차도 차체가 낮음 쑈바나가서 ㅋㅋ,1
42,「資本主義の魔術師」韓国人が日本車をそう言いますか。果たして、2年後の今、韓国で日本の軽自動車はどう扱われているんでしょうかね？,1
43,네 알겠습니다,3
44,"하이패스 꼭 무저건 달아야 하네~~없으면  톨게이트에서 난감~~ ㅋㅋㅋㅋ  하~~다 좋은데 이시국님들이나 꺠문님들 한테 테러 당하기 좋은 차인데,ㅜ,ㅡ,......ㅋㅋㅋ",2
45,弱者に苛めを加える国の日本人としては、上下関係が厳しく弱者は強者の糞を食わなければならない韓国で、日本製品不買運動が起こったとき、この日本の軽自動車はどんな扱いを受けたか心配になります,1
46,s660과 정확히 같은 컨셉이었던 혼다 비트... 그 당시에 초소형 미드십 오픈카를 출퇴근용으로 즐기려고 했던 개발 의도는 지금 생각해도 참 대단한듯합니다.,14
47,류석씨는 제품 리뷰는 진짜 잘하시는...것.....같아요^^,1
48,컨셉공개때부터 너무 맘에들고 양산형 공개도 너무 괜찮았어서 미드쉽에 로드스터 그리고 배기량과 디자인이 너무 맘에들어 구매하려 했으나 국내 들어오는 가격이 너무 터무니없음....그래서 구매 포기 초반엔 정식수입 소문도 있었는데 아쉬움이 큼,6
49,우핸들의 장점1.편의점이나 마트갈려고 잠깐 정차할때 인도쪽으로 내릴 수 있음2.오른쪽 차와 시비 붙었을경우 창문 내리고 바로 얼굴 마주보며 적극적으로 싸울 수 있음,174
50,진짜 이쁘고 좋은데 여름에 타기는 덥지 않나요ㅎㅎ..저도 엄첨 관심있던 차량이라 많이 찾아서 봤었는데 엔진열이 바이크로치믄 스천알알  뺨친다고..하던데욥ㅎㅎ,3
51,한번쯤은 진짜 타보고 싶은차네요 경제적 여유가 있다면 세컨카로 한대 있으면 좋겠네요그리고 드라이브스루나 요금소 같은곳에서 해결방법은 여자친구나 와이프가 있으면 될거같군요..ㅋㅋㅋㅋ,3
52,볼수록 매력적인 경형 미드쉽 엔진 차 입니다. √ 알찬 리뷰 좋아합니다~,4
53,국내 1000cc 경차랑 비교했을때 연비는 어떤지 궁금하네요.,3
54,이차...제 드림카인데...ㅜㅜ이쁘네요..진짜...어릴때부터 드림카였고...알아보고 수입사업체도 동네에있어서 구경도 많이갔습니다..진짜 이뻐요..,3
55,드디어 올라왔네요ㅋㅋ 상세한 리뷰 잘봤습니다!27:13 착시로 갑자기 후진하는줄ㅋㅋㅋ,23
56,"속도 제한은 일본 경차 규정 때문에 걸어 논 건데, 리밋해제를 하면 180까지 나옵니다.",4
57,개인적으론 전체적인부분에선좋은데 승.하차가 힘드네요 ㅋㅋㅋㅋㅋ,15
58,연비 잘나오는 작고 스포티한 이쁜 수동차정말 딱 내 리즈에 충족하는 차인데 우핸들이 문제겠네 ㅋㅋ 어차피 살일은 없겠다만..,2
59,우핸들 수동차 단점이라고 생각되는 점1단이 왼쪽 끝에 몸에서 멀리 있다는 거,7
60,하이패스 필수인 차...약간 미니 카트 같아요,8
61,"키 180넘고 몸무게 100kg넘으면 운전하기 힘든차  몸이 상하좌우 다 낑겨서 운전하게되요 ㅋㅋㅋㅋ 하지만 코너링 하난 재밋는차 맞는거 같아요 ㅎㅎㅎ  하지만 직빨에선 모닝,레이터보한테 따이면 현타와요 ㅠㅠ",3
62,경차할인카드 있으면  리터당 최대 650원까지 할인되니 그럼 같은 비용으로 환산하면 리터당 40km를 가는 셈이겠네요. 대단합니다. 그런데 이 차 180넘는 사람이 타도 천장에 머리가 안 닿을 정도로 시트높이가 조정은 되나요??,1
63,우핸들차 몰아본 경험으로써 며칠간은 적응하기 힘들어요 특히 우회전 ㅡ.ㅡ,1
64,저는 S660 토미카 소장중입니다. 왼손으로 변속하려면 어색할거 같네요. 패들쉬프트나오면 삽니다!! 현실적으로는 스마트 포투 카브리오도 좋더군요. :),1
65,오늘만 영상 2개 넘 좋아용 두카티 영상 잘봤어용,2
66,혼다 S660 수동 ㅎ 리뷰 잘 봤습니다 ㅎ 영상 보니까 더.. 수동 드리프트 뽐뿌 옵니더.. ㅋㅋㅋ,1
67,팩트) 이차 1대 정도는 로니 콜먼이 레그프레소로 가뿐하게 밀 수 있다,3
68,86사려다 현실적인고민끝에 포기했습니다;;; 소형경량스포츠카가 만만한차가 아니더라구요 돈더 모아서 세컨카로 훗날을 기약합니다,1
69,다른 차들처럼 북미 수출판으로 좌핸들이 있었다면 구매했을지도 모르겠습니다. 우리나라 같은 우측통행인 나라에서 우핸들 차량의 가장 큰 문제는 주행중 운전자 시야라고 생각합니다. 오른쪽 코너에서 우측에 붙어 달릴때 블라인드 코너가 되어버리겠죠.. 톨게이트나 기어조작 방향지시등 헷갈리는건 부차적인 문제인거 같아요,2
70,"이건 사이즈도 그렇고 좀 투머치... mx-5 정도가 딱 좋은데 일본차라 테러당할까봐 못 사겠음.,",1
71,Z4와 비교해서 핸들링 느낌이 어떤가요?,1
72,오 자동차 리뷰!! 잘 보겠습니다 ㅎㅎ,2
73,엔진 미드쉽일경우 사고났을때 더 위험하지 않나요? 그냥 궁금해서요,1
74,"작고, 가볍고, 경쾌하고, 미드쉽, 오픈카, 후륜, 수동인완벽한 차로터스",4
