,comments,likes
0,아 오일이 없어서 잘나간다 ㅋㅋㅋㅋㅋㅋ제목 잘 뽑으셨네요 ㅎㅎ,3
1,크락션 위치를 몰라서 좋다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
2,이걸 마지막으로 고속도로에서 운명하신 ㅋㅋ,2
3,파란색은 처음보네요 ㅎㅎ 오..ㅎㅎ,2
4,ㄷH출엎체 럭 스론 요즘 20~30대 사이에서 인기 좋네요 저금리상품들도 많고 저한테 맞는 상품 추천도 해주네요~,1
5,딜러수수료 상사매입비취등록세등하면 대략 500 정도 나가겠는데요,2
6,사고싶다...,2
7,다들 댸출업 체 럭 스 론 아시네요? 여기 승인도 빠르고 신불자도 ㄷH출 가능해서 제 주변에서도 많이 이용하더라구요,1
8,😀 오늘도 좋은차 구경잘했어요,2
9,요즘 코로나라 ㄷH출 받는 사람들이 많은듯 진짜 다 둘러봐도 저는 ㄷ H출업체럭 스 론 만한곳은 못발견한듯,1
10,고장나지마라 날마다 기도하면서 타면은 나쁘지도 않을거 같네요 ㅋㅋ.,7
11,ㄷH출업  체럭스  론 요즘 20~30대에서 인기 좋은듯 나도 저금리상품으로 받았는데 금리가 작은,1
12,"356라,,? 저도 이런차량이씀 구매 하고싶네요! 구매요청합니다!",2
13,어떻게 400이에요? ㄷㄷ,1
14,상품화해서 얼마에 파실건지 알고싶네요,1
15,365만원에 진짜 구매가능한가요?,5
16,"판매가격이아니고 경매시작 가격맞죠,,,,낚이지 맙시다!!!!!!!!!!!",3
17,좋은데요.  수고하셨습니다.,3
18,1년만 타고 차가 뻗어도 이득 아님? 그렇다고 차가 바로 뻗지도 않으니 무조건 사겠다,2
19,그만하죠 허위도 아니고 시작가만 낙찰가를  보여줘요,2
20,아놔 딜러들 사기꾼아니랄까봐 그차가격이 경매시작가인데 왜인수가격처럼말하는지 옆동네인데 365만원가져갈테니까 계약서 쓸수있냐??,3
21,아니 소개하면서 계속 헛웃음 ㅋㅋㅋㅋ  자기가 팔면서도 어이가 없나봄ㅋㅋㅋ,5
22,랜드로버에서 거릅니다.. 수리받다 속 뒤집힐일 있나,2
23,아니 금강제화에서 이제 차도 만드냐 구두팔이들 많이컷네😃,6
24,엄지척 ㅎㅎ,2
25,이채널도 제목을 판매가격처럼 말하네경매시작가라고  제목을 해야죠,2
26,랜드로버 정크 ㅠ,2
27,경매 시작가 아님??,2
28,구매하고 싶습니다. 내일 전화드릴께요,2
29,차 팔렸나요?,2
30,차 팔연는지요.얼마입니까.,1
31,구매신청,2
32,얼마에 구매 가능합니까?,2
33,레이좋은차찾아주세요,2
34,그랜저.매매됬나요,2
35,이차 살수있는지요.,1
36,엔진소리가 부서지는 소리?  글고 무사고차량 ?,1
37,살수있나요,3
38,오%~~,1
39,탁송되는지유,1
40,차가얼마나썩엇길래바이크보다  싸냐목숨걸고 타야되나,2
41,자꾸 시작가만 강조?뷰숫자 올리나?,1
42,멋집니다^^,1
43,시승기 포스팅 하는데 혼란스럽게왜 배경음악을 까는지 알수가 없군요.시승기를 잘 볼수가 없네요.  시끄러워....,1
44,섬세한 설명 감사합니다^^굿,2
45,사고싶네요^^,1
46,군대 다녀와서 첫차는 이곳에서 사야겠습니다..,2
47,저도 사고 싶은데 고장시에 수리비가 엄청나다고 해서 엄두를 못네유,1
