,comments,likes
0,평소에 주변분들에게 얼마나 신뢰가 가시는 분이기에 던을 맡길정도라니.. 오준님의 해박한 자동차 정보 뿐만 아니라 인간관계에 대한 개인의 경험도 영상으로 만나면 좋을것 같다는 생각을 해봅니다 ㅎㅎ 아 그리고 유유낙낙이라는 말씀의 의미를 혹시 유유자적이라 쓰시려 했던건 아니였을까 조심스레 추측해봅니다 ㅎㅎㅎ,78
1,크 진짜 고급스럽네요! 그리고 롤스로이스는 이미 자기들 고객의 대부분은 운전기사를 고용했기 때문에 자율주행은 관심밖이라고 합니다..ㅎㅎ,1
2,배기소리ㅋㅋㅋ 너무 표현을 잘하신,12
3,정말 잘 봤습니다! 오준님이 왜 구독자 10만을 넘지 못하는 지 도저히 이해 못하겠네요..,1
4,v12 극한의 부드러움 플러스 롤스로이스..캬타본사람만 알지그나저나 엔진기통설명할때 10기통에서 터졌네요ㅋㅋㅋ,3
5,지금까지 들어본 엔진 기통 설명중에 최고였습니다.,1
6,이야 롤스로이스 던 이쁘고 겁나 길어보이는데 관리에 엄청 신경써야하네요 크흠...ㅎㅎ 롤스로이스 던 롱텀 기대됩니다~!!^^,12
7,오준님 목소리 진짜 좋다...^^ 피글릿님 미모도 여전하시고~ 애기는 넘나 귀엽고...ㅋㅋㅋ 그냥 항상 잘 챙겨보고 있습니다. 오준님 홧팅!!,5
8,오준님 영상은 밥먹으면서 봐도 참 감성적이고 밥도 잘 넘어가서 좋아요^^ 댓글은 자주 달진 않지만 좋은영상 감사합니다,1
9,"귀한차량 잘 봤습니다.    영상 말미에  아내분 표정이  장난감 갖고 싶어하는 아들 보는 엄마 표정이......        ㅎㅎㅎ    재미있었습니다.      그리고    좀 더 타실 계획이시라면   시트 가죽 보호를 위해 시트 커버라도 씌우시는 것이 어떨까 하는 생각도 좀 들었고    빠르게 가속 하실때   혼잣말로   계속 어...  어...     이사람아,   조심해...    그 차 말아드시면 집 팔아야 할지도 모른다고..     라는 말이  절로 나왔습니다...        물론   능력자시니까 안좋은 상황이 벌어져도  충분히 커버 하실수 있을거라 생각합니다만......      ^^",2
10,오준씨 덕분에 던의 자세한 느낌 간접적으로 나마 알수있어 감사하네요! ㅋ,1
11,이 채널의 재미는...오준님이 흥분했을때 그걸 바라보는 피글릿님의 표정입니다.꼭 제가 게임이나 차 설명할때 저를 보는 와이프 표정같아요 ㅋㅋㅋㅋㅋㅋㅋㅋ,3
12,롤스로이스에 자율주행이 없는이유는 차주가 직접 운전하지 않아서 라고 합니다ㅋㅋㅋㅋ 감성쩜 이차,1
13,이번영상에서 오준형님 피글렛님 두분다 너무 재밌어하시는거 아니예요?ㅋㅋㅋㅋ 재밌게 잘봤습니당 ㅎ,1
14,정말잼있네여ㅎㅎ좋은영상 자주올려주세여~ㅎ,1
15,차선이탈방지 시스템을 딱히 롤스로이스에서 만들때 안넣은이유는 대부분의 오너들은 운전사가 따로 있기 때문이라고 하더라구요.,2
16,핸들조정이 안되는건 완벽하지 않으면 안넣는 롤스로이스 철학때문이라는거 같아요,1
17,와 타보고 싶다,1
18,오준님 엔진 필링 설명 기가 막히세요 ㅋㅋ,1
19,"""이 12기통"" 깜짝놀랬습니다.... 언젠간 18기통이 나오면  찰지겠죠 ^^",1
20,X7 시승기때 부터 진짜 기다렸습니다,1
21,22:40 오준좌 기통별성대모사23:20 하이라이트,42
22,역시 bmw가 헤드램프하나는 엄청 밝더라구요 역시 RR ^^,2
23,영상을 볼떄마다 행복하다는 느낌이 드네요 느낌두 좋구 그냥  영상보면,1
24,를스로이스 관계자가 말하길 자율주행이 완벽하게만들어졌다할때까지 넣을예정이없다고합니다^^,2
25,이차는 풍절음도 갬성이다.!!!!,1
26,ㅋㅋㅋㅋㅋ 배기음 진짜 리얼하네요 종종 써먹겠습니다,3
27,기통별 배기음 소리 잘내신다 ㅎㅎ,1
28,저걸 렌터카로 탈수 있다면 좋겟다 부모와 힐링하며 아님 바다 애가서 회장 느낌으로,1
29,은재가 더 귀여워 지는거 같아요 ㅠㅠㅠ 시승기 잘 보고갑니다~~,2
30,은재는 좋겠네요 롤스로이스 던을 한살도 안되서 타다니 ㅋㅋㅋ👍,1
31,본넷이 길어서 시야에 방해가 되지 않나요? 일반 차 운전하는것같이 운전하면 바로 쾅 할것같은데,1
32,아 진짜 심장이 너무 아프네요 너무 이뻐서... 과연 이번생에 구매가 가능할지... 열심히 살아야겠네요ㅋㅋㅋ,3
