,comments,likes
0,조각품을 산다는것 너무 공감되는 부분...그만큼 미적 가치가 정말 뛰어난거같아요. 영상보는내내 감동했어요ㅎㅎ2중 댐퍼라는것도 있군요! 새로운것 배우고 갑니다:),17
1,영상마다 느끼지만 설명 너무 잘하셔서 귀에 쏙쏙 박히네욬ㅋㅋㅋ 🤭 시승기 궁금하면 여기와서 보게 돼요ㅋㅋㅋ 다른 차가 날 대하는 방식이 달라지는 차라니.. 타보고 싶다 뉴고스트 😭,10
2,역시 롤스로이스... 김한용님 롤스로이스 시승하는 거 정말 부럽네요...! 멋지고 웅장하면서도 한편으론 우아한 그 느낌.... 그 느낌이 곧 롤스로이스의 느낌이죠 ㅎㅎ,3
3,화려하지 않은 느낌의 럭셔리야말로 진정한 럭셔리 라는것을 잘 보여주고 잇는 자동차라고 생각합니다.,3
4,리뷰에도 품격이 있네요. 모든사람의 로망 잘보고 갑니다.,1
5,저번주에 롤스로이스 전시장 갔다 왔는데 신형 고스트랑 팬텀이 있었는데 고스트는 되게 세련되고 팬텀은 넘사벽입니다.저희 아파트에 팬텀이랑 컬리넌이 있는데 그거와는 약간 느낌이 현대적이고 부드럽게 디자인이 되있어서 아주 생각이 납니다.,3
6,차를 사는게 아니고 생활을 사는거라니..말씀을 너무 잘하시네요ㅋㅋ광고모델하셔도 되겠어요ㅋㅋ,274
7,우리나라의 극소수가 타고다니는 차 아..부럽다,4
8,"""보험 대물 한도를 왜 10억으로 해야되는가"" 에 대한 영상이군요.",622
9,살면서 한번만이라도 타봤으면...하뇽님 롤로랑 너무 잘 어울리시네요~~,32
10,차에 관련된 부분에 대한 컨텐츠는 돋보적이다 싶이  참 좋은데 차 자체 시승기는 날이 갈수록 감성적으로 바뀌는 것 같습니다,3
11,우와.. 진짜 갖고싶다 .. 색상 너무 이쁜듯,1
12,편안하고 럭셔리한 시승기 잘 봤습니다.,1
13,롤스로이스도 브레이크 성능이 좋아서인지 소음은 어쩔수가 없나보군요.,1
14,세상에서 가장 담백한 롤스로이스 리뷰네욬ㅋㅋㅋㅋㅋㅋ 이렇게 안 '빠는' 롤스로이스 리뷰는 처음 봤네요. ㅎㅎㅎ,1
15,롤스로이스가 완전 전기차를 만들면 어떤 차가 나올지 너무 기대가 되네요..물론 못삽니다 ㅠㅠ,2
16,시승이라고해도 이런차를 몰아볼수있다는게 부러울따름이네요 ㅠ차 진심 럭셔리..그 광고가 생각나네요 prestige of simplistic,2
17,보통의 모카영상 : 와 저차 맘에든다 사고싶다오날의 모카영상 : 와 저차 한번만 타보고 싶다,2
18,점점 고퀄이 되가는군요♡,1
19,이야.. 요즘 저차 리뷰가 계속뜨던데.. 리뷰 정말 잘하네요..,1
20,차안이 노이즈캔슬링이 되네요승차감은 상상도 안될많큼 시승을 못해봐도배타는 느낌이라는거에 편한함MAX라는게 전달되네요근데 이번생엔 이차가 불가능인거 아는데 계속보게되네요 ㅋㅋ,2
21,보는것만으로 만족해야 하는 넘사벽 차죠ㅋㅋㅋ,13
22,와 그냥 럭셔리 그자체ㄷㄷ,7
23,럭셔리의 대가라는 느낌이 느껴 지는 시간이었습니다.,1
24,"롤스로이스는 단순히 차를 사는게 아니라느낌, 위엄, 분위기, 포스 등인간의 품격을 사는것같은 느낌......",21
25,오늘 날씨 많이 추웠는데 좋은 정보 항상 감사드립니다,1
26,23분동안 아주 기분좋은 꿈을 꾸다 깬것 같네요. ㅋㅋ 현실은.... TT 다른차들이 잘 끼워준다는 부분에서 빵 터졌습니다.,14
27,음... 일단 타보지 않은 실내외관은 벤틀리가 압살하는데 가격은 넘사네 ㄷㄷ,1
28,맨날 말로나 들었는데고급스러움이 급이 다르네요평생 한번 타볼일은 있을지 ㅋㅋ,2
29,역시 롤스로이스는 깔곳이없네요. ㄷㄷ,3
30,롤스로이스 직접운전해서 타는것도 멋있지만기사가 운전해주고 차주는 뒤에타고 가는게 간지다,3
31,명품은 꾸미지 않아도 명품이다.,26
32,K9 테일램프 모양을 거꾸로 뒤집고 크롬 테두리를 파밧 늘리니 쨔쟌. 롤스로이스의 고급감 완성,1
33,벤츠 2억5천도 미쳤는데 이건뭐 넘사벽이네,2
34,자율주행이 없는 이유가 롤스로이스를 타는 사람들은 기사를 두고있어서 라고 했었던걸로 기억하네요,1
35,요즘차의 디지털 옵션으로 인한 잔고장을 불러오는 옵션들은 다 뺀것같네 .... 멋있긴 해 ..,1
36,이제 뭔가 밸런스가 잘 맞는거같습니다.,1
37,"요즘 현대차  실내 디자인 및  재질 정말   좋은데....  좀 타다보면  금방  질려버림. 근데  저런차보면   , 현대차 보다 실내가 그리   화려하지 않지만   은근하고,  지속 적이고 , 유행을 안탄다는거.....벤츠  , 비엠  앞모습처럼.  물론  가격차가  심하지만요  ㅎㅎㅎㅎㅎ",3
38,기자님! 쏘렌토 가솔린도 시승기 부탁드려요~~~ 쏘렌토 이야기 많이 해주셔서 쏘렌토 구매 고려중이거든요😄,1
39,롤스로이스를 보고나니 내 차가 정말 가성비 갑이라는 생각에 차 바꾸기가 싫어졌습니다.,37
40,너무 넘사벽이라 현실감이 없어서 꿈에서도 못 타보는 차ㅋㅋㅋㅋㅋㅋ,1
41,말 그대로 우아함 그 자체네요...,11
42,서민한테는 꿈에 자동차죠 ㅜㅜ 가지고싶다...ㅠㅠ,1
43,"아니 '아........멋지다.........🤤🤤🤤' 이러고 있는데 갑자기 광고가 나오더니 ""옛헌세!!!!!다른어느 여느 온갖모든"" 이래서 화아아악 깼네요 ㅋㅋㅋㅋㅋㅋㅋ",1
44,현대판 모세의 기적을 일으킬 수 있는 차,2
45,"큰 차를 끌고 나가면 10대 중 9대는 다 양보해 줍니다. 간혹 1대는 맘대로 인데 이 1대 때문에 항상 더 조심하게 되는데요, 그러다 보니 잘 양보해 주시는 차량과 저도 들어가도 되는지 망설이다 보면 서로 불필요하게 평행선을 두고 가는 경우도 있더둔요.",1
46,미쳤다 진짜 너무 이쁘다!!!!!,1
47,조심히 운전하셨으면 좋겠어요,1
48,달리는 중에도 휠에 R 모양이 보이네요 ㅎ,1
49,미니멀리즘의 미학... 정말 마음에 쏙 드네요,1
50,코치도어는 자살도어라는 별칭이 있어서 자동차 제조사들이 사용 안하는걸로 알고 있어요뒷자석에서 후방을 확인 안하고 혼자 내릴땐 차가 오면 끔찍한 일을 당하기 때문이죠하지만 롤스로이스 정도 살 수 있는분들은 기사분이 있기때문에 대신 후방을 확인해 주겠죠?,2
51,롤스로이스에 대해서 설명을 해주는데.....현실감이 없다..........................ㅠㅠ  그저....그저....ㅠㅠ 타보고싶다....그와중...운전하실 때 긴장하신 모습이.....,1
52,잘 어울리는 차!!,6
53,롤스로이스가 S클 같이 다 누워지는 시트를 안 넣는 이유는 오너가 누운상태로 사고가 나면 안전벨트를 벗어나 다칠 위험이 있어서라고 합니다뭐.. 그렇답니다!,11
54,와~12기통!!내차는 쓰레기통인데 부럽다~30년후엔 부담없이 중고로살수있겠지🤔,1
55,처음으로 올해에 검정색 롤스로이스 차를 넋놓고 본적이.  너무 멋졌어요 외관은.  감사합니다,2
56,이미 성공한 자의 시승기인듯 해요 😊,1
57,말이 필요 없는차다 ...,1
58,이건 너무 사고 싶네요..ㅜㅜ,4
