,comments,likes
0,안녕하세요? 모터피디 민철기입니다. 지난 4월 25일 업로드된  동일 영상은 시스템상의 문제로 저화질(360p)로만 재생이 되어 부득이하게 다시 업로드하게 되었습니다. 고화질로 많은 시청 부탁드립니다. 감사합니다!,3
1,Nice Car!,1
2,정말 서민을 위한 최고의 차 입니다  고맙습니다!  르노삼성자동차  만세 .,2
3,정기자님 저도 응원 합니다 저도 사랑합니다 ❤❤🙏,1
4,블링블링 합니다 ㅎㅎ,1
5,👍👍👍👍,1
6,남자  피디님 영어로 하시지 않나요??,2
7,"✔ 초특가 할인 3만원대! 마일론 방향제 갤러리3! 출시!https://bit.ly/3poBuej✔ 차량 제보, 전차종 커뮤는? 네이버 남차카페 가입하기!http://cafe.naver.com/motorsjason/276 ✔  남차 공식 인스타그램 https://www.instagram.com/motorsjason✔  남차 공식 페이스북https://www.facebook.com/motorsjason",2
8,르노가 르노삼성의 나쁜 이미지를 벗어던지는 계기를 걷어차고 유지하려고 하는것에 납득하는 사람이 없다. 큰 실수가 될것.,11
9,오스트랄 그랜드는 오스트랄보다 150mm 정도 긴 4660mm 정도로 예상되며. 링크앤코 합작모델은 전장 4800mm 정도일 것으로 예상됩니다.,1
10,르노는 국내시장에서 이번 전황을 뒤집을 수 있는 큰 기회를 걷어 찬 것들 두고두고 후회 할 것이다..,4
11,르노마크로 안바꾸는건 결정적실수다,44
12,르노 코리아에 로장쥬 로고 썼으면 잘 바꿨다고 다들 칭찬했다... 그나저나 오스트랄을 출시하면 최고겠지만 XM3가 절대 안 팔라기에 때문에 국내 출시는 안 할듯 합니다.근데 출시하면 진짜 기아 니로와 정면 승부해볼만한 차라서 아쉬운데 ㅠㅠ,1
13,"오늘 영상 요약: 호박에 줄 긋는다고 수박 되나, 고생을 사서 하네",5
14,진짜 진짜 장사도 못하더니 마케팅도 엉망진창.. 도대체 결정권자들의 머리속이 궁금함,3
15,"수입차  이미지가 강할 듯싶네요. 엠블럼 바꾸고 르노코리아로 했으면 좋았을텐데요... 르노코리아자동차는 뭔가 애매합니다. 르노 코리아모터스라도해도 괜찮다는생각이듭니다.qm6후속 싱위에l,링크앤코 제가봐도 중국차 이미지가 강하게듭니다. qm6는 2023년형은 가격이  기존보다 69~100만원 정도 올리고 옵션이 많이 빠진것 같다고합니다.",3
16,아니 누가봐도 로장쥬가 훨씬 이쁘고 젊은사람 감성엔 르노가 훨씬 유명한테 아직도 옛날 감성을 못잊고..아 꼰대쉑들 차 팔줄모르네 미치겠다 진짜..,22
17,"르노코리아 응원합니다.하이브리드, 전기차 많이 출시 바랍니다.^^",2
18,오스트랄은 5인승 투싼급으로 먼저 나와야한다..!!!!!ㅜ,3
