,comments,likes
0,푸조 208과 시트로엥 Ds3 계속 생각하고 있었는데 그 와중에 클리오를 보니깐 경쟁력이 상당히 있어보이는게 재밌네요 ㅋㅋPSA그룹과 달리 이번 클리오엔 매력적인 칼럼 고정형 패들쉬프트가 달려나오지 않아 아쉽습니다.랠리에 그래도 과거에 잔뼈가 굵은 메이커라 달려 나올법 한데 이젠 푸조 시트로엥만 현역이라 그런걸까요 ㅎㅎ,4
1,르노삼성차가 확실히 기본기는 충실하고 묵직하고 안정감이 있다는 것은 타보면 압니다. 클리오 꼭 성공해서 한국 시장에 큰 변화가 있길 기대해 봅니다.,15
2,이 클리오 유럽에서 꽤 오래 타본 사람으로써 차 정말 좋은거 인정합니다. 근데 끝물에 유럽에서는 올해 신차가 나오는 상황에서 이 가격이 싸다고 안느껴지네요 거기에 유럽에서 환경규제문제 걸린 이 클리오가 한국에서 재고떨이로 판매가 되는데 이 가격이 좋다고 보기는 어려운 것 같네요. 뭔가 중고차를 바가지써서 사야하는 느낌 드네요. 그리고 분명 이 영상은 리뷰 일텐데 보는사람 관점에서는 자동차 광고 찍고 오신줄... 알았습니다.,20
3,"다양한 해치백,왜건차량이 많이 들어와야 합니다.20년가까이 해치백만 타고 있는 사람으로서 아주 반갑네요",80
4,"기자님이 칭찬하는 내용 대부분에 대해 공감합니다. 차는 기계이며, 기계적 성능이나 목적에 충실해야 좋은 차라고 생각하거든요. 이런 점에 비춰볼 때, 르노 클리오는 좋은 차임에 틀림이 없는 것 같습니다. 다만, 국내 소비자들은 전자장비라든가 고급스러운 소재에 초점을 두고 있는데요. 점차 이런 의식에 변화가 오리라 생각합니다.그리고 가격적인 부분에 있어서는, 당연히 국산 소형차와 비교하면 비싸지만 동급의 소형차와 비교한다면 정말 저렴한 거 아닌가요? 르노삼성이 제조한 클리오가 아닌, 르노삼성이 르노의 클리오를 수입해서 판매하는 건데 말이죠..",4
5,저도 르노 해치백이 잘 팔렸으면 좋겠습니다. 그동안 타 회사 해치백은 무늬만 해치백이었다면내실까지 잘 다져진 월드 베스트셀러카 클리오가 진정한 해치백으로 국내에서도 성공하였음 하는 바람입니다.,9
6,"드라이빙 느낌은 펀펀 합니다.스티어링 돌릴 때 만큼은 잘 잡아주면서 코너링에서 잘 발휘하네요, 90 마력대비 잘 치고 나가주고 토크도 그냥 부족하지 않았지만 편의사양은 정말...시트 리클라이너는 하다가 손목염좌걸릴판",4
7,"유럽의 꾸불꾸불한 도로와 울퉁불퉁한 구도심의 도로에 특화되서 그런지 어지간한 도로의 요철의 충격도 잘 흡수하네요쥐톨만한 차의 성능은 거기서 거기인데,산악지형의 오르막길에서도 매끈하게 주행하고, 평지의 고속도로에서도 양카 속도범위가 아닌한 전혀 문제가 없슴다.강원도 최대오르막길인 강릉에서 대관령, 원주에서 횡성 구간에서도 2000~2400rpm 이면 무난히 올라가지요.무엇보다도 뛰어난건, 급회전 상황에서도 급격한 스티어링휠 조작 뒤에도 우수한 복원능력을 보여주는것.긴 말 필요업고, 타보면 압니다.연비?연료탱크 45리터인데, 한번 주유하고서 서울~부산 왕복하고서 서울~천안까지 주행이 가능함.",4
8,"Qm3오너입니다. 사실 qm3가 그닥 세간의 관심을 받는 차가 아니라 어디에도 심층리뷰, 자세한 주행기가 없습니다. 여러모로 동일한 부분이 많은 클리오 리뷰로 대신해서 좋았습니다. 특히 내리막에 엔진브레이크 걸리는거 저는 자동차 결함인줄 알았습니다....;;;;알려주셔서 감사합니다",3
9,아반떼 7만km가까이 주행하고 qm3 현재 5만8천km 타는입장에서 봤을때아반떼 옵션 가격 솔직하게 한국에서 경쟁력 엄청높다고 생각함 그부분 크게 인정함아반떼가 넓으면서 가격 더 싼것도 아는데qm3 저 차 자체가 유럽에서 판매량 우수한건 다 이유가 있음뒷바퀴 드럼 달아둔걸로 트집잡고 걸고넘어지는거옛방식이라 까는거 알겠는데 르노가 생각없이 드럼 박아둔거 아님디스크를 달던 드럼을 달던 째깐한 차에 드럼으로도 충분히 제동거리 효율있게 뽑아내니 내구성 4배는 더 긴 드럼 쓰는거임제동력? 잘슴나도 신차 출고할때 후륜이 드럼이라 의아했는데 막상 시승하고 급제동 해보니까 제동거리 생각외로 엄청 짧음궅이 쓸데없이 디스크를 꼭 넣어야한다는 필요가 없으니까 드럼 달고도 잘 팔리는데는 다 이유가 있는거임다이얼식 시트도 국내에서 문제많다고 똥차니 썩은차니 뭐라뭐라 하는데국내 돌아다니는 골프 폴로 티구안 비틀 이런차도 다이얼식이고 몇몇차는 옵션으로 전동식 추가가능함유럽에서 저런 급 차량들에 전동시트달면 차 안팔림시트포지션 정밀하게 맞추고 효율에만 집중하는 유럽시장에 옵션으로 장난질하는 한국에서나 통할법한 차량이 왜 유럽에선 많이 안팔리는지물론 S클 7시리즈같은 고급차량에는 전동시트가 없으면 엄청 안어울리고 이상하지만저런 소형급 차량에는 다이얼식 아니면 유럽시장에서 장사못함나도 다음차 2년쯤? 뒤에 현대꺼 살듯하지만 깔건 까고 칭찬할건 칭찬해야지 니네 사정 안맞으면 그냥 안사면 땡인걸 물고 늘어지는거 보면 어린티 팍팍남각자 시장상황이 극과 극의 차이인데지들 맘에 안든다고 유럽에서 알아주기나 할거같음?저거 그리고 르삼에서 신차 출시할게 하도 없어서 출시한걸로 아는데유럽에서 끝물먹으니까 대충 국내시장 들어온거 맞음대놓고 이야기해서 국내에서 욕 디지게 먹을거 알고 들여온거 맞음근데 르삼 입장에서 현대 기아는 매번 차량출시가 빨라지고 대리점만 들어가봐도 볼 차량이 많으니까 사진 않더라도 시승 하다하다 앉아볼 차량이 많으니 장사가 잘 돌아가는거지르삼 대리점만 가보면 암진짜 탈 차 없음 sm6 qm6 sm7 sm3 qm3 이게 다임클리오는 지금 대리점에서 찾기도 힘듬 근다고 애스파스 들여오자니 이미 유럽에서 잘팔리고 전성시대라 유럽시장으로 충분해서 안들어오고 국내 들여왔다가 카니발 스타렉스에 디지게 밟힐게 뻔할뻔이라 르노측에서 시도자체를 안함그나마 내놓을 차량이 없어서 클리오 나온거고 해치백이라 시장력 떨어져도 그것도 그나마 나으니까 출시하는거지 쟤들 사실상 제대로 팔생각 없으니 저렇게 출시한거 맞음탈사람만 타는거고 싫은사람 현대사면 그만임나도 내구성 효율이 좋아서 qm3 사는거지 옵션없는거 불편해도 그냥 여러가지 부품사다가 썬팅집가서 공임주고 달고 하는형식임시장에 안맞는다고 욕할게 아니고 저 차를 어떻게 왜 출시했느냐를 욕해야지 저 차가 나쁠게 없은데 국내사정에 안맞는다고 욕하는건 바람직하지 못한 행동이라고 봄나도 지금차 맘에들어서 탄다기보다 기본기 충실하고 연비좋아서 타는거지 다음차 현대꺼로 생각 기울고있는 참임,34
