,comments,likes
0,저도 사고 싶었던 MX-5 시승기 잘봤습니다~(물론 말씀하신 박스터 중고를 샀...ㅎ)정말 무게가 깡패인거 같습니다. 모든면에서 이차를 이길수가 없는게 무게네요~,1
1,컨셉인지는 너무 잘사시니까그런진 모르겠지만 ㅠㅠㅠ좋은차 너무 뭐라고 하지마세유ㅠㅠㅠㅠ 누구에겐 꿈의 차인뒈 ㅠㅠㅠㅠㅋㅋㅋㅋ 잼께잘봤습니다 ㅎㅎ,12
2,0:50 이거 미국 동영상 보시면 rpm올라가는게 정말 감성적입니다.트랙에서 타는 동영상 있는데 힐앤토 할수 있는 분들은 너무 좋은 차량,2
3,"미아타는 무게를 가볍게 하려고 플라스틱을 많이 사용한건대... 그리고 오토보다는 스틱을 가는게 RPM 을 끝까지 가서 운전하는 묘미로 운전하는 차지요. 50/50 비율로 기어 2,3에서 가지고 노는 재미가 엄청난 차죠. 키가 180미만이면 불편한거 없는 차일텐데",4
4,진짜 꿈의 차다... 초경량스포츠카,2
5,MX5는 소프트 탑에 스틱으로 운전해야 제맛이죠...ㅋㅋ스틱운전이 그렇게 맛있고 재밌다는데... 진짜 느껴보고 싶어요..ㅋ,2
6,한솔님 짱입니당~~ 잘보고있어요차 취향도 비슷하고 나이도같고 같은 과천사람 ㅋㅋ 스카이라인 r34 리뷰도 언젠가 해주시길~,1
7,이 차는 진짜 갖고 싶긴 하네요~,1
8,통풍이라 해서 통풍시트가 운전석에만 있다는 줄 알았네요ㅋㅋㅋㅋ,6
9,ㅋㅋㅋㅋㅋ오늘도 고통받는 한솔님ㅋㅋㅋ,30
10,주한솔님 자주 아프셔서 쓰러진다니 걱정이네요.... 무리하시지 마시길!!,1
11,MX5를 타고 한적한 날 강화도 서쪽 해변을 달리니 이보다 더 좋을 수 없더군요 ㅎㅎ,3
12,통풍... 진짜 겪어본 사람만 그 고통 알죠,1
13,"차를 타보니 스포츠성과 펀카는 일단 경쾌해야하고 경쾌하다는 것은 휠베이스가 짧고 말씀처럼 무게가 가벼워야 하더라구요. 그런데 휠베이스가 짧고 무게가 가벼우려면 엔진 무게를 덜어야 하니 기통수를 줄여하고 차가 작아지니 경차 스타일의 차량이 나올수 밖에 없는것 같습니다. 무게, 휠베이스,엔진의 무게와 출력 이 세가지의 조합을 가장 잘 버무린게 슈퍼카 혹은 스포츠카가 아닌가 생각해봅니다. 그러나 극단적으로 코너를 타고 차량과 일체화되어 공감하는 능력은 가벼움에서오는 운동성과 노면을 읽어내는 차량과 드라이버의 엉덩이와 손에서 오다보니 제조사에서는 하드코어 버전에서만큼이라도 최대한 덜어보려고 노력하는것 같습니다. 그런데 이러한 공식들이 전기차 시대가 오면 또 어떻게 바뀔지 궁금하기도 하고 오지 않았으면 하는 속상함과 아쉬움도 있습니다. ㅎㅎ 요즘들어 부쩍 재밌어진 채널 항상 잘보고 있습니다!",1
14,한솔 차량취향이 나랑 비슷하네요 nd주말용으로 타지만 요즘은 바이크키에 손이더가는 바린이됨,1
15,머스탱도 플랫크랭크를 사용하는군요! 고급정보네요,1
16,1.5 nd2 수동 독일에서타는 오넌데.. 조져도 15이하로 안떨어지고.. 정속주행하면 18~20나오더라구요 ;; 아우토반에서 속터지는거빼고 만족합니다.. 중간옵션 마쯔다 딜러한테 2600마넌 신차줫습니다 2019년도에 신차로.. 가지고가려고합니다. 5월중으로..,2
17,오픈도 되고 작고 가볍고 재밋는차네요,3
18,오늘도 투덜 리뷰 넘 잼나요 ㅎ,1
19,Gt500 가지고오고싶다........ ㅠㅠ,1
20,웃으면서 재미있게 영상 잘 봤습니다..^^;,1
21,한솔님이 자랑하고 싶어서 탑 오픈할때 터보님이 “야 멋있다 이렇게 여니까 이쁘네” 라고 멘트쳐주는데 터보님 진짜 착하구나 라는 생각이 들었습니다.,13
22,쏘는 맛이 원효대사 해골물 맛이네요 ㅋㅋ,2
23,미아타가 전세계에서 제일 많이 팔린 초경량 로드스터인게 단순히 싸서 그런게 아닐텐데 ㅎ,1
24,경량 스포츠카 살 돈은 없으니체중 감량하고 기름 조금씩 넣어서 타야 겠네요. ㅠ.ㅠ,1
25,아니 터보님ㅋㅋㅋ 새우깡 박스는 너무 했자나요ㅋㅋㅋㅋ 한솔님 현타 씨게 왔겠는데요?ㅋㅋㅋ,15
26,터보님 재규어 차 디자인 어떻게 생각하시나요??,1
27,총 평 맘에 듬!!,1
28,참고로 쉘비의 현재쓰이는 코브라마크는 한국인분이 디자인하였다고합니더,1
29,이차 생각보다 미국에서 많이 보입니다ㅋㅋ,1
30,더도 말고 덜도말고 딱 이정도로만 얘기하시면 ㅋㅋㅋ 옛날 터보도 좋았지만 너무 강하면 부러지더라고요 ㅎㅎ 또 너무 유해지진 말아주세요,1
31,이런거 넘 좋아요,1
32,자동기준 가격이 얼마인가요?? 관심이가네요!,1
33,3천만원대 펀카 얘기나와서그런데 벨로스터N 수동 한번 타고 시승기 올려주셔도 재밌을거같아요,1
34,고맙습니다.잘보았어요. 한솔님s660추천합니다.^ ^,1
35,아니 뚜따는 자동이면서 사이드는 왜 수동인겨 ㅋㅋㅋㅋㅋㅋㅋ,4
36,기다렸던 영상임미다!!,1
37,11:06 JDM 명차도 가셔야죠~(수프라),3
38,한솔이 나보다 형 같네 ㅜㅜ,7
39,엔딩이 너무 매정하세요 ㅋㅋ,1
40,오늘도 잘보겠습니다,1
41,ㅋㅋㅋㅋㅋ  결론은 뚜따저두 세컨카로 뚜따 한대 있네요,1
42,gt350.....;;; 우와...!!!,1
43,요약 : 리뷰를 가장한 주한솔 이사 후둘겨패기,1
44,812랑 같이가도 안꿀리게 비슷한 디자인이니 ㅋㅋㅋ,1
45,쌈박하게 끝나네요,2
46,185인데 데일리로 탐. 전혀 노불편. 일본에서 중고라 사서 가격도 2천만원대로 구입,1
47,통풍은 나이도 그렇게 상관없고 운동 열심히해도 옵니다 운동이라면 죽고 못사는 김종국씨도 통풍있어요 저는 고등학교때 엄지발가락이 아파서 병원 가봤더니 통풍이라고 하더군요 식습관 좀 신경쓰면 관리 가능합니다,1
48,전형적인 4기통 사운드네욬ㅋㅋㅋㅋ,2
49,터보님 진심 라면먹방이나김밥천국먹방보고싶어요,1
50,와... 일본차 좋아하네.....나도 좋아하는데 ㅋ,5
51,총평 뿜었네요 ㅋㅋㅋ,2
52,머슬카는 잘 몰렀는데. 당연히 스포츠카는 플릿샤프트 라고 생각했는데. 아니였나보내요.,1
53,앗 서킷 가는줄 ㅎ,1
54,"1년전 영상이라,,,지금도 수동 3천 후반대 구입 가능합니까?",1
55,압구정상가..? ㄷㄷ,4
56,"5:04 가운데 가림막 차량 범상치 않다,,,,",9
57,터보님 신형 제규어f타입 리뷰해주세요,1
58,터보님이 젤 많이 괴롭히시는거 같습니다만 ㅎㅎㅎ,1
59,쉘비옆에있는 갈색차는 뭔차인가여?,1
60,쉘비는 너무 탐난다....,4
61,@17:57 : 터보832식 엔딩,1
62,ㅋㅋㅋ  한솔님 계속 잔소리들음 ㅋㅋ,1
63,한솔님 코리안 마우이 오일학 선수 닮으셨어요 ^^,1
64,mx5 대체재로 벨n도 껴주세영,1
65,다 갖고 싶은데 다 팔아 버리네요 ㅋㅋㅋ gt4도 결국 홍보용,2
66,터보님한테 스트레스받아서 또 쓰러질듯ㅋㅋㅋㅋㅋㅋㅋ,1
67,한솔이형 키 몇이에여..?,1
68,채널 제목 터보 832에서. 롱다리832로.. 바꾸셔야겠네요!,1
69,0:29 94년생입니다.... 통풍 3년차입니다ㅠㅠ,1
70,터보님은 정치하면 안되겠다. 서민의 삶을 너무 몰라.,1
71,저 실내에 브라운올드카는 이름이 뭔가요?,3
72,와............,1
73,행님 mx5 라이벌 피아트 124 스파이더 아바스 리뷰 가능하신다면 헤주십셔5천만원대 이딸리아감성,2
74,터보님 때문에 스트레스 받는거 아닌가요? ㅋ,2
75,ㅜㅜ 나 머스탱지티타는데 주머니사정이 안좋대 ㅋㅋ,2
