,comments,likes
0,미쓰비시 RVR 보닛속애는 2.0가솔린터보앤진애탑재되최고출력151마력2WD모델은최고출력146마력이며최대토크는38.3토크2WD48.5토크를발휘한다!가격은7000만원~9000만원이다,2
1,미쓰비씨 RVR버리셈,2
2,다른 매체에선 잘 다루지 않는 차들도 잘 알고계시고 소개해주셔서 매번 재미있게 보네요. 진짜 맘같아선 자동차 궁금한거 하루종일 이야기하고싶네요 ㅜㅜ기자님이랑,6
3,"저도 잠깐 타본 적이 있었는데....(말레이시아 거주)좋은 좋은 점이 거의 없다시피 한 차량은 처음 보았네요...소음은 솔직하게 경차만도 못하고, 허둥대는 움직임에, 시트는 90년대 국산차 수준... 차는 덩치인데 엔진 150마력... 낮은 토크.... 추월하다 포기했어요.미쓰비씨의 현주소를 잘 알려주는 모델입니다.",1
4,한기자님께서 이렇게 전체적으로 혹평을 하신 차는 매우 드물었던 것 같은데요 ^^편안하면서도 핵심을 짚어주시는 한기자님의 시승기 언제나 알차게 잘 보고 있습니다 ~ 감사합니다.,1
5,호주에 파리가 많다고 하시더니 2:40쯤부터 스티어링휠 설명하실때 가운데 파리 한마리가 계속 앉아있네요ㅋㅋㅋ 이미 망하긴 했지만 우리나라에 도저히 팔릴만한 차가 아닌듯요. 잘봤습니다^^,2
6,오늘도 유니크한 시승기네요 잘보겠습니다,3
7,갓상기형 자막 팩폭 오진다...ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4
8,파리가 많리 날아다니긴 하네요 ㅋㅋ 시승기 감사합니다 ㅎ,1
9,저도 호주여행 갔을때 허즈에서 닛산 캐시카이를 빌렀는데 이차가 나왔네요 그리고 저는 중국에서 ASX 잠깐타고 사고나가지고 팔았고 지금 타는차는 뷰익 라크로스 타고있습니다,2
10,여행중 시승기라 그런지 여행기에서만 볼 수 있는 유쾌한 자막이 많네요ㅋㅋ,2
11,미쓰비시 생각하니 좋은 기억이 없었는데당시 청담동에 매장이 있던시절 지인분이 아웃랜더를 보러 지인차를 타고 전시장에 갔었는데 직원들이 5명인가 줄지어 나오면서 담배를 피면서 주차하려는 지인차를 물끄러미 바라만 보고 주차를 하고 내렸는데도 인사없이 뭐지하는 인상으로 쳐다만 보고 있었네요.저와 지인분도 어이가 없어 차보려 왔는데요 말하자마자 어서오라고 그랬었던..........하도 기분나빠서 그냥 차만 둘러보다 나와버렸습니다...,1
12,재밌는 인생을 사시는것 같아서 부럽습니다 ㅎ,1
13,문득 다치아 더스터 생각나네요ㅎ영상 잘 봤습니다~,1
14,"이 차량까지 리뷰하셨을줄은 몰랐습니다. 러시아 자동차 사진 좀 보다가(이 차량이 러시아제라는 건 아니고 국산차와 사고가 난 차량이라...) 갑자기 궁금해져서 찾아본 차량인데 구글 코리아에 검색하니 유튜브에 업로드한 기자님 영상이 바로 뜨네요. Small size SUV 중 가장 넓다고 해서 투싼과 비교되기도 하고 코나랑 비교하기도 해서 차급만 알아보고 싶었는데 덕분에 훨씬 자세하게 배우고 갑니다. 엔진은 86x86의 스퀘어라면 명기 시리우스가 아닌 현대 세타인가요? 쨋든 감사합니다:)(+ 가끔 유튜브로 자동차 영상들 찾아보는데 그때마다 기자님 보여서 깜짝깜짝 놀랍니다. (한국인이 리뷰했으리라고 상상도 못한)i30N 가속영상도, ASX도 그렇고 한강 Vlog도 그렇고요. 어쩌다 보니 스토킹 아닌 스토킹을... ㅎㅎ)",1
15,ㅋㅋㅋ 결국 시승기 찍으셨네요. 이거 시승기 찍으신다고 고생하셨습니다.,1
16,"아이러니 하게도, 이제는 본인들이 차만드는 기술전수해준 흉기차 보다 차를더 못 만드는 미쯔비씨,  물론 란에보는 빼고",2
17,재밌게 봤습니다,1
18,다치아 더스터와 막상막하라니 ㅋㅋㅋㅋㅋ,1
19,중국자동차기업이 이기업 엔진을 자주쓰고 현대초창기에 기여를 한기업이라궁금했는데...조잡하네요전범기업이라 밉긴했어도 궁금했는데 기대이하네요 잘봤습니다 기자님♡기자님덕분에 보조석앞 글러브박스에 봉지 끼어두고다녀요ㅋㅋ완전편함👍,1
20,풍절음이 엄청나네욬ㅋㅋㅋㅋㅋ 잘보고갑니다 기자님,1
21,혼다 hrv와 비교했을 때 어떤 차가 더 시끄럽던가요?,1
22,근데 찍은날짜를 보니 시간이 참빠른것 같네요.(벌써 하반기),1
23,예전에 우리나라에 들어왔다가 폭망ㅋ 그나마 란에보가 팬층들 땜에 좀팔았고 다른차종들은 본적도 없음,1
24,싼마이가 좀 많이나네요영상 잘봤습니다.,1
