,comments,likes
0,"c클래스가 편의성이나 기능등이 많이 발전했지만 아무래도 사이즈에서 준중형의 한계가 느껴지는것 같네요그리고 전기차가 많이 출시하고 보급되는 시점에서 가격 경쟁력이 오히려 더 떨어지는 느낌입니다.(물론 전기차와 내연기관차라는 차이가 있지만..)결론적으로 벤츠 C클은 운전을 해보면 항상 맛보기라는(다양한 맛을 느껴볼 수 있지만 감질맛 나는) 느낌이 듭니다. 그걸 E클래스에서 어느정도 만족하게 되고, S클래스를 선망하게 만드는 좋은 엔트리 모델이란 느낌은 확실합니다.",14
1,가격의 클래스가 남다르네요 👍,73
2,"근데 간과하시는 부분들이 차기 변경에서E클 가격이 그대로일거라고 생각하는건 아니시죠?그돈e가 안되도록 e클도 가격이 10퍼센트정도 인상될거 같습니다그리고 벤비아가 프리미엄 브랜드였다는걸염두에 두셔야 할 것 같아요프리미엄 브랜드는 너도 나도 갖고 있다면 값어치가 적죠과연 돈이 충분하게 있는 사람들은 600올랐다고 씨클 이클을 포기하실까요..?오히려 희소성은 높아지니 좋아할것 같은데요ㅎㅎ가격 인상은 무리해서 살 수있는 사람들에게 무리하면 닿을만한 높이였는데, 닿을 수 없게 되었으니 문제인거지애초에 본인의 눈높이에서 적당한 수준의 지출이었던 사람에게는 문제될게 없을것 같네요.그리고 사라졌던 하차감도 다시 생길테니 좋으면 좋지 나쁘진 않을것 같네요유사사례가 명품백 이잖아요너도나도 샤넬백등 고급백 오픈런하니 1년지나니까 고급백 인기가 시들해졌잖아요 ㅎㅎ그러니까 브랜드들은 대응방법으로 가격을 올려주고 ㅎㅎ 이 차가 프리미엄 브랜드였다는걸 잊고 계셨던 분들께 벤비아가 프리미엄한 가격을 갖춘 브랜드였다는 것을 상기시켜 줄 출발점이라고 생각합니다다른 브랜드들도 벤츠가 10%올렸으니 5%이상 인상할것 같습니다.",7
3,오! 드디어 c클래스 시승기를 보게되었네용^^!!! 저는 4륜이 좋아서 c200대기했어요! 구매에 도움되는 후기 감사합니다!,16
4,c300AMG LIn 인데 HUD 없다는게 아쉽네요 증강현실 네비는 헤드업으러 봐야지 제맛인데 그리고 진짜 차리뷰 너무 잘해주셔서 보는 재미가 솔솔하네요,5
5,가격이 높아서 마크값이다 뭐다 하는 글들도 공감은 합니다20대때 첫 차를 벤츠로 입문해서 c250d e300 c43 순으로 타다가 살면서 비엠도 한번 타보자는 마음에 작년에 비엠 8시리즈 구입해서 타는데 차급을떠나 확실히 브랜드별로 장단점 및 추구하는바가 다르다고 봅니다와이프 차량용으로 다음주 c300 받는데 실차주 입장에서 압도적으로 비엠이 좋았다면 세컨카도 비엠을 샀을텐데 다시 벤츠를 구매하게 되네요,3
6,기자들은 말을 참 잘 하네요..묵직한 고급감이 없는 싸구려 가벼운 맛을 경쾌하다고 표현하고같은 말을 아다르고 어 다르게 해서 하고싶은 말을 하면서도스폰해주고 시승행사 불러주는 회사는 기분 나쁘지 않게.. 캬..s 타다가 e만 타도 쓰레기 같은데c 타면 이걸 내가 왜 타나 싶은..c보다는 무조건 3시리즈인데c도 벤츠라고 저 돈 내고 사람들 타는 거 보면 대단함.,6
7,와 5시리즈사야겠네  ....,212
8,어제 전시장가서 보고 왔는데 타사 경쟁사랑 비교해도 역시 벤츠를 고르고 싶게 만드는 예쁜디자인에 감탄…,9
9,벤츠는 s클래스셋팅 즉 뒷자리 오너 위주의 셋팅의 차고 주행중 느껴지는 모든 불편한  자극들을 거세시켜버린 굉장한 브랜드임 다만 그 불편한 자극중 스포츠성이 있는데 누군가에게는 즐거움이지만 누군가에게는 두려움이 될수있는 자극이다 벤츠는 스포츠성을 살리면서 두려움은 제거하는 수술을 시도했으나 그건 현대의학이 닿을수 없는 영역이기에 결국 양쪽 모두를 제거하면서최고의 컴포트차량을 만들었다차가 스포츠성이 부족하다는게 아니라 운전의 짜림함이 없는것 결국 3시리즈 a4같은 젊은 오너들은 애 아빠가 되지 않는한 c를 사랑할수 없지 왜냐 그 나이때는 피가 끓거든이 급에서는 언제나 3시리즈가 답이였고 완전 전동화가 되는 그 시점에서도 아마도 3시리즈가 왕일것이다혹 벤츠기 때문에 가격이 비슷하다고  c랑 5시리즈랑 고민을 한다면 그건 아주 미친짓이다 bmw보다 벤츠가 급나누기가 훨씬 뛰어나다 s클래스 e클래스 c클래스 돌아가면서 타보면 각 클래스마다 이렇게 넘사벽이구나 싶다 근데 bmw는 3시리즈 5시리즈 7시리즈 번갈아 타보면 잉? 3시리즈 사이즈만 키웠네 이런 생각이 든다 bmw는 엔진 미션 하체에는 돈을 안아끼는 예술가라서 그렇다 c는 벤츠의 아반테일 뿐이고 소나타인 5를 이길수 있는부분이 약간의 컴포트와 고급성뿐 아반테는 결국 아반테일뿐임다만 운전자들중 편안하고 안락한주행을 싫어하는 사람은 없다 더 스포티한 주행을 좋아하는 사람이 있을뿐 본인이 운전을 스포티한걸 좋아한다면 무조건 bmw고 아니면 벤츠다가즈아 bmw,1
