,comments,likes
0,마스크 전혀 안쓰네?,2
1,벤츠도 현대도 테슬라 잡을라면...금세기는 힘들듯,1
2,테슬라는 일단 타봐야 알아요.. 모델 3 탄지 일년 넘었는데 그냥 넘 좋아 ㅠ_ㅠ... 진짜 안타까워요.. 한국 사람들 테슬라 욕하는거.. 테슬라를 떠나서 전기차 시대가 오는건 확실한거같아요. 한국 인프라 구축 아직 너무 안되있어서 좀 어려울수 있지만 캐나다는 현재 충전소가 넘쳐나고 슈퍼차징 스테이션도 동네마다 설치되있어서 타는데 어려움이 없어요. 테슬라 꼭 시승해보세요. 테슬라 직접 타보며 테슬라 진가를 알아보고 주식도 망설임 없이 투자해서 주식도 많이 오르고 굳이네요!,2
3,"현기 , 벤츠를 떠나서 이건 진짜 오바임1억주고 이걸 사는건 좀.....암튼 벤츠가더 성장할때까진 기달려야 좋은차가 나올듯",4
4,eqc 첫시승하고 까기만하네..브레이크 네비 메미등 기등이 있는데…기본적인 작동법고 모르고 기능에대해 까는건 좀 아니라고 봅니다~공부 좀 더하시길요~eqc 제대로 알아보면 꽤 괜찮은걸 알수 있죠..,14
5,머리 받침대 너무 댕겨놓은거 아니에요?거북목되겠다,4
6,정말 벤츠 역대급이네!내외부 모두 몬생긴걸로.,2
7,조금 전 도로에서 이 차를 보고 차에 대해 더 알아보고 싶어 들어왔습니다. 좋은 정보 잘 보았습니다. 감사합니다.,1
8,천만원짜리 타는 사람은 억원대 차 끌고다니는사람 이해못합니다/  자신이 살수있는 차가 젤 좋은 차입니다아마 하급인 eqa 나오면  eqc보다 더 좋다고 칭찬할거야...  싸니까~~,13
9,벤츠는 아직 내연기관이네 디젤은 좋더만,2
10,10:50 썬루프쪽 보면 틈이 보임 ㅋㅋ벤츠맞음?,7
11,그래도 벤츠니 현기나 테슬라보다는 안전할듯제조자들이 어째든 댓글러들보단 똑똑한 사람들이니까독일삼사가 전기차에 조심스러운 이유는 다 있을거다,3
12,아 너무 못생겻어.....중국차같다...,8
13,벤츠도 이제 역사속으로ㅋㅋㅋㅋ,6
14,테슬라 허접쑤레기랑  비교대상이 아님,6
15,그냥 앞으로 10년 정도 내연기관 자동차 타시고 가격 안정 및 전기 인프라 확보된 뒤 서서히 사도 늦지 않으십니다^^,2
16,이번 소개해드릴 차는 벤츠 eqc 입니다!. 네. 벤츠입니다. 이상 소개를 마치겠습니다.,1
17,이분영상은 가끔보지만 참사람이좋아보임 ^^,2
18,이거 살빠에 x사겠다,2
19,eqc 구매예정인데 중고감가가 많이 될까요??인기가 많지 않아서 감가가 좀 될꺼 같은 느낌이......,5
20,중국산밴츠,2
21,"디자인은 최고인데,IT기능은 개판이네요",4
22,두차 모두 타본 사람으로서 테슬라 인테리어가 더 좋다고? 눈이 삐셨나 ㅉㅈ 테슬라 빨아도 적당히 빨아야지.1억넘는 모델s 인테리어는 아반테 보다도 후지고 정말 싼티나는 분위기에 좀 밟으면 풍절음 개쩐다,18
23,1억주고 한번 완충으로 309킬로 가는 차. 믓찌다. ㅍㅎㅎㅎㅎㅎㅎㅎㅎ,8
24,왜 그렇게 비판하시는 겁니까? 아무리 비싸더라도 전 그 가격에 맞은 차량 디자인을 했다고 봅니다 그리고 한가지더 자동차 내부에는 자동차가 우리를 감싸고 있다는 느낌을 들으셨을거예요 그런 세부적이고 디테일한 작업을 하고 만드는게 벤츠 입니다그리고그리고 저런 디테일한 적업을 한번 삐끗하면 완전 똥차 됩니다 근대 그걸 이겨낸 차를 비판하는건 좀;; 아니먄 그쪽이 디자이너가 되시던지. 그리고 저것은“차” 입니다 저의가 쓰는 컴퓨터나 폰은 아니지만 저것은 “탈것” 입니다 전자기기와 같은 구룹에 있긴하지만 구지 IT 에서 일하는 사람들을 불러와 저기에서 일을 하라고 하는간 좀;; 예의 없지 않나요? 쓸때 없는 인권 낭비. 한발 한발 나아가는 거지 왜 네비가 안된다고 비판해요? 제가 쓸덴 아주아주 잘 작동하던데? 운전 하시면서 느끼셨을수도 있는데 저기엔 D+ D D- D- - 이런 여러가지의 모드가 있어요 만약 브레이크가 밀리면 마이너스로 바꾸세요 비판하지말고. 제가 볼뗀 유지비도 참 좋은데 왜 좋은것들은 쏙쏙 빼놓고 비판만 합니까? 저기에 어떤 디자인들이 있었는진 알아요? 저 차는 최초로 전기차 다운 모습을 디자인했읍니다. 앞뒤로 해드라이터가 연결되는 디자인은 그야말로 깔끔한겁니다. 짜꾸 테슬라하고 비비지 마세요. 비판하고 지적하고 비교하니깐 좋으세요?,8
25,충격적인거 달리고 있는데.. 차가 잠금이 안되어잇음,2
26,차 솔직히 너무 구려보임,1
27,"IT기준에서는 테슬라가 수준미달인데,자동차기준으로는 그게 도달할 수 없는 수준인것 같아요.그런 의미에서 애플카 성공할것 같습니다.",1
28,미시간 살고 있음. 벤츠 딜러가 차 안팔린다고 아우성인건 첨봄 ㅋㅋㅋㅋ,3
29,"실제 타보지 않고 이야기하는 사람들이 많죠. 45 S클 glc, eqc 보유 차주 입니다. 기존과 많은 차이가 있는데, 비제이분이 벤츠를 잘 이해 못 하고 리뷰를 하셨네요. 내부와 서스펜션 브레이크 출력 모두 극히 주관적이시네요.",5
30,쓰레기네요,1
31,코나랑 C클을 비교해??,2
32,부품들이 국산이랑 다르니까 가격이 좀 다르지 않을까요??,1
33,저거 사는 호9도 있나 요즘,1
34,차 타보니까 시야가 잘 안보임 디자인 잘못한듯..,2
35,벤츠 빠돌이들 어서오고~,3
36,우리 아부지도 브레이크 반응 느리다고 위험하다고 시러함 아부지는 눌르면 바로 덜컹덜컹 바로 서는걸 원하시더라능,5
37,벤츠 전기차는 현대보다 더못만드네요. 앞으로 역사속으로 사라질 브랜드네요,4
38,"그 몇 없다는 EQC 오너입니다. 정숙성, 승차감, 가속성능 순으로 고려했고, 가급적 길에서 덜 보이는 차로 선택했습니다. 두 달째 타고 있는데 결론적으로 모두 만족스럽고, 이 가격 할만한 차라고 생각합니다. E클과 차이가 확연히 느껴져요. 브레이크 반응 느리다고 하시는데 실제 그런건 느껴본 적 없고, 다만 내리막길 급감속 시 '회생-> 물리 브레이크 전환 타이밍'에 감속충격이 느껴지는 경우는 있습니다. 네비도 계기판 회생제동 게이지 동그라미 속에 뜹니다. 실제로 그거 보는 일은 없지만, 암튼 있습니다.",21
39,저도 오늘 타봤는데요후진할때 후방 카메라 잡힌 뒤드라이브 할때 화면이 맵으로 안돌아와요 ㅜㅜ메뉴 버튼 계속 눌렀어요,4
40,"김한용님 현대직원 아니었나보네요?저번에 어느영상보니까 말도 잘 못하는 조카(?)같은 사회초년생같은 애를 키우는듯한데, 그 20대초반의 남자애도 지인(?) 삼촌(?) 찬스로 유튜브에 무혈입성인가보네요ㅋㅋ 얼굴좀 비추고 알려서 차 유튜버만드는 과정같던데, 많은사람들이 잘 지켜보고있습니다~^^",4
41,안녕  벤츠 라고말해야하는데 지식부족.,4
42,벤츠에서 돈 얼마 받고 하나요? 이게 리뷰인가요 홍보이지~~,3
43,이런 사람은 벤츠 탈 자격이 없음!,7
44,이장님 ㅋㅋㅋㅋㅋㅋㅋ,2
45,이 사람 현대차 영업 과장인 줄 알았는데? 아닌가 보네. 어차피 나쁜 말 안하는 이런 사람도 자동차 리뷰를 할 수 있나 보네?,2
46,"일단 사람들의 심장을 뛰게 만들고 열광하게 만드는게 있으면 그건 전자 기기든 스포츠든.... 다 이유가 있는법..  농구하면 조던 축구하면 음..메시 호날두... 등등.. 빌게이츠라는 인물이 없었다면 과연 컴퓨터 인터넷이란걸 이렇게 빨리 발전시킬수 있었을까하는 의문.... 세상은 확실히 천재들이 바꾸는게 맞음...테슬하하면 애플사 아이폰과 비교하는 이유도... 난 솔직히 스티븐잡스가 여전히 살아있었다면.. 스티븐 잡스는 아마도 아이폰에 홀로그램까지도 성공했을거라고 봄... 그만큼 기대했던일이기도 했었고... 스티븐 잡스의 죽음이 안타깝기도하고.. 그만큼 이 세상은... 창의적이고 뛰어난 천재가.. 세상을 바꾸는게 맞음...하지만 난 아직까지도.. 일런 머스크가 과연 그 반열까지 올라올 사람인가.. 확실히 믿진 않지만 하나는 확실함... 이 사람은.. 전략가이면서... 탁월한 머리까지 겸비했다고...생각하지만... 먼가... 일런 머스크는 다른 위인들과 다름... 너무 괴짜에... 종잡을수가 없는... 사이비 교주라고 해야하나 ㅎㅎㅎ.. 암튼 능력은 있는데.. 먼가 신뢰를 주기엔.. 너무 많은 돌방행동들이 많음.... 하지만... 이 사람이.. 테슬라 전기차를 내놓으면서.. 가격을 이정도로 낮추고... 비록.. 마감이나 단품들이 많으나... 소비자가 내가 만든 차를 타본다면... 이런건 아무것도 아니란걸 증명이라도 해보고 싶었던건지.... 껍데기가 멋이 중한디... 일단 타봐... 그리고 니들이 외관은 고쳐타(?)ㅋㅋ 하란듯이... 너무 뻔뻔스럽게 장사를 함에도 불구하고... 사람들이 불평불만을 쏟아내지만 좋아해... 이런건.. 난 첨보는 현상임..... 그만큼... 테슬라가 내놓은 제품은 매력이 있다는 뜻임....내 주위에 테슬라 타는 지인들 똑같은 증상들임.... 마감은 물론,.. 외형.. 등등.. 불만은 투성인데.... 이 차가 좋대... 맨날 타고다녀 ㅋㅋ... 능력이 없는 분들도 아닌데 ㅋㅋㅋ. 그냥 운전이 잼있고.. 먼가 모르게 색다롭데... .. 참 이상한일이지...달랑 기본 실내엔... 핸들하고... 아이패드같은... 화면만 하나 덩그라니 놓여 있을뿐인데..... 테슬라 타다가.. 다른 차 타면.... 올드하다고 느껴지는 느낌이 있다나 머라나...테슬라를 안타본사람들은... 모르겠지만.... 나도 비슷한 느낌이 듬...그냥 핸들하고... 가운데 아이패드 같은 모니터 하나 딱 있을뿐인데...이게 왜이렇게... 든든해 보이는지.....",5
47,IT기기라는 말에 공감합니다. 진짜 잡스가 암으로 안 죽어서 애플카가 나왔으면 테슬라가 어찌 되었을지 모르는데...,3
48,"앞으로 나올 현기차는 걱정이네요... 내연기관 차도 제대로 못 만드는데...기존 코나랑 아이오닉, 니로 등 비교적 가볍고 작은 차는 괜찮은데...",2
49,테슬라 인테리어는 플라스틱 장난감 수준,11
50,"테슬라 브랜딩의 승리죠...시장진입을 먼저했을때 누릴수 있는 이점을 고스란히 가져가 버렸죠..브랜딩도 선점효과란게 있거든요. 전기차로서 브랜딩을 선점할때 어떤 영역을 선점할거냐 여러 선택지가 있었을텐데, 전기차->고성능->스포츠카 영역을 선점했죠. 많은 사람들의 선망의 대상인 스포츠카를 전기차로 선점해 버리니 자연스럽게 프리미엄이 뒤따라옵니다. 포르쉐는 급이 다르니 차치하더라도...전기차 영역에선 프리미엄의 대명사 독3사보다 앞서나가 있습니다. 테슬라가 크게 실수하지 않는이상 선점한 브랜드 정체성은 계속 이어나갈테고 전기차시장이 커지면 커질수록 성숙하면 성숙할수록 해리티지가 가장 많이 쌓인 브랜드로 군림할거같아요.",12
51,모델y 리뷰도 어떻게 안될까요? ;;;,2
52,그래서 토요타는 과감히 포기한듯,5
53,벤츠 Bmw 전기차 꼬라지를 보면 재규어 I pace는 진짜 완성도 있게 잘 만든 차인걸 새삼,6
54,차는 괜찮은데 망한차 ...,6
55,"13:55 EQC:장비를 정지합니다 정지 하겠습니다 정, 정, 정지가 앙대 앙대잖아  정지가 앙대!",7
56,모델s도 소음이 좀 있죠... 잡소리도 좀 많고..,3
57,Ic 컴퍼니 박회장님 차네요,3
58,모터그레프의 배신자라고 쓰고 뭐라 읽죠?,5
59,이태원 클라쓰 보고 오신분,37
60,거기원래테슬라아니었나요,2
61,김한용님이젊은이요50대아닌가요,4
62,디스 플레이 2개가 있고 하나에 네비를 없앴으면 반대에 네비가 나와야 된다는 말에는 동의하기 어렵네요. 계기판은 운전자 정면에 나와야 되는 겁니다. 계기판을 없애고 네비게이션 화면을 띄워야 된다는 소리인데 그게 자율 주행이 없는 형 상황에서 얼마나 위험한지 모르시는 건가요? 참 답답합니다.,2
63,테슬라도 오토파일럿하고 손 안잡으면 세운다던데,3
