,comments,likes
0,"안녕하세요. 김상영입니다.일단, 통계에 대해서 말씀드리면... 저희는 국토부 등록자료를 사용하고 있고, 취재팀에서 이를 기반으로 통계 기사를 매달 쓰고 있습니다. 자동차를 나눌 때 여러 기준이 있지만 GLE는 GLE와 GLE COUPE를 함께 카운팅하고 있습니다. 일단 같은 이름을 쓰고 있는 만큼 파생 모델로 보고 있죠. 이에 반해서 X5와 X6는 각기 다른 모델로 보고 있습니다. 기준이 다소 모호하긴 합니다. 유럽에서도 골프, 골프 플러스, 골프 바리안트 등등 골프의 파생모델은 전부 골프란 이름으로 카운팅이 되기도 하거든요. 그래서 X6가 X5의 파생 모델이라고 한다면 둘을 하나로 묶어야 하는데... 이게 또 차량 이름이 다르다 보니, 묶을 수도 없는 상황입니다. 통계에 대해 얘기할 때는 조금 더 명확한 기준을 세워야 할 것 같습니다.참고로 국토부 신차 등록 기반의 자료에서 지난 2021년 동안,메르세데스-벤츠 GLE + GLE COUPE는 6856대가 판매됐고,BMW X5는 5601대, X6는 4029대가 판매됐습니다. 그래서 기본 SUV와 이를 통해 만들어진 쿠페 모델의 합계를 전부 따진다면 X5, X6가 GLE, GLE COUPE보다 많이 팔렸습니다!",38
1,GLE가 더 커보이고 이쁜데 X5도 만만치 않게 존재감이 있지요. 주행성능도 좋고 전기차와 고성능 내연기관 모드 둘 다를 느낄 수 있는 X5에 한표요!,86
2,GLE 판매량에 GLE 쿠페까지 합산되어있는 걸로 알고 있어서 일반 GLE랑 X5랑 비교하면 X5가 이기는 걸로 알고 있어요.,25
3,"둘다 타보고(뒷자석도 고려) X5 (리클라이닝 되는 7인승)를 샀는데, 2열자체는 GLE가 더 넓긴하지만 시트 깊이가 X5가 깊어서 장기간 승차시 더 편합니다.",12
4,모든분들 X5 유일한 단점으로 뒷자리 말씀하시는데 저는 7인승(뒷자리 리클라이닝 됨)사서 전반적인 만족도 정말 최고입니다.,15
5,외관은 벤츠가 더 예쁘지만 최근에  x5 시승해보고 정말 승차감이 어떻게 이런느낌인지 반해버려서 개인적으로 x5추천해요. Suv는 렉서스가 제일 편하고 승차감 좋은 줄 알았는데 아니었어요.ㅋ  시트도 그렇고 승차감 너무 좋고 시야도 넓고 여러모로 정말 최고에요.,1
6,비엠이 이 분야는 원조죠 gle 첫출시 때 acc도 빠져서 나왔던걸로 기억하는데 옵션따위 없어도 삼각별이면 된다는 식으로 밀어붙이다가 결국은 다 추가됐죠 물론 가격은 더 오르고..,16
7,"모든 구성요소 면에서 X5가 나은 것으로 보이네요.게다가 같은 가격에 X5는 PHEV, 반면 GLE는 MHEV...차를 잘 아는 사람이면 X5브랜드를 중요하게 보는 사람이면 GLE",59
8,"솔직히 주행감은 X5가 나은데, 전폭2M가 넘는 GLE전면부 보면 가슴이 웅장해지던데 그냥 자기눈에 이쁜게 최고인듯요",10
9,디자인은 눈마다 달라서 평가하기 그렇고 갠적으론 외관은 q8이 젤 좋아보임.  이차 저차 타본 사람에겐 독3사는 다 거기서 거기고 다만 엔진질감이나 변속의 쾌적함 코너링 등을 따진다면 bmw 추천.,3
10,"좋은비교시승,각 특징.느껴지는 장단점등 잘봤습니다!",8
11,둘 다 타본 적은 없지만 타고 싶은 차들이네요ㅠㅠ 오늘도 잘보고 갑니다 ㅎㅎ,3
12,월마다 다르지만 대부분 x5가 더 판매량 높지 않나요?gle에는 쿠페도 포함하기때문에 x5 + x6 판매량으로 봐야할 것 같아요! 아니면 gle 판매량에서 쿠페 모델을 빼고 x5랑 비교해야할듯요,43
13,"GLE의 MBC는 옵션으로 추가해야하는 기능이죠??  기본 모델로 BMW와 비교 했을때 승차감,  조향감과 운동성능면에서 과연 어떤 차이가 날까 더 궁금해 지네요. 둘중에 하나 무엇을 선택해야 하나……",6
14,그냥 봐도 승차감이 느껴지네요 ㅎㅎ,6
15,GLE coupe AMG와 X6M 버전 비교도 부탁드려요~~!! 김상영 기자님 영상은 꼭 보고 있습니다~!!,1
16,어짜피 둘다 좋은 차라서 뭐가 좋다 나쁘다보다 용도 차이같아요. 패밀리카 용도로 GLE450으로 갔는데 후회는 전혀없어요. ^^ 쏘는 맛이 아니라 주행질감이 고급지다 해야하나.. 차뒤에서 앉아서 담배한대 태우면서 보면 GLE 엉덩이가 묵직허니 우람해서 좋아요. ㅎㅎ 타는 재미는 X5가 확실히 좋은 거 같아요.,4
17,친구차가 GLE450인데 정말 좋아요~근데 후배차는 X5인데 솔직히 저는 X5 가 더 좋더라구요ㅎㅎ 물론 제차도 X5,29
18,역시 이 세그먼트에선 X5가 젤 잘팔리다보니 평가가 좋네요.. 주행성능도 훌륭한 것 같고 제 드림카!!,1
19,저도 벤츠부터 매장가보다가 x5 둘다보고나서 비싸더라도 x5확실히 단단해보이고 남성적인면이 잇더라고요,22
20,구입한지 5개월~ 동승자가 편안해하고 너무 승차감 좋다고 합니다~ 펀카는 따로 작은차를 주문해서 대기 중입니다~ 한대로 다 해결하려면 x5로 가시면 되는데 가끔 친구차 타보면 동승자 입장 에서는 그닥 편하지않네요~ 가족을 꼭 태워보시고 결정하시길...,17
21,실제로 11월 판매량 보면 x5 x6 합친 판매량이 750대정도로 gle (gle 는 gle coupe 이 합산되어 있어서) 보다 더 많습니다,29
22,주위배경을 신경쓴것같아 차가더 돋보이고 좋네요👍,2
23,"역시 모터그래프,  성능과 디자인 x5 딱 생각 중인 차량인데 명쾌합니다",3
24,한가지 더 궁금한게 있는데요..지금처럼 겨울시즌에 눈길에서 언덕길을 올라가고 내려가는 안전성?? 은 어느쪽이 더 좋은지요? 다같은 사륜구동이지만 눈길이나 눈이 녹아서 슬러쉬한 길에서 운전할때 어느쪽이 더 안전할까요? 제가 주로 운전하는 환경은 거의 도심과 고속도로에서 시간을 많이 보내는데 차가 많이 다니는길엔 제설차가 다 깨끗이 안전하게 치워주지만 가끔은 아침 일찍 집나갈때나 새벽에 집에갈때나 갑자기 눈이 내리기 시작하면 제설 작업이 제대로 안되어 있는길을 다닐때 좀 불안하거든요..스노우 타이어끼면 물론 없을때보단 주행에 들 불안하겠지만 만약 그 타이어없이 겨울을 나야한다면 어느 SUV가 더 낳을까요? 차사고 스노우 타이어까지 같이 사기에 좀 그래서요. 암튼 비엠 X5을 선택할꺼 같은데..오프로드는 가지를 않아서요. 비엠 첨으로 사서 타볼려 생각중임니다.  경험자분 계시면 어드바이스 부탁드려요.,1
25,패밀리카로 쓸꺼면 e-abc 까지 들어갔으면 gle450이고 아직 뒷자리 크게 필요 없느면 x5지,9
26,두차종 어느하나 빠짐없이 오너가 만족스러워 할겁니다선택의 차이겠죠 저는 잘타고 있습니다,7
27,확실히 bmw x5가 디자인은 공격적이네요,4
28,둘 중 하나라면 당연히 x5지.. 괜히 세계에서 많이 팔린 suv가 아니지.. 근데 이왕이면 m50i로..,29
29,X5 40I 온라인 익스클루시브 타고 있습니다. 너무 좋아요~ 특히 주행성능은 카이엔보다 좋아요!! 뒷자리에 아내랑 딸도 멀미 없이 정말 잘타고있습니다.,33
30,X5타고있는데 이건 오너드리븐차로는 개인적인 만족도가95프로 이상 만족도가 뛰어납니다  ~두차를 고민하시는분들은  무적권 x5선택하셔야 합니다,19
31,이 정도 급에서는 X5가 대장이라고 생각합니다...,85
32,21년8월31일 45e 출고했습니다.5천넘게 탔는데 윈터 타이어 구하기가 힘든거 제외하곤 아직까지 단점이없습니다 ...ㅋㅋㅋ,5
33,7시리즈도 탔었고 x5도 몇년전 이야기긴 하지만 2년 타고 차를 두대로 나눠야 해서 기변하면서 팔았었는데 bmw 좋습니다. 근데 맨날 비엠 성능 좋다 하고 다녔지만 생각 해보면 성능을 다쓸정도로 운전도 안해봤고 ㅋㅋ 이제 나이를 좀 먹다보니 ㅎㅎ아스팔트로 길은 좋은데 많이 막히는 도로사정에 고속도로도 140이상을 안밟고 하는 운전 성향에;; 그냥 주변 시선을 더 신경 쓰게 되서 지금은 벤츠로만 타고 있습니다~특히 어르신들 눈엔 아직 벤츠라..ㅎㅎ그래서 지금 까지 벤비만 타본 제가 감히 생각해보면 비엠이든 벤츠든 그냥 신형이 좋습니다. 머든 새로 기능 들어간 애들이 좋아요~ 아 물론 비엠은 실내좀 .. 솔직히 두대 연속으로 비엔 타면 좀 질리긴 합니다…,12
34,"X5 5년째 타고 있는데..만족 스러워서 재구매할까..gle450 으로 가야하나 정말 고민중 ., 운전은 x5 인데..벤츠 가  고급지게 보이긴 하더라구요..",2
35,행복한 고민이네요.......... 둘중하나 가지고 싶은 행복한 고민...... 저는 X5 선택하겠습니다..^^,72
36,Suv는  비엠이 갑이죠갠적으로 x5  45e  정말 흠이없는 차입니다.,23
37,현명한 선택 X5 좋아요 👍,21
38,"이 차는 뒤에 타는 가족들이 중요한 찬데, x5는 운전자가 재미난 차라...전 gle450 선택했습니다.",14
39,둘 다 운전해보면 압니다암만 삼각별이라도 이번세대에선 x시리즈와 비교불가입니다 그리고 뒷좌석 공간은 벤츠가 좀 더 나오지만 비엠도 패밀리로 쓰기에 부족하진 않아요,28
40,김상영이 많이컸네 예전에 비해 리뷰도 좋아지고,4
