,comments,likes
0,"차주님이 중고차를 보는 눈이 저랑 똑같네요. 중고차 싸게 사서, 심지어는 쓸만한 전손차를 사서, 싸게 사서 절약한 돈의 일부로 수리비로 투자해서 타는 게 어찌보면 합리적이네요. 저는 250을 관심을 두고 이 영상을 봤는데, 350을 추천하시는 게 일리있네요. 350을 잫 알아봐야겠습니다. 이 영상이 제게는 아주 큰 도움이 되었습니다. 두 분 모두 대단히 감사합니다.",8
1,좋은 정보 감사합니다,3
2,"벤츠e350 12년식 28만, 지금도 팔기가 아까워  타고 있네요 정말 맘에 듭니다",4
3,뒷좌석은.좀 편한가요? 가속력도 좋은지. .,2
4,"매끄러웁고 객관적인 진행이 참 아나운서같습니다.잘 보았습니다,",2
5,영상 너무잘봤습니다  ml 페이스는 이제gle를 봐야하는거죠??  디자인이 너무좋아하는 디자인이라 꼭한번타고싶습니다^^,2
6,링컨mkx 랑 ml350이랑 뭐가 더 좋을가요?4인가족입니다.,2
7,이차 부품이 비싸고 호환가능한게 별로없다는데 어떤가요?,2
8,w166 12년식인데 키 추가제작가능할까요?,2
9,금액이 얼마인가요?식구가 늘어서 차를 바꾸려고 합니다.,2
10,포르쉐 사려고 마음 먹으신 분이 전손ml이라.......,1
11,그럼 13년식을 사는게 더좋은건가요?,2
12,250  350  차이가  뭔지요???,3
13,데칼코마니 촬영 인건가요?일본처럼 운전석이 오른쪽에 있는거 같습니다.....,2
14,구형 가솔린이 디자인이나 여러모로 훨씬  낫다고 생각합니다.,2
15,"어쩌다가 흘러들어왔는데, 매력있으시네요 ML350기변병오게만드시네요ㅡㅜ",2
16,멋진 영상 감사합니다,2
17,세로그릴 알리에 안나오던데요ㅠㅠ제가 잘못 검색한건가요?ㅠ그리고 그릴은 차주분이 직접 교체하신건가요?,2
18,2012년형이면 구형일까요? 6기통 디젤은 10만넘어가면 정비비많이들까요?,1
19,예쁨.. 저도 세로그릴 알리로 주문했네요,2
20,이거유지비피똥만아니면 갖고싶음ㅜㅜ,2
21,그릴 구매정보좀 알수있을까요?,2
22,이 게스트분이 한달에 차 하나씩 사시는분 맞쥬?,2
23,수고하셨습니다,2
24,투아렉 v8 디젤이 있습니다,2
25,*문의 k31007@naver.com감사합니다. 브랜디 클래식 구독자님's,2
26,ml 350 블루텍 그냥 길에 다니는 돈 먹는 garbage.오일 쿨러 새는거는 기본이고  고치는데 기본 5000불 들어간다.,1
27,2000만원?😊,2
28,이쁘네요 역시 고급스러움,1
29,와우 ㅎㅎ,8
30,저 가격에 c클을 누가사ㅋㅋㅋ 인데 대기가 1년이라네요ㅋㅋㅋ 다들 부자인가봐,11
31,이뻐 이쁜데.. 가격이 좀;;;,7
32,렉서스 es보다 한참작은 차를 더 비싼가격에 ㄷ ㄷ  게다가 풀가솔린을 저값에? ㄷ ㄷ 차라리 모델3을 사것음..,6
33,??? : S처럼 만들었지만 E 가격만 받을께~ 고맙지?,10
34,실상은 졸라 잘팔린다는거지,6
35,이제 아재님들은 안나오시나요,2
36,적당히 하시지 T T,1
37,역시 X5의 오랜라이벌답네요 ㅋㅋ 최고죠,2
38,벤츠 M클래스는 흰색이 제일이쁜거 같네요. 그리고 3000cc6기통 디젤엔진 가장맘에드는 차이네요 ㅋㅋㅋ,2
39,멋있다 ㅠㅠㅠ,2
40,우리나라애는밴츠ML250ML350그리고ML63AMG등총3가지가들어와있다특히가격이허걱허걱!,2
41,메르세데스밴츠M클래스는1새대가1998년애나왔고요그러나2006년애2새대M클래스가나왔습니다그리고무려7년만애3새대가나온것입니다,2
42,그리고메르세데스밴츠M클래스 는가장져령한ML250모델은8000만원이것보다더져렴한ML350모델은6990만원그렇다면가장비싼모델은ML63AMG는1억6000만원이라고합니다와우대단합니다,2
43,ㅋㅋㅋ 5등급 ㅍㅎㅎ,1
