,comments,likes
0,오랜만에 벤츠가 멋진 디자인으로 차량을 만들었다고 생각합니다.진짜로 눈에 확 들어오는 디자인이라고 느낌,7
1,요즘 벤츠 디자인 별로라고 생각했는데 SL은 진짜 잘나온듯해요,87
2,진짜 간만에 벤츠 위엄뽐내는 디자인과 성능의 차 나왔네,7
3,개인적으로는 R232에 적용된 새로운 메르세데스의  패밀리룩보다는 R231의 디자인이 훨씬 이쁜것 같네요...,3
4,이건 진짜 디자인 멋있다  진짜 잘나온 디자인,14
5,ㅋㅋㅋ 제원 스펙 무시하고 성능 더 잘 나오는 건 이제 기본인건가 ㅋㅋㅋㅋㅋ디자인도 솔직하게 선 넘게 예쁘고..,41
6,잘 팔리지는 않지만 벤츠의 상징인 차인만큼 단종시키지 않는 벤츠가 진짜 고맙네요 폭바 비틀은 그런 점에서 더 아쉽고요,22
7,와 소프트리미터 충격적이네요 신기술은 정말..,4
8,너무 멋있다 정말 요새 벤츠 완전 중국차 디자인이였는데 SL 요거는 정말 이쁘다,10
9,트렁크가 에그 크러시타입이 아니라 신기하네요,1
10,이 느낌으로 추후 CLS 풀체인지 패밀리룩 먹여주면 행복사 할듯,2
11,역시 SL은 잘빠졌어!!,18
12,디자인 멋들어져서 정말 좋은데S클 쿠페랑 카브리 단종시켜놓고뒷자리를 저렇게 박살을 내놓은게 좀 슬픔뒷자리도 탈만한 4인승 컨버 없냐고 아 ㅋㅋ,1
13,벤츠 노란색 의외로 잘 뽑네요ㅎㅎ이뻐보여요,29
14,요즘 벤츠 디자인 진짜 개별론데 이건 딱보고 이쁘다고 생각함,128
15,형님 모델S 너무 보고싶습니다 진짜..,1
16,c e s클은 디자인 곱창내놓고 여기선 또 이쁘게 잘뽑았네,14
17,911 터보 s 카브리올레는 600마력대에 제로백은 2.8초 입니다. 911 타르가나 카레라 4s와는 비교가 될수도 있겠지만 터보 s는 넘사에요. 아벤타도르랑 812도 이기는데,3
18,와 디자인ㄷㄷ,2
19,Cls 뚜껑 날린것처럼 생겨서 멋지네요,3
20,진짜 너무 예쁘다...드림카가 911에서 바뀔 것 같아요,8
