,comments,likes
0,시승기 잘 보고 갑니다.. ^^기자님 리뷰 항상 잘 보고 있습니다...화이팅 하세요..~~,4
1,볼보V40크로스컨트리 꼭 다음차로 갖고싶은차ㅜㅜ 센터페시아디자인은 좀 아쉽지만ㅜ 김한용 기자님의 리뷰는 솔직담백하고 차분해서 리뷰볼때 제일먼저 보게됩니다 이번리뷰도 잘봤어요ㅎ,3
2,"기자님! 항상 성실한 답변과 재밌는 영상을 제공해 주셔서 감사합니다!그런데요, 차 꼭대기에 달려있는 케리어 쉽게 탈,부착 가능한가요?영상을 보다가 뒷자리 설명하실 때, 파노라마 선루프인데 그 위에 케리어를 다니까 좀 이상하네요ㅋㅋㅋ 하늘 잘 보라고 뚫어놨는데 케리어로 가려버렸네요 ㅎㅎ늦었지만 새해 복 많이 받으시구요 건강하시고,나중에 기회가 된다면 타이어 수리키트에 관해서 더 알아보고 싶네요!수고하세요~",3
3,아프지마세요~~건강이 최고입니당ㅎ잘봤습니다!!,1
4,"짐 안솔리게 하는 그물 탐나네요 미니쿠퍼를 타면서  뒷자석을 접어서 트렁크를 넓게 쓰는데, 저런 칸막이 하나 있으면 좋겠다 생각했었거든요.",1
5,완전 사고 싶어요 ㅜㅜ,2
6,그래도 자동주차는 볼보가 최초아닌가요? 폭스바겐인가? 아무튼 제가 중학교시절 기술선생님이 화면을 통해 보여준게 기억이 나네요 10년정도 지났으니 정말 대단하죠,1
7,자동정지. 대박이군요!!!!,1
8,잘봤습니다.크로스컨트리이고 아무래도 뒷자석에도 사람이 많이 탈 차라고 생각하는데 뒷자석 부분은 좀 아쉬운차네요. 그런데 볼보가 현재 어떤 상황인지도 궁금하네요. 중국한테 넘어갔다는 소식 이후로 들은 이야기가 없어서 말이죠,2
9,리뷰보고 오늘 볼보 다녀왔습니다...근데 생각보단 넘 작더군요...,1
10,v40 주유구 누수 해결된건가요?,1
11,저기자는  제조업체직원인갑다...,2
12,볼보 S90 리뷰부탁드립니다,1
13,잘봣습니다ㅎㅎ,1
14,영상이 너무 안좋아요..노출 오토로 되어있으니 역광에서 그림 하나도 안보이고...,1
15,자동주차 버튼 안내화살표가 잘못됐습니다 ,1
16,숫자는뭐예요,1
17,"차이름에 맞는, 풀프랫 되는것, 많은  낚시장비싣고,누울수 있는가..그저 뒷좌석 않아보는,  지극히 ,평범한  시승기이내요.  하지만,  김한용기자 리뷰라  잘보고 감니다..(다음엔  시냇가 잔돌밭은 타고 갈수있는지..컨튜리모델에 맞는 ,리뷰를 해주셨으면 좋겠슴니다..^^천상 v60 으로 가야되는건가..ㅎ)",2
18,"시승기와는 별개의 얘기입니다만,  핸들이라는 단어대신 운전대나 스티어링휠이라고 하시는게 낫지 않을까 싶네요.  명색이 대한민국 자동차 전문 미디어인데... 바른 자동차 용어 정착!!! :D",7
19,노잼,3
