,comments,likes
0,담당자의 군더더기 없는 깔끔한 설명이 참 좋았습니다.개발자에게 직접들으니 자세해서 좋고 신뢰가 갑니다.정말 많이 발전했네요. 인포테인먼트 때문에라도 선택할 만한 차 인것 같아요.,76
1,"XC60 리뷰 잘봤습니다~ 모카에서 터보에 대한 공부를 먼저하고 이 리뷰를 보니 XC60 B5의 터보에 대해 말씀하시는 것이 더욱 잘 이해되네요^^  MY22 XC60 B5를 대기하다가 MY21 XC60 T8 PHEV로 바꾸었는데... 누구오토 인포테인먼트와 볼보온콜이 부럽긴 하더군요. 그래도 볼보 XC60이라는 것만으로도 정말 만족하며 타고 있습니다. 항상 믿고 보는 모카, 좋은 컨텐츠 만드시느라 고생 많으셨습니다. 잘봤습니다^^",3
2,처음으로 차 외관이 아닌 내부로 차 사고 싶다라고 생각이 들게 하다니 ㅋㅋㅋㅋ 와... 대박이네요 진짜 독일차가 아니라도 볼보라는 차가 이렇게 매력적으로 보일수가 있군요 ㅎㅎ,69
3,티맵이랑 같이 개발한건 진짜 좋네요 ㄷㄷ 타사도 고려해볼만하네요,116
4,추가된 기능이 정말 대단하네요,7
5,볼보 B6의 경우 모터를 이용해서 터빈을 돌려 과급을 해주는 방식이라 하셨는데 그렇다면 해당 모델의 경우 통상적으로 생각하는 후열이라는 과정이 아예 생략이 되어도 지장 없을까요?... 아니면 모터로 인위적인 회전을 주기도 하고 기존의 배기압을 이용해서도 돌려주는지 궁금합니다~_~,2
6,제발 기존 볼보 차량에도 적용 시켜줘 ㅠㅠ,31
7,설명해주시는 분 너무 완벽하시네여!!,20
8,"개인적으로 ui나 보여주는 정보는 현기 순정네비가 젤 좋다 생각하지만, 티맵이 클러스터와 허드까지 연동되는건 진짜 신세계네요",2
9,영상속 볼보 인포테인먼트 담당자가 아주 인상적이네요 ㅎㅎ 말도 너무 잘하시고 능력이 상당하실듯,12
10,저는 국산내비도 길안내가 정확하지않은거 같아서 항상 티맵쓰는데 기본으로 장착되었다 하니 볼보 좋네요,10
11,재규어 랜드로버도 티맵 순정으로 들어갔고 lg가 만든 ux가 들어갔는데 비교해보면 좋을 것 같네요. 확실한건 아니지만 제가 알기로 재규어 랜드로버는 음성인식 인공지능의 애칭을 직접 정할 수도 있었던 것 같은데.,5
12,폴스타 모델도 출시시작하면 점유율 더 높아지겠군요 상품성이 아주그냥.. 대박,4
13,"이래서 모카를보게되지. 바뀐점 완전 시각화,청각화로 알려주니 좋네.",3
14,달라진 부분 콕 집어서 잘 보여주셨네요 잘보고 갑니다.,3
15,이미 오래전부터 팅커벨을 사용했었고.. 이번 순정 인포 업뎃도 칭찬할만 하지만 무엇보다 사제 안드로이드 올인원이 제가 볼땐 자유도면에서 한 수 위가 아닐까 싶네요.,5
16,네비 계기판 hud 연동이 T맵이라니....이것만으로 한국사람들 편의성 대박!,13
17,볼보 사고 싶다 ㅜㅜㅜㅜ,4
18,"정말 다른 리뷰와 차별이 되네요, 억지로 혼자 다 설명하지 않고 전문가를 통해 구석구석 숨겨진 보물을 찾는 느낌입니다. 거기에 감초같은 아재 코멘트로 나도 모르게 피식피식 하고있는.. ㅎㅎ 건강 잘 챙기시고 꼭 회복하세요~^^ 언젠가 꼭 뵙고싶네요^^",10
19,기존 차량에도 좀 적용해주세요..ㅠ.ㅠ,4
20,여윽시 모카 화이팅 입니다 👍,7
21,진짜 일반인이 타는 수준의 상용차를 기준으로 했을때 기술적으로 앞서가는 브랜드는 벤츠랑 볼보밖에 없고 나머지는 그냥 따라오기에 급급한 수준이라는게 항상 느껴진다,4
22,김기자님 시승기 기다리고 있었습니다~^^,2
23,이통사 점유율만 봐도 SKT가 1위인데 일부 SKT 고객들이 볼보 차량으로는 스마트폰과 같은 계정으로 동일하게 사용할 수 있다는 것만 생각해봐도 매우 편리해진 부분이죠,15
24,내실을 참 잘 다진 그런 차 같네요 ㄷㄷㄷ,3
25,목표가 xc60은 아니지만 다음차는 완전 내연기관차를 마지막으로 타고 그 다음차는 V90 크로스 컨트리 전기차가 나오면 꼭 타고 싶네요,2
26,미쳤네 ㅋㅋ진짜 좋다.,14
27,와 네비 구려서 폰달고 다니면 진짜 별로인데 와 너무좋다 사고싶어 ㅠㅠ,3
28,"시승 맛집 다운 영상이다~역시 모카스럽다~모카 명성에 이런 영상이면딱 좋지 않나 이런 생각이 듭니다~시승기 볼때 왜 다른 영상을 찾아요~우리꺼 보세요~이런 느낌인거죠~?ㅋ티맵 카카오 둘다 써보면 티맵이 훨씬 편함.속이 꽉찬 페이스리프트네요~외관만 보면 ""오빠~ 나 달라진거 없어?""이느낌인데,내실이 WOW~~속이 꽉찬 볼보~XC60~",8
29,실내가 좀 넓고 빨리 출고 되면 좋겠네요^^,2
30,이건 뭐 티맵의 문제만은 아니고 22년식  xc60 v90cc s90 받을 사람은 축복임  얼마나 많은 앱들이 업데이트될지 기대되네요,2
31,하뇽형님 영상은 좀 어떠신가요? 건강도 좋지만 영상 잘 챙기시길 바랍니다!!,3
32,17:10 이번 리뷰 드립 포인트이 좋은 인포테인먼트 시스템이XC90에는 23년형에나 탑재 된다니ㅠ,14
33,티맵 연동은 진짜 신의 한수인듯함다,2
34,수입차 인포테인먼트의 완성형이 나왔네요,4
35,볼보는 디자인이 참 안질리고 이쁘다,4
36,와 티맵 너무 좋다~~ 볼보는 모든차량에 일괄적으로 넣어주지 아싑;;,29
37,아 올해초에 볼보 샀는데 좀만 더 기다릴껄 그랬네요 대박이네요,3
38,"볼보 XC60의 인포테이먼트 시스템이 수입차는 물론 제네시스보다 좋으면 끝났네, 좋습니다.",9
39,아... 사고싶다..아 돈이 없다 ...,3
40,xc40차주인데 40이도 200프로 만족하지만 기변하고 싶은 욕구가 ㅋ ㅋ11:56 볼보의 새로운 기능 자동문,15
41,인포테인먼트로 볼보는 한국에 신경 쓴다는 느낌을 직관적으로 주네요.,16
42,다음달 xc40 인순데 인포 업댓보고 1년 더 기다리기로 했어요. 60도 추가로 계약했네요. 8개월 기다렸는데 1년 더 기다립니다.,3
43,직원분 목소리 엄청 차분하시네 그나저나 볼보 갖고싶다..ㅜㅜ영롱하던데,3
44,"하하하하 xc60 b5 b6 예약하고 7개월째 기다리고 있는데 뿌듯하네요. 예약할땐 ,T map이 내장된다고만 들었는데 이정도일줄이야... 기다린 보람이 있네요",5
45,모카의 애청 구독자입니다!볼보 S60 페이스리프트가 나온다고 알고있습니다. 기존 영상도 잘보았지만 한번 더 즐거운 영상 보여주셨으면 좋겠습니다항상 감사합니다!,1
46,김한용기자님 몸은 좀 어떠신가요?? 영상도 좋지만 건강 잘챙기시길 바랍니다^^,29
47,볼보 너무 좋다,4
48,좋은 방송 감사합니다,2
49,내비게이션에 Tmap 넣어준건 잘했는데 물량을 적게 들여와서 대기기간이 쓸때없이 길다는게 구매에 있어서 발목잡혀.,2
50,수입차에 티맵이라니… 너무 좋아요,3
51,르노도 티맵....인데..너무 다른세계...온도의 차이가 ㅠㅠ,6
52,기존 차량들에게는 업데이트 안해주겟죠??? 너무 좋은데 진짜,1
53,시승현장가서 연구원 혼내는 김기자님 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3
54,V60 은 내년이나 돼야 넣어준다 고 하는데 기달리던 사람으로 맘미 아프네요,4
55,S60 페이스리프트에도 티맵+아리아 동일하게 적용되는건가요?,2
56,ㅋㅋㅋ 영상에서 파주날씨알려달라는데우리집 아리가 대답을하네요ㅋㅋㅋㅋ,7
57,많이 바라지도 않는다. 기존차량 안드로이드 오토 풀 화면이라도 해줘라.. 제발 제발..,5
58,김정수 연구원.. 역시 소문답게 능력있는 모습이군요…,42
59,올해 여름에 출고받은 차량들의 인포시스템은 당연히 업그레이드가 안되겠죠?,3
60,혹시 고속도로 크루즈 설정해서 주행 중에 과속카메라에 맞춰서 속도를 줄이는 것도 될까요? 현기차 처럼요.,2
61,'아리'로 알고 있다는 사람이 많다는 게 더 신기하네요ㅋㅋ,6
62,"그저께 쏘렌토 하이브리드 출고했습니다,,  인포 시스템이랑 네비보고 실망을 좀 많이했는데  너무 부럽습니다!  외제차가 국산보다 좋다니..............",3
63,아리아 t맵의 음석인식률은 아주 휼륭하지.,2
64,오늘은 시승기가 아니라 시맵기 느낌이네요 ㅎㅎ,4
65,인포테인먼트 담당자똘톨하네믿음이 가게 말 잘하네요,7
66,볼보 좋아하는 브랜드인데V60이나 Xc60 탐난다SKT고객이 아닌 사람은 살짝? 아쉬움이 잇네요ㅠㅡㅠ KT라서 원내비랑 지니도 최적화 해줬음 좋겟네요 ㅎㅎ,2
67,볼보는 안전이지!!!!,4
68,인포테이먼트 시스템이 대박이네요,4
69,탐스러워 보이네요.,2
70,아리아와 함께라면 졸음운전 할일은 없겠네요ㅎㅎ,2
71,S90 6개월째 대기중....다른걸로 갈아탈까했지만 아리아 보고 기다립니다ㅜㅜ,3
72,볼보 너무 사고 싶다 내 드림카는 XC40인데 아담한 차가 딱 좋아,3
73,이것때문에 다음차는 볼보다!!,3
74,‘아리’가 아닌 ‘아리아’라는 것은 진짜 충격….. 아리아야 였다니… ㄷ ㄷ ㄷ ㄷ,5
75,볼보는 현기랑생각이다르네 대박,13
76,개인적으로 t맵보다 현대기아 네비가 훨 좋은거같네요.,1
77,사고싶다,2
78,볼보 xc60과 제네시스gv70중 어떤차가 더 좋을까요?,2
79,티맵 연동때문에 사고 싶네,3
80,아리아케어키와 일반키를 같이 가지고 타면... 케어키가 활성화되니?,1
81,ㅋㅋㅋ..준비했습니다!!!센스 멘트!,2
82,카카오내비 진짜 오래 썼는데 갈수록 정말 별로임. 위치정보도 제대로 못잡아서 수시로 경로 이탈했다고  그러고 엉뚱한 경로로 안내하고. 티맵으로 갈아탔습니다.,6
83,결론: ZICO는 천재다,3
84,역시 볼보네요. 하지만 전 가격에 그냥 눙물만 …,3
85,네비는 현기 순정네비도 좋은데요.. HUD랑 호환성도 좋고 헤이카카오 사용하고 지니뮤직,5
86,볼보XC60혼자타기에는 좀 큰가요???,1
87,폴스타에도 들어가면 좋겠네요,1
88,티맵이 극적으로 점유율을 올린게 보험사와 제휴. 티맵 설치하고 사용시 보험료 10%할인 해줌. 이젠 안하지만.,1
89,레거시 업체들 인포테인먼트 .. 인공지능 음성 비서에 돈쓸 생각말고 OTA에 돈을 쓸 생각을 해야할듯 하네요 어차피 시리나 헤이구글이나 알렉사나 더 좋은 음성비서 주머니에 가지고 다니고 차타자마자 블투 연결하는데 .. 연동할 생각을 해야지.. 그걸 왜또 만들까 단가만 상승하고..,1
90,역시(모카) 가장 볼만한 내용이였습니다 ~,3
91,인포테인먼트의 중요성.,5
92,기존의 애플 카플레이도 그대로 적용되어 있나요?,2
93,너무 예쁜것 같아요…!,1
94,송풍구 디자인     ..  예전에  산타페나  그랜저도  저랫는데  길쭉한디자인,2
95,저희 집 아리아가 계속 반응해요 ㅋㅋㅋ,1
96,우째우째 살순있어도 고급유관리 못해줄러같움 ㅜ 이뿌네요,2
97,경로 연동 핸들 조작도 되는지요?,1
98,"2020 혹은 2021 모델, 즉 신형 나오기 직전 모델들은 위 시스템을 다는 아니더라도 어느 정도 업뎃을 같이 받을 수 있을까요?",1
99,우앙.내차다.차좋아용,3
100,이거 사려는데 지인들이 중국차라고 사지말라는데 그냥 제가 타고싶은 차 탈렵니다.,1
101,18:24 피디님 ㅋㅋㅋㅋㅋㅋ가시방석이네요,1
102,개스퍼 최고 ㅎㅎㅎㅎ,1
103,B5같은 경우에는 티맵 연동 시키고 앞열 통풍 기능을 뺐네요-_- 거기에 가격도 100만원정도 올리고...이러면 굳이 신형을 살 이유가 있나요,1
