,comments,likes
0,자동차와생산회사와 그나라에문화까지해박한지식이보는이로하여금 이해가굉장히빠르고신뢰가가게되네요 감사합니다~!,4
1,명차가 단종된다는게 아쉽습니다. 크로스오버 장르는 볼보가 최고네요. 확고한 기업가 정신이 있는 볼보 응원합니다.,8
2,캬 타이어특성 까지 잘 설명 +_+ 유용하게 잘 듣고 있습니다,1
3,XC70을 시승하면서 오프로드를 달려보지않았다는 것은 시승안한것과 마찬가지죠 ㅎㅎ,4
4,"안전벨트 착용할때 높이조정이 자동으로 됩니다.앉아서 당길때 높이아 변경되고,체결할때 고정되죠...",1
5,볼보XC70 D4시승기인데 마칠때는 xc90이라 하시네요.,3
6,마지막쯤에 XC70인데 XC90을 시승했습니다.ㅋㅋㅋ 기지님 많이 당황하셨어요?,3
7,패스파인더도 보고싶다,1
8,70이게 명차지~ 520d말고 이걸 사야됨,2
9,볼보만 가지고있는 세그먼트?데뷔당시엔 아우디 영향도 많이 받았고 심지어 그 한참전에 스바루에 이런 스타일의 차량이 존재했었는데..그냥 알바영상으로 생각하고 봐야겠군요 모터그래프도..,5
10,이거d4맞나요?? 옵션은 d5 같은데??차선이탈이랑. 제한속도 계기판에서 보여주는거 d4안되는걸로 알고있는데,1
11,"개인적으로 참 아쉬운 게 화면에 Hud 라고 하나요?자막이랑 이미지가 너무 많고 큰 부분을 차지하고 있어서 감상하는데 불편하네요.외국 리뷰는 처음부터 끝까지 참 편안하게 감상할 수 있는데,(이해는 다른 문제..)우리나라는 왜 그렇게 이것저것 많이 넣는지... 너무너무... 아쉽네요.한국 영화에 한국어 자막이 뜨면 안 볼 것 같지만 저절로 눈이 가고 읽게 되듯이별 의미 없는 자막은 감상에 방해만 될 뿐인데..중간중간 나오는 자막은 마지막에 장단점으로 한 번에 보여주면 훨씬 좋을 것 같아요.음악도 너무 커서 보고 있다가 깜짝 놀라요. ㅠㅠ화면에 뭔가 많이 나오는 걸 좋아하는 분들도 계시겠지만,개인적으로 많이 기대하고 있는 시승기라서 그냥 투덜대 봤어요.",2
12,찦 체로키나 랜드로버 차는 시승 어렵나요?,1
13,xc60 도 부탁 드려요~ x60cc 도 부탁드림,2
14,리뷰가 너무 야매스럽네요. 차가 작은데 실용적이다고ㅜ하다가 크다고 하다고 엔진 방음이 두꺼워 소리를 잡는다고 했다가 크다고 했다가...대체 어쩌라는건지,1
15,마지막에xc90이라고 하셨내욬ㅋ,1
16,촬영장소 알려주세염,1
17,중국 지리가 인수후 무섭게 변화하는 구나.훈다이야 정신 차려라~,1
18,타이어 설명이 좀...윈터타이어 원리부터 다시 공부하시고 머드타이어 특징설명 다시 고고~~그리구 볼보 8기통 만들다 다운사이징으로 t6 만든거에요.볼보공부도 다시고고~~,4
19,볼보에만 있다??? 아우디 올로드콰트로는????? 오히려 판매량에선 올로드가 압살 아닌가요??,2
20,헐ㅋㅋㅋㅋ 머리 어쩔 ㅋㅋㅋ,1
21,댓글들한심,1
22,볼보 사대주의 같은 기자 같으니라구.,1
23,볼보 신형타고 있지만 70은 진짜 최고라고 생각합니다~~~,9
24,현재 그렌저랑 xc70타고있는데 xc70 12년식 35만키로 타왔습니다 당시 520d도 1년정도 타봤는데 xc70이 이때까지 타본차중에 가장 만족도도 높고 굉장히 튼튼해요 레전드 차입니다 다음차도 볼보 왜건 각 입니다ㅋㅋㅋ 근데 볼보 보험료 비싼거 저만 그런가요?,4
25,진짜 v90 운행하면서 xc70에만 있는 부분들 뽑아다 갖다 쓰고 싶은 심정입니다. XC70 정말 매력있는 차 입니다 특희 뒷태!,6
26,xc70 D5 차준데 정말 차를 못 바꾸겠어요.. 보통 3~4년마다 바꿨었는데 젤 편해서.. 그냥 편합니다. 운전이.. 나가기도 잘 나가고 시트 편하고 안전장치 좋아서 고속도로에서 ACC 켜 놓고 편히가고.. 요즘  e300 도 acc 가 제대로 작동을 못한다는 소리있던데 정말 한번도 오류 없이 작동됩니다. 차값도 기능 따져봄 정말 싸게 산듯하고 왜건에 맛 들여서 담에도 왜건으로 갈 듯해요.. 짐 때려 박고 다니기 편해서...,4
27,xc70d5타고있는데 12년식이지만 진짜 만족감 120%입니다.,1
28,XC70 정말정말 매력적인 차!,5
29,V60cc 보다 여기까지 왔네요.와.. 근데 디자인이며 어디 꿀릴게 하나 없네요~뒤에 ‘파울타구’ 조심하세요~,2
30,엥.. 뜬금없이 최고의 아빠차 우주명차 xc70이 나오다니,6
31,천명돌파 축하드려요~,3
32,저도 왜거너스 회원입니다. 스티커를 보니 반갑네유 ㅎㅎ,3
33,우주명차.... 왜건명가 볼보...가솔림 들어왓음 얼마나 좋앗을꼬,2
34,마지막  신현준형님인줄  너무 닮았죠 ㅋㅋ,1
35,볼보. 나는 구른다!,2
36,조정석 느낌 ㅋㅋㅋ,2
37,내용이 너무 적어요. ㅠㅠ,1
38,년식이랑 d4인지d5인지 궁금합니다정차만되는게 아니라 출발도되는거는 몇년식 d4나d5에부터 잇는지 궁금합니다,2
39,"안전의 대명사죠척박한 나라 환경에서 버틸수있는차가 개발취지였죠3점식 안전벨트커튼에어백, 사이드 에어백내장재 재활용을 위한 쁘라스틱감성등등안전빼면 시체인 그런 브랜드죠ㅎㅎ영상 잘봤습니다. 즐거운 주말 되세요!",3
40,ㅋㅋ권팀장님 처음부터 잘할순 없어요 보기좋습니다~웃는게 매력적이신듯,2
41,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진지하게.. 보다가..편집..진짜..너무..웃..기..네예..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
42,편집 진짜 기가막힌닷 ㅋㅋㅋㅋ,3
43,영상 잘 보고있습니다 ㅎㅎ 요번에도 댓글이 늦었네여 ㅠㅠ.저번에 페북에서 볼보 사고났는데 멀쩡한거보고 아 역시 볼보구나했네여 ㅋㅋ,3
44,권팀장님 리뷰 익숙해저갑니다 ㅎㅎ,2
45,현재40대중반 장거리 영업뛰는 사람입니다 Xc70 d5 12년도에사서 현재20년도 까지 약32만키로 운행해서 뽕을아주 지대로 뽑은 차주입니다 많이타본차주로서 소음이 심하고 통풍시트도 없고 5년전까지만 해도 부품값 장난없이 비싼거는거 정말 짜증나지만 잔고장 없고 연비 기가맥히고 장거리 뛰는 영업사원들에겐 정말 좋은차더라구요ㅎㅎ저한테 정말 그동안 돈도많이 벌어준 고마운차였습니다 고마웠다ㅎㅎ,1
46,화이팅 !!!!,2
47,"중장비보다는 트럭사업부 입니다그리고 사업부 자체가 완전히 다릅니다..,,",3
48,2400cc 5기통이라 4기통이랑은 소리가 다르네요,1
49,20 마넌마진봣대ㅋㅋㅋㅋㅋㅋ,1
50,안전의 대명사.. 볼보 근데 이제는 s90이 중국에서 생산 ㅠㅠㅠ,3
51,어떤 차를 사던 수수료 20만원만 주면 되나요? 신형730ld 구매하려고 하는데 매물 있나요,2
