,comments,likes
0,개발자들이 좋아할만한 리뷰네요 ㅎㅎ개선한것들을 디테일하게 잡아내주시니 말이죠차자체는 많이 좋아진것 같아 좋네요,26
1,확실히 현기차 와 차별점을 주는게 경쟁력에 도움이 될거 같네요 요즘 현기차는 운동성능에 치중해서 그런지 좀 단단 하다 생각이 드는데 쌍용은 반대로 누구나 편안하게 탈수 있는 부드로운 승차감을 강점으로 세우는게 좋을거 같네요.,18
2,언제나 깔끔한 리뷰 잘보고있어요. 렉스턴 잘 됐으면 좋겠어요,6
3,쌍용차에 힘을실어주는 따뜻한 시승기네요 항상 응원합니다 오토뷰 화이팅!!!,10
4,분명 이번 렉스턴은 전작에 비해 잘나오긴 했는데 회사꼴이 말이 아니네요차 좀 잘팔린다고 해결될 문제는 아닌거같긴 합니다만...투자자가 있긴 할까 싶기도하구요그럼에도 잘 팔리면 좋겠습니다영상 감사히 보겠습니다,146
5,"쌍용차는 좀 투박하더라도 SUV 를 SUV 답게 만드는게 장점인데.소볼리, 중볼리, 대볼리를 벗어나서 전기차 시대에도 힘 있는 SUV 를 쭉 만들어 주면 좋겠다.",3
6,와~~잘봤습니다^^ 멋진 시승기였습니다 쌍용 화이팅!!,18
7,"마지막 애정어린 조언까지, 역시 대한민국 최고의 리뷰",66
8,쌍용차가 일어설지는 모르지만 렉스턴은 잘나왔지만 회사사정때문에 구매결정이 쉽지않은 사정이 구매자현실입니다,42
9,긍정적인 마이너체인지네요. 쌍용 직원분들 힘내세요.,5
10,RPM 디스플레이가 어긋나는건 한심하지만 속도계가 뚝뚝 끊기지 않고 부드럽게 올라가는건 마음에 드네요,2
11,역시 제자동차 스타일이군요!!고장만 안나면됩니다엔진오일만 안새면됩니다엔진에 펑크만 안나면됩니다그것만 갖추면 완벽한 자동차입니다,6
12,qm6와 렉스턴 사이에서 고민하다 가성비로 갔지만 역시 디자인은 렉스턴이 갑이네요. 더블드래곤이 살아남아서 다음차는 꼭 렉스턴으로 가고싶습니다.,11
13,뭐랄까 정말 정이 듬뿍 담긴 리뷰인듯 하여 뭉클해집니다.,3
14,와 드디어 기다리고 기다리던 올 뉴 렉스턴 시승기!!!! 감사합니다ㅠㅠ,32
15,"쌍용, 쉐비 유저로써 회사만 망하지 말기를,,,,,,♡♡♡",23
16,쌍용 제발 잘되서 열심히 달렸으면좋겠네요. 화이팅! 입니다.,5
17,이 디자인으로 2017년에 진즉 나왔어야 했다는걸..쌍용빼고 모두가 인정하는 부분.그랬어야 소렌토와 싼타페의 수요 일부를 가지고 올 수 있었을텐데..미래가 보여 안타깝네요,11
18,2021년에도  힘차게 응원합니다.! ,2
19,옆집에 비해 없는돈으로 최대한 노력한 모습이 보여서 좋아요,200
20,전자식 계기판에 화면전환이 좋네요현대는 전자식인데도 원형게이지가 계속 유지되는데 여긴 작아지기도하고 숫자만 나와서 네비화면이 크게 나오기도 하는데차후 현대차도 이렇게 바뀌면 좋겠네요,2
21,다들 응원하고 좋다는데 아무도안사.... ㅜㅜ 힝제가볼때도좋아보이는데전직원이 한마음이되어 더 잘되기를 기대해봅니다 ㅜㅜ디자인도 좋고 인테리어도좋구의외로 옵션이 좋네요현기보다좋아보이긴처음,19
22,렉스턴의 계기반의 디지털 디스플레이보다는 ..3000CC V6 이상의 디젤 혹은 가솔린 엔진을 탑재하여 나온다면.....가속할때 여유가 있지 않을까 싶네요....쌍용차의 현 상황으로 볼때 새로운 엔진 개발은 어려울 것이며.....앞으로 전기차 수소차시대라서 내연기관에 투자하는 것이 회사입장에선....손해일까...쌍용차가 현대차 기아차를 견제해줘야 되는데 ..참 ....차종이 제한적이라....현대차 기아차와 비교하기가 어렵...셀토스 투싼 스포티지.니로...가 코란도와 경쟁차종인가 점차 아니라고 생각되네요        항상 국산차의 신차를 출시하는 것을 보면 거의 대부분 현대차 기아차 제네시스라 ....국산차의 신차출시가 재미가 없습니다,7
23,애정을 갖고 쌍용이 잘되기를 바랍니다~,3
24,최대한 달래가면서 리뷰하시느라 고생하셨습니다,14
25,더블드레곤... 쌍용에 대한 애정이 묻어나는 따듯한 리뷰..  잘지내시죠..,56
26,지금쌍용차 코란도c타고 있읍니다.이전 G4도 본사협찬 받아서 700km를 3일간 시승했었구요.분명히 전작들 무쏘.렉스턴에 비해서는 장족의 발전을 이룬게 사실 입니다.지금 출시된 올뉴는 더욱더 상품성이 계선되었으니 주행감성이 좋아졌겠지요.개인경험으로는 쌍용차는 뒤에 짐상하차가 많은 분들에게는 타사보다는 분명이점이 많다 봅니다.지상고가 높다보니 상하차시 훨씬 수월하구요.적재공간도 높아서 효율적 이구요.파트타임사륜구동계와 프레임샤시가 필요한 업종.직종.취미가지신분들적절한가격 내에서 구매하신다면 좋은 선택이 되실듯 합니다.오토뷰의 시승기참고하시면 더욱더 좋을거구요.,8
27,평소 냉철하게 리뷰하고 판단하던 pd가 오늘은 쌍용을 조금이라도 더  케어해주려는 배려리뷰가 엿보입니다. 리뷰시청하면서 현재 쌍용자동차 백척간두의 상황이 안타깝게 느껴집니다. 리뷰 잘보았습니다.,7
28,잘 봤습니다. 이번 올 뉴 렉스턴 참 좋습니다. ^^,22
29,티볼리 잘팔렸다고 전부다 티볼리 따라했던게 쌍용의 가장 큰 패착이었는데진작 이렇게 했었다면 좋았을텐데요 과감히 구조조정해서 몸집을 줄여서 알짜배기 회사로 거듭났으면 좋겠습니다,4
30,초기형은 진짜 2017년에 출시된 차가 맞나 싶게 촌스러웠음.오늘도 잘 보고 갑니다.,20
31,훈훈한 리뷰네 역시 기태형은따뜻한 남자,1
32,쌍용에서 유일하게 맘에 드는 차,4
33,근데 진짜 리뷰하나만큼은 오토뷰가 최강인듯해요,7
34,"우리나라 최고의 카 리뷰, 오토뷰!",4
35,어떻게   보면  모방  쌍용차  답게 당당 하게 멋진 디자인 좀  화이팅ᆢ,3
36,믿고보는 오토뷰~ 선추천 후감상~~,2
37,24:00 쌍용차에 대한 안타까움과 기자님의 마음이 전해 지는 리뷰인 것 같습니다,4
38,크드뎌 오토뷰 리뷰 나왔군요엄청 기다렸습니다!,5
39,솔직한 리뷰 짱,1
40,언젠가 리뷰해주시겠지~ 하고 엄청 기다렸습니다!선댓글 후감상 하겠습니다~,6
41,"차급 대비 저렴한 가격과 프레임 바디의 안전성 딱 두개로 밀고가는 차...2021년 차라고는 믿을 수 없는 제동,주행성능과 승차감을 보여줌..",4
42,사고싶다...,2
43,미션이 거의 20년 전 반응속도네요. 제조사의 존폐 앞에서 매력이 급감했습니다. 차는 느긋하게 넓게 다양한 옵션을 즐기기에 좋은 차입니다. 지긋한 어르신들 추천드립니다.,4
44,오토뷰는 사랑입니다 ^^,4
45,이번 렉스턴 진짜 멋잇음,1
46,이상한 로고 말고 쌍용로고가 다시 돌아와서 기뻐~,2
47,방향지시등 소리가 특이하네요^^~,5
48,"내가 쌍용을 좋아하고 지금 차도 렉w15년식 끌고 다니지만...  다음부턴 쌍용은 패쓰해야것다. 렉 장점. 정숙하고, 주행질감 좋고 안전하고, 특히 고속에서 안정감이 너무 좋가. 단점 연비, 악셀반응성, 서비스 등 이중 가장 큰건 서비스.",1
49,드디어 이 차가 오토뷰에 올라왔군요!!코리안 지프!!! 쌍용 살아남아주라아아아아,30
50,"전면그릴은 아우디가, 브레이크등은 볼보가 생각나지만, 실내구성은 좋네요",7
51,한겨울에도 반팔 입는 상남자 ㅎㄷㄷ,138
52,오토뷰가 쌍용차 칭찬하는 날이 오네요..ㅋㅋ,28
53,쌍용이 앞으로 좋은 투자를 만나서 현기의 강력한 대항마가 되면 좋겠습니다. 더불어 시대에 맞게 사명변경좀 고민해보면 좋겠습니다..,15
54,Y300렉스턴이 개발됐어야 했는데...하다못해 그 6기통 엔진이라도 있었어야 했는데....노력은 많이 하는데....야속하게도 시장이 너무 빨리 변하네요,43
55,V6가솔린이나 디젤엔진 장착하고나오면 훨씬더잘팔릴텐데ㅜㅜ 디자인정말잘나왔음 가격도착하고,1
56,85점 승차감  블로워 작동 곰팡이제거,5
57,차는 진짜 좋아졌는데... 회사 상황이....,5
58,도로에서 몇 번 봤는데 멋있었습니다,1
59,추천만 하고 못봤던 오토뷰 몰아보기~ 선추천 후감상,2
60,"내외부 디자인요소 요소들이 현대차 느낌이 많이 보이네요, DH 제네시스를 SUV로 만들면 이렇게 나오지 않았을까...",10
61,헤드업 디스플레이만 있으면 완벽 디자인 아주이쁘던데,1
62,근데 실제로 보니까 너무 본닛이랑 뒷 라인 이런게 동글동글해서 별로던데.. 물론 덩치가 엄청 웅장하고 디자인이 예뻐진건 사실입니다,1
63,전작 대비 많이 향상되었네요~,1
64,쌍용 화이팅 !!,1
65,믿고보는 오토뷰,5
66,차 멋지네요 오토뷰. 쌍용차 화이팅입니다,1
67,실물로 보니까 웅장하긴 하더라고요  광고끝까지 봅시당,15
68,성능이 더 나은파워트레인과 트랜스밋션상위 트림 출시 노력이 필요함.이왕 토요타 아이신 적용하는 바에2.7 가솔린엔진도 도입해서 적용하길...현기가 엔진과 트랜스밋션 팔지도 않으니 브레이크도 전자브레이크 시스템으로 바꿔스마트크루져 가능하게,1
69,덩치에 비해 출력이 아쉬운건 어쩔수 없다..,8
70,엔진빼고 상품성은 좋네,4
71,드뎌 올뉴렉스턴 시승기가 올라왔네요. 감사해요 ㅋ,7
72,나는 소망한다. 쌍용이 뉴코란도를 부활 시키기를...,2
73,드디어 렉스턴이 올라왔다  오토뷰 사랑해요,8
74,오토뷰는 관심없는 차량이라도 한번보고가게된다.,2
75,옆으로 좀더 넓었으면 좋았을듯,6
76,회사가 어려우면 차 할인을 좀더 많이 해주나요? 차는 괜찮은거같은데 ㄷㄷ,1
77,닛산같은 회사도 망할까말까이고... fca 푸조도.. 힘들어서 합치는 상황인데.. 쌍용같은 소규모회사는 혼자 살아남기 힘든게현실..ㅠ 아주 큰 회사로 먹히지않는이상..,1
78,디자인팀이 진작에 일을 제대로 했다면...,1
79,쌍용 힘내라~,2
80,18:25 승차감이 펠리세이드보다 좋다고 하셨는데 오토뷰 홈페이지상에 렉스턴은 승차감 별3개 펠리세이드는 별 3.5개 주셨거든요 어떤 차가 승차감이 더 좋은건지 혼란스럽네요,1
81,"올뉴 렉스턴을 보게되는군요.잘보고가지요.20:07 ""강변북로를 달리고 있는데"" 이길은 상기형님의 단골길?",5
82,오토뷰짱^^,1
