,comments,likes
0,신들의 산책으로  유명한 로디우스군요...승차감은 좋다고 합니다,1
1,실내 넘 이쁘네요! 마니 파세요.,1
2,계기판이 가운데 있는게 신기하네요,1
3,좋아요,3
4,아직도 있나요?,1
5,😘판매완료😘언니네중고차 010-8691-2966😘,2
6,차있나요,2
7,팔렸나요,1
8,이차타고 다니면 인싸됨,2
9,로디우스가ㅋㅋㅋㅋㅋ 그게차냐???  쌍용차직원들쌍용차타는사람 한사람도못봤다ㅋㅋㅋ,2
10,몇등급인가요dpf장착되있나요,2
11,공인연비가어떠케되는지유?글구매연저감장치는달려잇능가유?,1
12,목소리가 좀 부드럽게,1
13,4륜인가유,1
14,헐  헐  헐 로디 차주인데요.  절대 사지마세요.,1
15,아 너무 늦게봣네요 이런거 또 올려주세요,1
16,등급?,2
17,난 저딴차 안타,2
18,안녕하세요!! 영상 잘봤습니다~~ 혹시 11인승도 시트가 180도로 접힐까요?,1
19,잘봤습니다~ 중고차 구매하는데  큰 도움이되었네요~,1
20,"로디우스,ᆢ 성능 쥑이더라 ᆢ편의사항 좋았는데,캠핑, 사냥, 낚시, 등등 넘 좋았습니다.요즘 정부탓에 고민들이 많이 될껀데계속 밀어붙이시길ᆢ핫 ~~~ 팅",2
21,새차일때는 190가까이 나왔었음 탄력받아서  2008년식 타고있음현제 지금도 180정도는 나오더라고요 ㅎ 방지턱에서는 하아 ;;;,2
22,안녕하세요. 저는 유정호씨채널에서 온 시청자입니다.1년도 더된영상인데도 불구하고 몇달전에 올라온 댓글에도 하나하나 신경써서 답글을 해주시는것이 넘 좋아보이네요~앞으로도 초심잊지 마시고 계속 이런 좋은마음으로 하시다보면 분명히 성공하실겁니다~!힘내세요!!,4
23,"로디우스 2004,5년 중고는 얼마정도 하나요?",1
24,좋은 영상 감사합니다.,2
25,우리 아빠차는 10년로디우스 인데 기름 갚 장난 아님,4
26,"시내주행, 고속정속주행 연비를 좀 알려주세요~",1
27,도움이 많이 됬습니다. 이거 로디우스 구로디인가요. 뉴로디우스인가요?,1
28,난 로디우스 이쁘던데 못생긴 차 1위에 뽑혔더만.. 보는게 서로 다른가??,1
