,comments,likes
0,시승행사에 당첨되서 몇일 가솔린 모델 타봣는데요.. 잠시 타는동안 정말로 만족하며 탓습니다..쌍용 이미지만 빼고 본다면  개인적으로 디자인도 성능도 너무나 만족했습니다.,33
1,쌍용차에 전혀 관심이 없었는데 오토뷰 리뷰를 보니 생각보다 잘 뽑아낸것 같네요. 항상 잘 보고 갑니다. 오토뷰 아자아자!!,9
2,믿고 보는 오토뷰적어도 한동안 직접 차량을 운용 하면서 만들어지는 완성도 높은 시승기라서 우리나라 독보적 존재라고 생각 합니다.개인적인 바램으로는 실차시험에 사용되는 장비까지 구비하셔서 조금 더 깊이 그리고 정확한 데이터 확보가 가능하다면...... 차량 개발 단계에 컨설팅도 가능하실것 같네요 ^^,2
3,언제봐도 전문적인것에 감탄합니다.😁😄잘보고 갑니다.,36
4,오토뷰 리뷰가 자주 올라오니 삶의 질도 올라갑니다. 감사합니다!! ㅎㅎ,6
5,저 가격에 저옵션이면 진짜 잘나온거 같은데 요즘 현대차들 가격과 비교해보면 가성비갑이네......인테리어도 좋고차리뷰는 오토뷰꺼보고나면 다른채널들은 그냥 장난같아서 이제 이채널만 봅니다 감사합니다~~~,5
6,전문가들이 만드는 리뷰는 정말 다르군요,92
7,많은 리뷰를 보면 꽤 많은 리뷰가 코란도에 만족하는 것을 보여주네요 저는 나름 코란도의 디자인도 무난하니 좋다고 생각하는데 인기가 없는것은 코란도라는 이름의 이미지에 많은 기대를 하고 있는것 같아요 코란도는 나중에 개발될 남성적인 suv로 남겨두고 티볼리를 만들었듯이 새로운 브랜드를 만들었으면 좋았을듯 싶네요 완성도에 비해 판매량이 저조한 아쉬운 차량인듯 합니다...,3
8,2018년 당시 코나 티볼리 qm3 고민했었는데 오토뷰 리뷰를 보고 만족스러운 선택을 했었습니다. 이번 리뷰도 동급모델에서 고민하고 있다면 정말 도움이 될 것 같습니다,2
9,역시 리뷰는 오토뷰네요^^쌍용차 화이팅입니다응원합니다^^좋은 영상 감사합니다^^,19
10,곧 새차량 구입 예정입니다. 제목에 추천이란 말을 잘 사용하지 않는데ㅋㅋ 꼭 영업소에 한번 방문해서 시승해봐야 겠네요. 믿고 보는 오토뷰 응원합니다.,12
11,소비자의 니즈를 정확히 파악하시고 설명 해주시네요 ^^b,2
12,언제나 잘 보고 있습니다. 디젤 보다는 평이 좋은것 같네요^^,3
13,"현기가 독주하는 체제는 우리나라 자동차 시장 발전에 바람직하지 않죠. 쌍용의 분발을 바랍니다. 의사 결정자, 개발자 분들은 오토뷰 시승기를 주의 깊게 보시는 것이 필요하다고 봅니다. 시승기는 오토뷰!!",2
14,코란도c 에서도 많은 분들이 지적하고 아쉬워 했던 2열 에어밴트가 이번모델에도 없다는게 좀 아쉽네요.,12
15,"현시점에서 가성비가 괜찮다고 생각합니다 2300~2400정도에 뽑았을때 셀토스보다도 저렴한데 더 많은 구성을 가지고 갈 수 있는게 코란도의 장점이고.. 조금 아쉬운건현기 용병들이 진짜 있기는 있는모양입니다. 몇몇 기자들도 코란도에 대한 평을 좋게 하는부분도 있었는데 뒷좌석 송풍구 없는것하고 쌍용이라는 이유로 벌써 무덤을 만들어놓았더라고요여론을 벌써 이쁜 쓰레기 중짜 렉스턴 혹은 티볼리로 만들어놓아서 잘안팔리는게 아쉬운모델입니다. 하지만 오토뷰는 정확하게 티볼리는 안좋은차.. 코란도는 승차감 좋은 패밀리 SUV로 평가를 해준것 같네요 앞으로 스포티지, 투싼이 어떤식으로 나올지 모르겠지만 분명히 가격은 인상이 될꺼고 그럴수록 코란도의 매력은 충분히 있다고 생각합니다.",18
16,가솔린 리스펙 코란도 타고 다닙니다. 승차감 나름 좋습니다.  타보면 압니다. 잘산거 같습니다.ㅋㅋ 타보지도 않고 주댕이로 터지 마시고 시승 꼭 하세요. 도로에서 레이싱 하지 않을꺼면 일상적인 주행에서는 아주 만족스럽습니다. 차 조용하고 리스펙에서는 차고가 조금 높아졌는데 승차감 위주로 셋팅 다시한거 같은데 높은 세단처럼 부드럽고 그래요.,16
17,이번엔 진짜 잘해냈다. 현기차 잘 따라잡고 있는건 사실인데 부진한건 브랜드 이미지 때문인가?.. 이정도면 전혀 발리지 않을듯,17
18,"쌍용차가 발전한다면 현대, 기아차가 마냥 방심할 순 없겠죠. 경쟁을 통한 시너지로 국내 자동차 산업이 발전했으면 좋겠습니다.",29
19,차가 QM6 정도 크기에 뒷자석 송풍구만 있었어도 지금보다 훨씬 잘팔렸을 텐데 아쉽네요. 차 자체는 좋더라구요.,4
20,쌍용화이팅!! 티볼리 같은 붐이 성능적인 면으로 한 번 터졌으면 좋겠네요,6
21,우리 김피디님 깨알같은 개그 때문에 더 즐겁게 잘 보고 있어요:),2
22,디자인이 개인적으로 맘에듭니다.,4
23,일관성 있게 밀린다 ㅋㅋㅋㅋㅋㅋㅋ역시 오토뷰의 표현이 정말 유쾌해서 좋습니다.,5
24,"감사히 잘 봤습니다, 역시 리뷰는 김피디님의오토뷰!",2
25,끝내주는 쌍용의 제동성능ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아 터집니다,6
26,1.5T에 출력 토크 잘 뽑았네  디젤  5년째 타보니깐  카본땜에  출력 저하되서 스트레스 존나 쌓이는데  역시  가솔린이 좋다고 생각됨   쌍용이라  좀 불안한거만 아니면 차살때 저거 사고싶음,12
27,역시 최고  👍 좋은 영상 항상 감사 드립니다,4
28,이 코란도 정말 좋은데;;   현기처럼  결함있는 엔진도 아니고  아이신이라 내구성이 좋은 변속기  디자인도 무난하고  게다가 가격도 싸다!?,3
29,쌍용차가 많이 발전하긴 했나봐요....,5
30,눈뽕티지 쉽...헐..근데 이렇게 선택지가 넓어짐에따라 기업간에 서로 경쟁을 하면서 소비자는 더욱 좋은 차를 탈수 있겠죠 ㅎㅎ 쌍용도이제 숙제를 잘 해 오나 보네요,8
31,리뷰는 역시 오토뷰. 최고의 리뷰!!,1
32,진짜 진짜 자동차 전문 리뷰 오토뷰!!!,1
33,마지막 멘트에서 빵터졌습니다ㅋㅋ그냥 지나칠뻔 했네요관심차종인데 잘 보고 갑니다,4
34,"트렁크 공간을 20cm만 늘렸어도, 훨씬 많이 팔렸을텐데.....^^",3
35,저는 오늘 코란도 가솔린1.5 터보 계약했는데 너무 기대되네요 차가 빨리 나오면 좋겠습니다.,8
36,동급대비 디자인이 제일 좋은듯,9
37,믿고 보는 오토뷰!!!!!!!!,36
38,헐....오토뷰에서 쌍용을 칭찬을 했어 ㄷㄷㄷㄷ,6
39,솔직히 코란도 잘만든차인데 왜 안팔리냐........,8
40,B세그먼트 차량이 상품성을 좋게만들다보니 C세그먼트 차량들이 솔직히 소외받는 현재 자동차 시장같네요!,2
41,19년형 QM6 vs 19년형 코란도 너무 고민되네요,6
42,가성비 좋아보이네요.,19
43,투싼이나 스포티지중 좀 고민했었는데 코란도도 함 봐야것네요.,1
