,comments,likes
0,오타 정정 하겠습니다인트로 부분 이 영상을 받치며→ 이 영상을 바치며 로 수정하겠습니다죄송합니다,76
1,노보스형님 설명은 차알못이 들어도 좋아요 진짜 차바꿀때 형님 영상보고 정하고 있습니다 앞으로도 좋은영상 부탁드려요,3
2,Wow~ 아우디의 역습이네요.Q8뿐만 아니라 SQ8도 눈여겨 보고 있었는데 어느정도 감이 왔습니다. 좋은 영상 감사합니다.,12
3,뭐지? 아우디가 그뤠잇??주행과 부분적 설명까지..이해가 쏙쏙!!Q8의 진화? 변화?여튼 신의 한 수인듯!!,9
4,이트론부터 q8까지 같은 플랫폼차량들은 다 칭찬이네요 굿굿,7
5,노사장님이 이리 아우디 좋다고 해주는건 리뷰사상 처음으로 보네요.. suv 아우디 있어도 되겟네요.. 진정 사고 싶다.,4
6,"45tdi도 리뷰 한번 부탁드려요, 50tdi랑 비교해서 어.... 생각보다 괜찮던데고속에서 자세 낮게 잡아 주는거 말고 에어서스가 그닥 드라마틱하게 승차감에 영향을 주지 않는게 맞는건지 궁금해요 노사장님~ 더불어 터보랙도 한번 확인 부탁드립니다. 확실히 한 숨 쉬고 달리던데 ㅠ_ㅠ",2
7,영상 잘보았습니다~~~디젤이  이정도 칭찬이라면 rs q8은 얼마나 대단할까여....아우디 rs  q8  과  벤츠 gle amg  63 s이두차량의 비교 궁금하네여...정보 좀 부탁드립니다~~^,2
8,노사장님 영상 잘보고있습니다코로나 조심하시고 활동잘해주세요,3
9,아 q8 당장사고싶네요 인테리어 진짜맘에들었는데 성능까지 쩔어준다니,10
10,저랑같은 느낌울 리뷰하네요전반적 세단과 비슷한 주행감입니다연비외는 전혀 후회할거없는 차이네요,1
11,노사장님이 q8해주는거보고파서 여태참음요!!!SQ8이나 RSQ8도  기회되면꼭..!!!!,25
12,노사장님이 또 지리게 리뷰하셨네요사지가 후달달 떨립니다 역시q8장거리운행 느낌도 궁금허네요시종일관 좋겠죠? 저도 타보고싶네요발기찬하루 되십쇼,6
13,노사장님 이번에 벤츠에서 E바디 컨트롤이 그렇게 좋다던데 나중에 그거 적용된차 협찬들어오면 그거랑도 비교해주세요,1
14,믿고보는 노사장님 리뷰! 대한민국 no.1 ! 노사장이 최고야~~,1
15,항상 뭔가 아쉬웠던 아우디였는데 대박이네요!,14
16,노사장님 찐 리뷰 항상 잘보고있습니다,3
17,드뎌~ 아우디가 환골탈태를?😱  그동안 포르쉐 팀에 가서 외계인 렌트 해 달라고 '쪼쪼쪼쪼~옴' 조아렸나 보군요. ㅋㅋㅋ 이 추위에 또 나가있음 어짜나 싶었는데 다행이네요. 노사장님의 쫀득한 리뷰 잘 보았습니다. 👍,4
18,"말로만 좋다, 쩐다 묘사하는게 아니라 말한 내용을 엔진룸, 하체 까면서예전부터 꾸준히 해왔던 그 방식 그대로 좋은 이유를 설명해 주니 반박과 의심을 못하겠다..노사장님이 좋다면 그냥 좋은거..X5 사지 말고 기다릴걸.. 아, 5년이나 탔구나..ㅎ",2
