,comments,likes
0,와 구독자 16만명 돌파했네요 경축~~ 솔직히 요즘 별 시덥지도 않은 자동차 리뷰들이 몇십만씩 넘는거 보면 오토뷰는 이미 백만은 넘어야 정상일 거 같은데 곧 그런날이 오겠죠? ㅎㅎㅎ,94
1,진짜 아는 사람은 다 아는 시승기계의 사골 오토뷰 ㅋㅋㅋ 가끔 인트로로 광고도 찍어주고 편견없이 깔껀까고 칭찬할건 해주는 최고의 채널 ㅇㅈ??,89
2,지금까지 봤던 A6 중에서는 가장 자세하고 객관적인 리뷰라 잘 봤습니다!,2
3,"수치화 된 자료를 토대로 객관적인 리뷰를 하는 갓토뷰는 영어자막을 통해 세계로 널리 알려야합니다 !!구독자 100만 채널 퀄리티입니다 !!한정적인 주제와 자극적이지 않게 객관적 정보를 전달하는 것이 구독자 떡상을 기대할 수는 없겠지만 꾸준하게 한 길만 걷다보면 언젠가는 국민리뷰채널이 될 것입니다 ㅎ김기태 기자님, 김선웅 기자님, 오토뷰 모든 스탭분들 화이팅입니다 ㅎㅎ",120
4,타이어폭이 소형차급이라 굉장히 승차감 모드네요 그래서 정숙성이 좋은거였군,3
5,자동차 리뷰가 정말 깔끔해서 보기 좋습니다 :),2
6,수많은 자동차리뷰봤지만 오토뷰 리뷰해주시는분 너무좋아요ㅋ특유의 혼자만진지한컨셉ㅋㅋㅋ,3
7,역시 대한민국 대표 자동차 리뷰채널임을 느낍니다~~,1
8,리뷰가 너무 고급지고  전문적 이며  이해하기 쉽게  잘  설영해 주셔서  차량구입에 많은 도움이  되었습니다   수고하세요,1
9,"콰트로에 저정도 출력 얼마나 손에 감길지~ 아~  기대되네요~ 가성비도 좋고, 기계적인 느낌 타 본 사람만 알죠. 콰트로4륜 제동력이 더 좋으면 좋죠. 연비 대박~~",2
10,차량구입예정이라면 무조건봐야하는 오토뷰시승기,25
11,"믿고보는 영상미~~!!!우리나라 자동차 리뷰중 영상퀄러티는 단연 최고~~~오토기어의 자동차 지식, 카가이 아재라이드의 인테리어 설명과 더불어 오토뷰의 영상미 !!!!!!대박입니다",6
12,영상 화질. 객관적인 수치화. 모든게 전문성이 있어보이는 채널이네요 구독누르고 가요 ~,2
13,진짜 오토뷰는 유튜브통해 세계로 뻗어 나가길,1
14,"와 리뷰 퀄리티 쥑이네,,,, 영상퀄리티 설명까지... 굳굳",16
15,오토뷰 같이 담백한 채널이 많아야 하는데..응원합니다.,1
16,역시 오토뷰만큼 세세한 리뷰 못찾겠네요젤 맘에 드는건 소리 감성리뷰 입니다 ㅋㅋ,1
17,개인적인 생각으로 기자님 이미지와 가장 잘 어울리는 브랜드가 아우디같습니다 ㅎㅎ 항상 좋은 리뷰 감사드립니다,1
18,저도 59번 마을버스에서 중국전차의 느낌을 받고 있습니다. 비록 중국전차는 타 보지 못했지만요. a6의 디자인을 보면 모든 디자인이 90점 이상으로 수석합격 인 줄 알았는데 휠 하나 55점 과락 인 것 같습니다.,1
19,오토뷰. 정확하고 세련된 국내 최고의 카리뷰죠.!! 믿습니다.,45
20,이번 A6가 상당히 경쟁력있게 나왔네요아우디답게 할인만 많이 해주면 잘팔릴듯,4
21,오토뷰는 오로지 수치와 정확한 팩트기반으로 히스토리및 하이테크놀로지까지 설명해줘서 너무나 좋습니다  17년식 530i msp 엠서스 빠진 시승기말고2020 엠서스들어간 530i msp 부탁드립니다,7
22,정말 업뎃 늦는거 빼곤 최고의 채널. 가장 중심에 가까이 있는듯,5
23,제가 타고 있는 차종을 어찌 리뷰 해주실지 매일 기대하면서 기다렸는데 이제 볼수 있다니 너무 행복하네요 ! 감사합니다 !,4
24,역시 믿고보는 오토뷰입니다! A6가 생각보다는 좀... ^^ 여튼 감사합니다!,1
