,comments,likes
0,재규어 분명 과도기이긴 하지만 발전하고 있는건 사실이네요. 타타의 자본에영국의 아이덴티티를 더하니 무척이나 매력적인건 사실입니다,2
1,이런저런 이유로 테슬라가 꺼려지고 기존 자동차 제조사의 전기차를 원하신다면 좋은 선택일 듯 하네요. 다만 역시 가격은 1억이 넘을테니 가격적인 진입장벽은 테슬라 모델 S나 X만큼 높을 듯하네요.최근 개인적으로 높은 관심이 있는 차량인데 좋은 리뷰 감사드립니다. :),5
2,"전기차가 이 정도 레벨까지 왔다는 것은 정말 충격이네요,,,내연기관 전문가만으로 구성된 현기차 임원들은 이런 전기차 시대가 늦게 오기만을 기대할텐데,,,,이럴 땐 오너경영의 장점을 살려 과감하게 사업방향을 변환해야 하지 않을까요?",2
3,드라이브 모드로 가속이 되다니 놀라워..,1
4,모델X를 사는게 좋겠네요 공간이 ㄷㄷ EV 트렌드 코리아에서 앉아봤는데 그리고 재조사 발표 수치에 따르면 모델X가 더 빠르네요(P100D 기준) 가격은 아이 페이스가 더 싸지만 ㅋㅋ,4
5,역시 모그가 시승기 뽤라요 매일 볼께요!!!,1
6,촬영 진짜 멋있게 잘하셨네요👍👍,2
7,항상 잘 보고 있어요 파이팅!!,1
8,햐.. 진짜 잘만들어 졋다는게 느껴지네요 덜덜,2
9,보면볼수록 정말 매력적인 차인거 같네영,5
10,와 가속소리 너무좋다 ㄷㄷ,4
11,전기차보고 소유하고 싶다는 생각을 처음하게 만드네요. 근데 가격이.... ㅎㅎ,1
12,차 크기가 좀 애매하네요 ㅋㅋ 좀만 더 길었으면 최고였을건데... 암튼 엄청 이쁘네요,3
13,정말 말도 안되는 파노라마 썬루프네요 멋있어요,1
14,여윽시 김한용 기자님이셔,1
15,이걸보고 현기도 이렇게 만들면 좋겠는데,1
16,중간 중간에 제조사 영상 쓴게 아니라면 영상 퀄리티가 엄청 높아졌네요. 거의 커머셜 영상 수준ㄷㄷㄷ,6
17,재규어 랜드로버만  디자인  이쁜데  이상하게  마음이 와닿지가 않는단말이죠,1
18,전자에어서스펜션 없는 깡통트림도 승차감 무리 없나보군요,1
19,멋지네요. 시승기보단 즐기는듯한.. ㅋㅋ,2
20,재규어가 처음으로 잘만든차... (내연기관 아닌 전기차여서),2
21,가격빼곤 다 좋네요,1
22,진짜 멋지세용,1
23,영상 재미있게 잘 봤스니다~!,1
24,전기차시대가 오는구나,2
25,국내 출시 티구안 4모션 시승 부탁드립니다!!!,1
26,저 손잡이 들어가는 디자인... 유사시에 어떨지... 문짝 못열어서 호롤롤로 되는건 아니겠죠?,6
27,오! 디자인 이쁘다.,1
28,전기타 오르막에서 멈췃다가 출발하몀 뒤러밀리거나 좀 굼뜨지 않나요? 그래서 멈추지말고 올라가라 그런거같기도하고 ㅋㅋㅋ,1
29,사고싶어지는 전기차.,1
30,와...신규영상이네용ㅇㅇ 풍경 최고 멋집니다,5
31,요즘 모그 영상미 물올랐네여 ㄷㄷ 편집담당분이 바뀌셨나여 좋아요 ㅎㅎ,4
32,아하!! 지난 1주전 출장 언급하신 것이었네요. 고생하셨습니다.,1
33,모터그래프는 혼자서도 리뷰를 잘하는 통통tv 서영님을 영입하라!!,1
34,오  좋아보인다 가격이ㄷㄷㄷ,1
35,우앙 영상 퀄리티 구웃,1
36,오 순위권... 항상 잘보고있습니다,2
37,와우..탐나네요,1
38,내연기관의 종말이 다가온다,2
