,comments,likes
0,시승기 재밌게 봤습니다.2002년 군생활할때 구독했던 모터트렌드란 자동차잡지에서 처음 봤던 재규어s-type 이네요.실물로 처음 봤을때 차가 정말 우아하고 아름답단 기억은 지금도 잊을수가 없습니다.영국 차량 특유의 감성은 요즘의 재규어 차량보다 더짙은듯 합니다!,4
1,s타입은 언제 봐도 미친 디자인입니다ㅜㅜ색상도 정말 이쁘네요 정마담님 리뷰 담백하고 엘레강스함이...가을에 어울리는 리뷰 잘 봤습니다,2
2,이번에야 말로 정마담의 모습과 가장 어울리는 차였다...,38
3,이번엔 장소가 깔끔해서 집중도되고 안정감들어  좋네요.. 어수선한 곳에서 찍지마세요. 마이너스입니다.  멋진 재규어 잘봤습니다.,2
4,진짜 명품이라는 말은 이 차에 어울리는 듯...세월이 지나도 가치가 훌륭한 차량이네요,2
5,엄청 고급스러워 보이네요 디자인이..현재의 재규어 보다 더 멋있는것 같아요..,3
6,무엇보다도 색감이 너무 좋음. 차량과 의상이 딱이네요 ㄷㄷㄷ,2
7,새월이 지나도 오래된 차라기 보단클래식해 보입니다.저는 xj도 그렇고 전세대 모댈들이클래식하면서 맘에 드네요 ㅎ,2
8,지금 보고 놀랐습니다~ㅋㅋ 리뷰하신 디젤 S타입을 최근에 구매해서 지금 제가 타고있네요 ㅋㅋㅋ 이미 이때부터 천장 처짐이 있었군요~ 화면으로 만나게 되니 더욱 만족스럽습니다~~ 항상 리뷰 재미있게 보고 있습니다,3
9,유트브 리뷰중에서 가장 좋습니다^^*목소리도 너무 좋으시고...짱입니다.,3
10,고풍스러운 분위기가 정마담님이랑 잘 어울리시네요 ㅎㅎ 항상 잘 보고 있습니다!,3
11,내부는 제 취향이 아니지만 외관은 로맨틱하다는 말씀에 적극 공감합니다 ㅎ 색감이 너무 이쁘네요~ 주행하실때 승차감이나 핸들 부드럽게 돌아가는게 영상에서도 고스란히 느껴져요.안에 센터페시아 조작은 터치인가요?오늘도 정마담님 리뷰 잘보고 갑니다^^,3
12,06년 대학생때 진짜 드림카이었는데...리뷰해주셔서 감사합니다.,5
13,"정마담님, 리뷰에 풍미가 있으세요!!XF R-S를 소유하고 있는데요이 영상 보고나서 S-Type 2.7D 물색중 입니다^^ 깔끔한 놈 데려와서잘 관리해주고 싶네요~",2
14,정마담님 날이갈수록 정말 차량과 장소 정마담님 패션피플이 멋져요귀에 쏙쏙들어옵니다다음에도 어떤차량일지 기대가 되요,2
15,곡선의미는 진심 최고인듯한 차량이죠 저시대의 재규어는 멋집니다 잘봤습니다,2
16,영상 잘 봤습니다.재규어...매력적인 차죠.^^좋은 영상 잘 보고 갑니다.다음 영상도 기대됩니다.,2
17,초반 등장하시는 모습 항상 멋집니다. ^^저희 작은 아버지 차량이랑 같은 모델에 같은 색상이네요.캠브릿지 나오셔서 영국차만 타시는...나름 부자이신데 이 차 지금도 타시더군요.,1
18,오늘 멋좀 내셨습니다?ㅎㅎ역시 차리뷰는 정마담님꺼죠꾸준히 잘 보고 있습니다,2
19,이렇게 좋은 리뷰채널을 대사우TV님은 왜이리 늦게 소개해주셨는지 원망스럽네요 ㅎㅎㅎ 하긴 13년간 잘 운영하던 맛집카페와 블로그에서 듣보잡 유튜브시작한다고 한달전 발표하게 영향준게 이 채널이군요 ㅋㅋ,2
20,"구형 재규어들 엄청 우아하고, 국산 오피루스도 엄청 우아하죠. 하지만 오피루스의 카피 수식어는 참 아쉽네요ㅠ",5
21,재규어는 보지도 타지도 말라던 사람들이 많았는데 대리만족합니당 너무이쁘네요,2
22,자동차 관련 유튜버 중 설명은 정마담님이 가장 잘하시는것 같아요 ^^~,2
