,comments,likes
0,잘 봤습니다^^ 크라이슬러 차량 중에 매력있는 녀석들이 참 많은 것 같아요. 우리나라에서 철수해서 참 아쉽네요,2
1,현재 북미판매 1위 미니밴이던데요! 오딧세이나 시에나를 판매량에서 앞서는거 보면 정말 경쟁력 있나보네요!! 자봤습니다.,2
2,와 정말 좋네요 카니발은 현재 타고 있는데 퍼시픽카가 10배 더 실용성 있고 좋은듯 하네요 ^^,2
3,서스가 단단해서 살알짝 독일차 느낌이 실제로 납니다.  저는 2021 하이브리드 만불 디씨로 나온거 샀는데 만족합니다. 2020년보다 훨씬 좋습니다.,2
4,캘리포니아 사는 2017년식 퍼시피카 오너입니다저어얼대 후회안합니다 ㅎㅎ다시 밴을 사라고해도 저는 퍼시피카입미다.2열 넣는 활용성은...어마어마합니다엔진도 짱짱하고요 ㅎㅎ근데 미션이좀 너어어어무 연비세팅이라좀 답답하지만 힘이없는건 아니라 만족하며 타고있습니다 ㅎㅎ,2
5,액티브 크루즈 컨트롤은 네비게이션을 넣어야만 가능한가요?아니면 네비없이 그냥 10.1 인포테인먼트 모니터만 넣어도 가능한가요?,1
6,우리나라에도 수입되면 진짜 좋을듯합니다.,2
7,크라이슬러 브랜드는 다 말아먹고 퍼시피카라도  멱살캐리하네ㅠㅠ,1
8,5인이 편안하게 탈 수 있는 가솔린 하이브리드 차량 보고있는데 이차량 넘 멋지네요~,1
9,크라이슬러차들 엔진힘을 좋아하는 매니아분들은 많은데. 개인적으로 외관이랑 실내디자인에 이쁘게 신경 써주면 좋을텐데요.ㅋㅋㅋ,1
10,이번엔 주행할때 표정이 너무 좋으시네요^^;  어떤 느낌일지 궁금합니다~ 가격이 있는 만큼 실내가 고급스러워보이네요. 오늘도 좋은 리뷰 잘 보고 갑니다.,1
11,"아,,,  사고싶다사고싶다,,,  카니발,,,튜닝비용 개비쌈,,,,  퍼시픽카사고싶다~~~~퍼시픽카 가 크라이슬러 보이저 맞죠?",2
12,이게 크라이슬러의 마지막 희망이군요... 소문이 자자하던데,2
13,현제 한국에서 1억2천 달라하는데 사야할지 이차가 정말 마음에 드는데....,1
14,수고많으시고 건승하십시오~,2
15,지금 시에나를 가족용으로타는데 저차들어오면 바로사고싶네요.,2
16,2열 폴딩하는 영상이 없네요 2 3열 폴딩하면 완전 차박가능,4
17,으아  진짜 다보고 싶네용...,2
18,참 관심있는 차였는데 남편이 패밀리 밴은 죽어도 타기싫다함 ㅜㅜ,2
19,4륜인가요 예전에 2세대인가 4륜였나,1
20,시트 밑으로 내려가는거..한국에서도 유명합니다근데 크라이슬러..제조사가 ...쩝,1
21,잘봤어요,1
22,오딧세이 리뷰부탁드립니다,1
23,시에나  하이브리드  리뷰좀  부탁드려요퍼시피카는  국내출시가  안되서요시에나는 4월에  런칭 이던데궁금합니다,3
24,오~~~~~표정을보니 ㅎㅎㅎㅎㅎㅎ♥♥♥♥♥♥♥♥,1
25,미국은 아직도 블루레이 보나보죠?  유튭 시청하게 연결해 주시지?,1
