,comments,likes
0,"오토뷰팀이 로드테스트 영상 내에서 지적한 머스탱 GT의 스트라이프에 대해 포드 측은 런칭쇼를 위해 임의적으로 부착한 것일 뿐, 시판되는 차량에는 스트라이프 작업이 이뤄지지 않는다고 밝혔습니다.",133
1,자동차시승기를 보는 분들이라면 오토뷰는 기본으로 구독해줍시다.. 지금의 다양한 리뷰어들이 탄생하기까지 시장을 개척한 선구자급임.. 오토뷰 김기태기자 동영상 리뷰 본지가 10년 넘었다... 진짜 이런곳이 보상 받아야 된다..,31
2,여러 리뷰 매체가 있는데 오토뷰가 가장 자리를 제대로 잡아간다고 봅니다. 화이팅하세요.,13
3,차량 성능의 100퍼센트를 느끼기위해 에어컨도 안키고 땀흘리며 운전하는 모습이 멋집니다!,9
4,"요즘 핫한 차들을 연달아 올려주셔서 즐겁네요. 산길 와인딩 장면도 정말 좋고, 짜임새 있는 구성도 참 좋습니다.  감사한 마음으로 잘 보고 갑니다.^^",1
5,정확하게 수치로 나오는 리뷰 대단하네요. 자동차 파악하기에 제일좋은 채널이라고 생각합니다.,1
6,오늘도 잘 보고 갑니다! (이제 슬슬 차도 사람도 열과 싸워야하는 계절이 다가온건지...땀을 많이 흘리며 리뷰하시는 김기태pd님 안쓰럽습니다.ㅜㅜ)오토뷰 화이팅!,35
7,"오토뷰가 정말 훌륭한 이유는 오랜 시간 축적된 data와 경험, 하나의 문화로서 소비자가 현실적으로 접할 수 있는 여러 자동차를 소개한다는 점 입니다. 이런 훌륭한 매체를 접할 수 있는 것은 우리에게 행운입니다. 고마워요 오토뷰",41
8,"김선웅 기자님 설명 너무 좋습니다. 이해 잘 되고, 또릿 또릿한 설명 넘 좋네요.",5
9,김기태 피디님 리뷰만 10년 정도 시청한거 같아요. 진보되면서도 보수적인 느낌의 리뷰랄까요?항상 화이팅하고 번창 하세요!,3
10,좋은 정보 잘 봤습니다. 염두에 두고 있는 차종인데 너무 친절하게 설명 잘 해주셨네요!,1
11,"기존모델의경우. 카마로ss에비해서 출력도 낮고, 하체도 헐겁다는 평가가 많았는데 이번에 페리모델은 출력상승,10단미션,가변배기,mrc,추가로인해  또 판도가 바뀌겠네요. 추후 신형카마로도 기대됩니다.",22
12,이차는 역사가 깊어서... 5년무상으로 살만합니다. 솔직히 간지나죠 가격그런걸 알건모르건 예쁩니다. 인식도 괜찮은편,22
13,머스탱 카마로 미국차 존멋탱 ㅎㅎ카마로 페이스리프트도 10단 변속기 적용되니리뷰 기대합니다,32
