,comments,likes
0,이런 사이즈의 차는 가족구성원의 승차감이나 편의성도 주요하게 따져봐야할거 같습니다.그러니 2열 3열 승차감 리뷰도 있으면 좋을거 같아요.,3
1,자동차리뷰  유튜버중 김한용씨가 제일 자연스럽고 보기가 편합니다.^^편안하게 잘봤습니다 ~,8
2,둘의 합이 잘 맞아서 너무 보기 좋아요♡,5
3,f150 기반으로 만든 SUV라 ㅋㅋㅋ 한국에 과연 이게 맞을까라는 생각을 많이 했는데 이제 출시 했네요... 엑스페디션 정도 돼야 풀사이즈 SUV라고 불르죠... 펠리세이드는 미드사이즈. 트레일러 브레이크 감도 조절하는걸텐데요 ㅋㅋㅋㅋ 무거운 트레일러에는 브레이크가 법적으로 달려 나와야 하니 차랑 트레일러 브레이크 싱크로나이즈 시키는거일겁니다. 그리고 시승차는 그냥 엑스페디션 이네요.... 맥스 버젼도 있어요. 트렁크가 더 커요,1
4,편집장님 마인드 대박 ㅋㅋㅋㅋ 꽉 막혔으면 이런 분위기가 안나는데 ㅋㅋㅋㅋㅋㅋ,33
5,진짜 주차공간 되고 세컨카 유지능력 되면 사고싶다..펠리세이드 타는데 진짜 저거 옆에 세우니 투싼이 되버리네,2
6,4:20 트레일러 브레이크 감도 조절 및 트레일러 메뉴얼 브레이크 입니다. 주행중 미끄러지거나 sway 현상 생길때 트레일러 잡아주는 거에요.12:30 트레일러 끌며 내리막길 내려갈때 브레이크 과열 되는거 막으려고 수동 변속 자주 씁니다.,7
7,모카 영상 자주올려주셔서 감사합니다 막내작가님도 자주 나와주세요 ㅎㅎ 분위기가 달라지네요 ㅎㅎ,4
8,파이브 헌드레드가 생각나는 외관이네요.다 맘에 드는데 네비가 너무 올드 해보이는게좀 아쉽네요. 도로에서 존재감 하나 만큼은굉장할 것 같습니다!,1
9,차가 크면 좋긴한데 한국에선 주차랑 골목길 운전은 힘들겠네요ㅠㅠ,5
10,확실히 대형 차량이라면 5m를 넘겨줘야 그래도 좀 낫죠프레임 바디는 아무래도 큰 차체를 유지하는데 최적이기는 하죠,1
11,왠지 모그에서 한용편집장님이 나와서 모카로 대성한것처럼 작가님의 작카도 편집장님 노하우 익혀 왠지 몇년 후 따로 독립할거 같은 예감이 드네요 ㅎㅎ,23
12,차...크기부터압도된다...지렸다...,2
13,F150의 SUV 버전이라 생각하면 편하겠군요 ㅎㅎㅎㅎ 펠리가 투싼이 되는 마법,1
14,요즘 차들이 워낙 비싸니까 저 사이즈가 8천이면 살만하네라는 생각이드네 ㄷㄷ,4
15,"ㅋㅋ 개그가 난무하는 모카영상, 약빨고 만드는 자막과 편집...볼때마다 좋네요 ㅋㅋㅋㅋㅋ",3
16,와 이거 며칠전부터 울 집앞에 있길래원래 있던차인줄 알았는데새로 나온거구나 신기허네지나다니면서 차 줄랭크다 생각했는데,1
17,링컨포드 정말좋아하는데 익스페디션 실내는 정말  올드 끝판왕같네요 ㅠ 쪼매변화를 주면 더 인기가만았을텐데,1
18,막내작가님 귀엽고 역시 촬영할때 엄청 신나게 하시는것 같아유~^^,3
19,우와~ 요즘 날씨 일교차도 큰데.. 좋은 정보 감사합니다,1
20,외관은 정말 압도적으로 이쁘네요 크고 웅장하고... 근데 실내 인테리어는 정말...ㅋㅋㅋ 하... 구매 욕구 싹 사라집니다,1
21,박선영의 모카는 못참지 ㄹㅇ ㅋㅋ,8
22,"뭔가 거대하네요 ㅎㅎ 내부가 엄청 넓직하게 보이기도 하고요 아! 그리고, 대각선 주차는 호주에도 있습니다 ㅎㅎ",1
23,차분하고 정선된 영상 잘 보았습니다. 굿~!,1
24,펠리세이드가 작은 차가 아닌데 ㄷㄷㄷ,1
25,이제 한용이형님은 디아2로 떠나시고 사실상 박선영의 작카의 시대가 온 것인가? 구독하러갑니다아,3
26,리뷰가 너무 좋아요~,1
27,다좋은데 전방 깜박이 위치랑 측면 깜박이 없는게 단점이네요 상대가 깜박이 인식 못하는 사각지대가 많을거 같네요,1
28,포드 옵션 역시 좋아익스페디션 사고 싶다짱좋네,3
29,영상 잘 봤습니다 사고 싶은 차네요^^마지막 쿠키영상 속 모카님 운전중 통화장면은 편집하심이 좋을듯요;,1
30,와 햄버거집 아이디어 참신하네요 bb 김한용님 앞으로도 좋은 리뷰들 많이많이 부탁드립니다~~,1
31,익스페디션 멋지다...ㄷㄷ,5
32,차가 얼마나 큰지 22인치 타이거가 안커보이네 ㅎㄷㄷ,1
33,19:15  테헤란로 삼성역 사거리  주행하는  모습   보기 좋습니다.,1
34,좋은차 멋진차 보단 매력적인 자동차인듯..,2
35,미국 현지에서 익스페디션을 봤을때 무척 반했는데 국내에서 볼까 싶었는데 보네.....물론 돈은 없지만,1
36,타고 나가면 존재감은 확실함,1
37,펠리세이드는 준대형 포드 익스페디션은 대형이니까 당연히 더 크겠죠...,1
38,모카가 드디어 막내작가님이 썸네일에 있으면 조회수 잘 나온다는 사실을 안 것 같다 ㅋㅋ,7
39,차 겁나 잘 만들었네요,3
40,요즘 모카 막내작가님 볼려고 일단 클릭하네요!! 계속 나와주세용,1
41,18:16 가장 하고싶은 말이었습니다. 이부분만 해결되면 굉장히 사고싶은 차가 될겁니다,2
42,주차 힘드러용 적당히 커야죠 !!,1
43,막내작카님은..사랑입니다♡ ㅎㅎㅎ모카의영원한치트키!! ㅋㅋㅋ,2
44,역시 미국차! 거대합니다.,1
45,캐딜락 과 비교영상이 필요할듯요,1
46,펠리세이드도 볼 때마다 크다고 생각하는데 ㄷㄷ,11
47,포드 익스페디션 최고급 가져온거 좋은데 그냥 기본 트림 가져와서 카니발 겨냥하면 좋았을텐데 익스페디션 8000만원이면 비싼거 같아요.,1
48,차 필요없고 막내작가 보러왔다아~~~모카는 1일 1선영을 허하라!!,1
49,저큰차 연비가 두자리수에 저가격이면 괜찮네요.,2
50,막내작가님은 촬영에 임하는 태도가 좋은 것 같아요. 성실해보임. 그러므로 더 찍어주세요. 근데 감한용 사장님 자꾸 서영씨을 찾으시는데 차봤서영님이랑 헷갈리시는 건가.,81
51,와 익스플로러도 좁은길 빡세던데,1
52,역시 이쁘네요!포드,1
53,우리나라에서 다목적으로 편하게 탈 수 있는 차량크기는 싼타페 쏘렌토까지가 마지노선..,1
54,좁은 나라에 도로폭도 좁고 주차장도 좁고 무엇보다 미세먼지 강국에서 차만 계속해서 커져가니 진짜 답이 없구나.,1
55,외부 익스테리어는 인정! 내부는 트럭 수준! 승차감은 버스 정도더라.,2
56,다음은 쉐보레 서버번 보고싶습니다!,1
57,역시 재고 처리라 그런가 실내가 너무 옛스럽네요...페이스리프트 모델 기대해봅니다~,1
58,가족이있는 캠퍼로써 정말가지고싶은차  근대 실내갬성이 너무빈티지인거만 빼면 정말좋은,1
59,저 차가 제로백 5초대... 라는게 신기하다..,1
60,"노래 선곡 오늘 미쳤다리,,,, 뉴욕느낌 뿜뿜이라서 더 미국차스럽네요!!! 선곡센스에 취하구 지나갑니다!!:) 작카화이팅!",1
61,포드 익스페디션 앞부분이 포드 파이브 헌드레드를 진인짜 약간 닮은 느낌이다,1
62,너무과격해서 좋다,1
63,"아우디 Q7 4.2fsi 타다가 일주일전에 익스페디션을 출고한 차주입니다. 현금가로 8240만원인데 딜러분 할인에 신차패키지 혜택에 범퍼 ppf 까지 받은 것을 포함하면 약 7800만원에 차를 산 것 같네요. 일주일동안 에코 모드로 주행해본 결과 복합연비는 11.2km로 큐세븐의 두배 정도 되는 연비가 나와 아주 만족스럽습니다. 가장 좋은 점은 차를 타고 저속에서 출발할때 쿠우우웅 하는 아주 좋은 배기음이 발생하는데 이 소리에 중독된 것 같아요. 조용하지만 중후한 느낌이 많이 들고 2열에 사람을 태우고 장거리를 많이 다니는데 2열에 탄 사람들이 한결같이 하는 말이 너무 넓고 공간이 쾌적해서 회장님이 된 것 같다고 말하더군요. 아무렇게나 다리를 꼬우거나 쭉 뻗어도 걸리는것이 없습니다. 패밀리카로 정말 좋습니다. 기사 댓글들에 보면 뭐 주차문제 실내 인테리어 등 단점들만 부각시켜 얘기하길래 솔직히 기대도 안하고 시승했는데 이 차는 시승을 해보면 바로 반할거라 생각드네요. 실내 인테리어의 단점을 박살낼 정도의 주행 컨디션이라 판단되고 독3사가 최고라 말하지만 미국차 다시 한번 생각해보셔도 나쁘지 않다 봅니다. 이 가격에 이 풀사이즈 suv 차량을 갖는것만으로도 좋은데 주행성능, 견인력, 쾌적한 실내공간에, 완벽한 3열 공간 충족으로 더할나위 없는 패밀리카라 봅니다. 주차는 어라운드뷰도 있고 360도 충돌 센서가 상시 작동중이라 주차하시는데 큰 어려움 없다 생각합니다. 실내 인테리어로 무시하기엔 가성비나 주행성능이 너무 좋은 차량이라 시승 한번 해보고 생각해보시리고 실 후기 남겨봅니다. 타호랑 네비게이터 익스페디션 고민하다가 익스로 넘어왔는데 잘했다 생각합니다. 모하비나 팰리세이드를 티볼리급으로 만드네요, 이 차량 금액이 아깝지 않은 차라는건 확실한 것 같습니다.",7
64,오! 탐나는 차인거 같습니다!,1
65,막내 작카님 원샷만 화질이 다름 ㅋㅋㅋ영상 다 정독하고 그거밖에 생각이 안남 ㅋㅋ,13
66,이건 평당 얼마인가요? 공간 널찍한게 좋네요,1
67,시에나하이브리드도 출시되었던데 시승기기대드리겠습니다,1
68,거 선영씨 영어 발음 너무 좋은거...,5
69,"와... 사람과 펠리 놓고 보니 정말 크네요 와... 크다...;; 일단 보자마자 드는 생각이 멋있다, 별로다 보다 그냥 크다;;; 것도 무지하게 크다;;",10
70,갓직히 미안해서 끝까지 보고 작카로 가드릴게요. 그래도 의리가 있지.,1
71,앞에 부분만 보고 작카로 넘어갑니다~^^,1
72,와....우리나라 주차칸 폭좀 늘리자,1
73,링컨 내비게이터랑 플랫폼이 같아서 거의 똑같은차라고 보시면 됩니다,1
