,comments,likes
0,"솔직히 포르쉐는 속도로 타는 차는 아니라 생각해요. 저는 아직 미성년자임에도 불구하고 주위에 718 타시는 친척이 계셔서 가끔 같이 탈때가 있는데, 배기음이나 부드러움, 무엇보다 감성이 미친거 같네요. 뭔가 전문적인 리뷰 잘봤습니다!",8
1,차분하게 설명해주셔서 귀에 더 잘들어오는 것 같아요 리뷰 잘봤습니다~~자주 리뷰해주셨으면 좋겠네요ㅎㅎ,14
2,진짜 뒷바퀴 광폭 타이어 듬직한거 봐라...,3
3,마칸 오너 입니다. Hard surface 도면 에서는 거의 80%이상 토크가 뒷축에 보내집니다. 아우디 Q5 같은 콰트로같은 경우는 반대라고 해야죠. PDK 기어 세팅이 저속에 몰려있는거 같아요. 실제로 제로백이 6초 초반으로 나옵니다.,9
4,깔끔한 리뷰 잘 봤습니다^^ 포르쉐는 포르쉐!ㅎㅎ,8
5,모터리언은 항상 옳습니다~~~감사합니다 좋은영상~~~건강 관리 잘하세요~세분다~~~,12
6,아이러니 하게도 마칸이 카이엔보다도 보기가 흔치않아서 그런지 포르쉐 라인업중에 저렴하다지만 생각보다 많이 보이지 않는단 말이죵.그래도 간혹가다가 보이기는 해여.😄😄,13
7,너무 잘봤습니다. 차분하게 알아듣기 쉽게 리뷰해주시네요.리뷰장소로 와인딩 떠나보고 싶습니다.혹시 알려주실수 있을까요?,9
8,영상 깔끔 합니다 박기자님도^^,7
9,스포츠플러스로 변경할시 엔진오일 온도는 몇도가 적당한가요?,4
10,잘 보았습니다.여러 면을 보았을때같은 엔진급의 벤츠e 클래스 트림 비교하면어떤게 나을까요?,2
11,제가 suv를 좋아하지만 큰차는 싫어하는데 큰개을 두마리 키우거든요. 개털 에디션 티구안을 타다가 지금은 개털에디션 이보크를 타는데 다음차는 꼭 마칸으로 가고 싶습니다. 리뷰 전체가 그냥 저를 위한 차네요. 하지만 돈이 없을듯.,9
12,유럽차는 성능 보단 비싼 맛(?)에 타는 거 같아요.  어느 정도 성능 있는 차는 기본 큰거 한장은 넘게 줘야 하니.,4
13,마칸갬성과 x6디자인 둘중 뭘골라야하는지 고민되네요,3
14,가장 저렴한 모델이라고 해도 ...차선 중앙 유지 기능이 없다는건 좀 그렇네요 ....포터에도 HDA 들어가는 시대인데 ...,4
15,옵션을 최소로 넣을땐 얼마나 들까요,3
