,comments,likes
0,"안녕하세요 김한용기자님, 저 박스터 촬영 때 자전거 타고 왔던 학생입니다! 사실 초등학교 3학년쯤부터 김한용님 팬이었는데 실제로 만나보니 진짜 좋았습니다^^. 촬영할 때 갔는데도 친절하게 말도 걸어주시고 사진도 찍어주셔서 감사합니다!",292
1,썸네일 만드는 담당자님 항상 재미있게 보고 있습니다.건강보다는 영상이 우선이니 영상 많이 만들어주세요. 감사합니다.,8
2,환경규제때문에 구형인 981GTS보다 배기량은 커져도 배기음은 그에 미치지 못하는거 같습니다 말씀하신것처럼 981GTS 중고가격방어가 이런요소들 때문이겠죠 ㅎㅎ,2
3,리뷰 잘봤습니다. 4.0에 자연흡기6기통이라 배기에 대해 조금 더 기대감이 있었는데 조금 아쉬운 느낌은 있네요. Gts가 더 좋은 느낌이 드네요 개인차겠지만 ㅎ,1
4,보는데 내내 가슴이 두근두근거리네요 ㅠㅠ 진짜 성공해서 언젠간 타고싶은차입니다,3
5,저의 드림카지만 리뷰영상으로만으로도 심장이 두근거리네요너무 잘봤습니다~~,4
6,이경규 아저씨 순한맛처럼 생기셨는데너무 호감이고 리뷰도 편하게 잘해주시네요 구독합니다,5
7,"영상 잘만드셨네요, 기자님 열정이 느껴져요",1
8,718 스파이더랑 궁극적인 지향점은 다르겠지만 단순 성능 비교로는 어떤가요? 확실히 GT4 라인업은 991부품이 대거 쓰여서 급이 다르다고 봐야하나요?,2
9,진짜 타고 싶다 꼭 산다..,2
10,9:22 이 분은 어떻게 가능한 거죠 ㄷㄷㄷ34:41 모카 피디들도 예능감이... ㅋ,41
11,전기차는 이걸 채워줄 수 없다는게 너무 슬프다.....,2
12,엔진이 없어서 고장이 안난다는 그 차군요...ㅎㅎ,3
13,기자님의 업텐션이 느껴집니다ㅋㅋㅋ,3
14,1억2천이 현실이었다니 ㄷㄷㄷ,1
15,편집도 잼있고ㅋㅋㅋㅋㅋㅋ오늘도 잘 봤습니다ㅋㅋㅋㅋㅋㅋ,2
16,수평대향 6기통엔진... 대박이네요...,6
17,참고로 4.0 gts 는 가변배기가 기본으로 장착되어있습니다! 옵션이 아니구요!,14
18,하 역대 718에서 마지막 엔진일거같은데...꼭타보고싶네요ㅠㅠ,1
19,폴쉐 지멘스랑 대기온실가스 캡쳐해서 만드는 E-Fuel 개발중이어서 내연 안버리는듯.. 리터당 몇만원 하겠지만 컬렉터들은 쓰겠죠.,1
20,역시 디자인은 개인적 호불호가 극명! 설마 완벽한 외관? ㅋㅋㅋ,3
21,와 드림카를 운전하는 모습 너무 보기 좋네요잘생겼어요!!!!♡♡,1
22,"소식통을 듣자하니 카이맨, 박스터는 향후에 전기차로 바뀐다고 하던데 시승차가 내연기관 마지막이 될수도 있겠네요.이차 소유하고 있으면 희소가치가 더 오르겠지요?",1
23,포르쉐 박스터 GTS 최고에요. ,1
24,진심 갖고싶다~개구리,3
25,9:10 알루미늄 주유캡 센터가면 테큅으로 가능합니다. ㅋㅋ 저는 파나메라gts인데 작년말에  센터에서 약 25만원 주고 했어요,3
