,comments,likes
0,두루두루 적당적당한 차 아닌가싶네요 물론 디젤이 규제가 심해졌지만서도 아직은 충분히 탈 수 있으니까더불어 2시리즈 후륜 시승이 기다려지네요,3
1,오우 부산에서 시승이 있었나요!?자주 다니는 대교와 길들이 보이네요!골프 8세대 시승기잘보고 갑니다,2
2,"이해가 잘되게 시원스러운 리뷰, 요즘은 믿고봅니다 수고하셨습니다.",2
3,리뷰는 역시 김상영기자님~^^,1
4,GTI출시하면 벨로스터N이랑 비교해주세요 ㅎㅎㅎ,1
5,부산서 촬영하셨네요. 반가워서... ㅎㅎㅎ 새해 복 많이 받으세요.,2
6,"전 1시리즈가 가장 최우선이엇고, 그다음 a클래스 그다음이 골프엿음. 가격이 3800정도인데 할인도 없고 아쉬운게 너무 많음",2
7,듀얼클러치는 확실히 폭스바겐그룹이 넘사인듯 아 골프 잘나왔네,1
8,6세대 보니 기아와 달리 보닛 잠금쇠에 페인트가 칠해져 있지않아 좋았다 녹도 안쓰고 왜 기아는 지금도 칠할까 마치 종이로 감싸지않고 칠해놓은 한국 통조림처럼 현대차도 그런가요? 도어엔 안칠하면서,1
9,비엠 120아이와 비교해주세요,2
10,사고싶어도 이미 올해물량 계약끝남,2
11,한국에 안 나오겠지만 i30 4세대는 가솔린 터보 뿐만 아니라 하이브리드까지 나오겠죠....,1
12,네비에서 안될거 알고무선으로 애플카플레이 지원진짜 머리 잘쓴거다,1
13,2:37 좋좋소 출장가면서 꼽주던 도로다 ㅋㅋㅋㅋㅋ..,2
14,존버 해야한다 ID.4,1
15,걱정할게 없다는게 사실입니꽈?,3
16,"우리나라에서 일명 ""해치백의 무덤""이라고도 불리지요... 일단 세단이나 suv가 인기가 많은 상황이라서... 작은 크기에다가 해치백이면은그거 살 바엔 다른 차 사는게 낫지 않아?? 해치백은 왜 사?? 이런 이야길 듣는 경우가 많은데, 전 개인적으로 골프도 괜찮던데 말이지요...뭔가 디자인에서 날렵하게 선을 살린 느낌이 드네요...",1
17,제발 가솔린 좀 어떻게 안될까....ㅠㅠ,3
18,7세대 산 사람들이 승자,1
19,디젤만...,1
20,"6:33 감자탕집 비유에서 팬티가 축축해졌습니다, 갈아입고올게요",2
21,소형차 듀얼클러치 덜크덩 덩크렁,1
22,지금 디젤 사면 중고로 팔 때 고생 좀 할 것 같네요 ^^;;,2
23,"솔까 2.0 TDI를 믿고 탈수있는지는 모르겠구요, R버전이면 믿고 탈수있을것 같습니다.",2
24,독일 디젤똥은 죄다 한국으로 오네!,1
25,가성비가 안 나오는차...,1
26,디젤이 무슨 죈가? 이걸로 사기친 폭바디젤은 죄다.,1
