,comments,likes
0,시승기마다 평들이 생각보다 좋은편이네요. 딱 필요한 부분만 있고 승차감 좋고 기본기 좋은. 실용성에 중점을 두는 분들한테는 좋은 선택지일듯하네요.물론 지금은 안팔지만. 내년 페이스리프트도 좋은가격에 나오면 좋겠네요,127
1,잘 보았습니다. 제품에 대한 시각과 전반적인 정보 제공 방향이 정말 좋았습니다. 좋은 정보 감사합니다. 국내 제조사들도.. 또 하나의 본이 되는 차량이 되기를 희망합니ㅏㄷ.,11
2,긴 영상임에도 중복적이지 않고 깔끔한 리뷰라 편히 봤습니다. ^^ 믿고 봅니다.,1
3,사이드미러 수동이 단점인데 오프마켓에서 다이가 가능하니 큰문제점은 안될거같네요~~~옵션진짜 굿이네요~^^,11
4,;; 약을 올리시다뇨~~ 가성비 진짜 넘사벽이네요 그가격에 통풍까지 있다니;;폭스바겐 디자인은 정말 점잖은 느낌이어서 참 맘에 들어요~,17
5,gv70 런칭때 영상은 별루였는데 이 제타 영상은 꽤 객관적인 시승기로 느껴지네요. 2300만원에 비교하면 매력적이네요. 익스테리어는 올드해보이는건 별루지만,3
6,삼각점 같은 어이없는 디자인 1도 없지만 탄탄하고 고급진 느낌의 독일차 느낌 제대로 살린 명차임. 주행도 독일차의 탄탄한 느낌에 정숙성 주행성이 좋은차임. 이건 사야지.,6
7,"제타 차주인데 실용성과 가성비를 추구하는 제 입장에서는, 모든면에서 매우 만족스럽습니다. 사이드 미러가 수동인것만 빼구요..ㅎㅎ",22
8,국내시장 현대기아차의 독점을 막기위해선 이런 해외차 유입 필요하다 봅니다.,238
9,"이거 사고싶다...김한용씨 리뷰어 정말 중요합니다.이분의 리뷰어가 판매량에 30%정도 영향을 미친다는 얘기가 있어요.그만큼 객관적이고 냉정함이 필요하다고 생긱해요.그리고 퍼온내용인데 알려드려야할것같아 같이 올리니 읽어보세요.우리사회에 악마들? 머 그런내용입니다.기어아슬란 이라죠~.현재 헌기차 신형엔진은 모두 불량품상태입니다.이미 미국에서 전량 리콜진행중인데도,겉만바꿔 신차라고 이렇게 계속 사기성 판매하는중~자국민 개돼지들 상대로 계속 이런짓하는 어이없는 반복 현실..ㅠㅠ.....너무하다 너무해....아무리 개돼지들이라도....헐~ ""헌기차 하남대리점 여소장""이란 단어 아시나요? 아직 모르시는분있을것같아서 알려드리자면 자동차회사에서 특히 헌기차는 영맨들을 최악의 조건으로 부려먹는데 헌기차 대리점 영맨은 하청에 재하청 사원보다도 열악한 알바신분이라는 사실이 밝혀져 충격을주었는데요.그런 불쌍한 영맨들 등처먹는 유일한 헌기차 소장으로 절라도 오리지널 하남여소장이랍니다.지금까지 한명도 영맨 월급 수수료 안떼먹힌 사람이 없다니 얼마나 악질인지 알만하죠.가장 열악한 헌기차 영맨들의 법적 약점(알바신분)이용해 수수료(월급)를 상습적으로 떼먹고 해고하는 아주 아주 악질여소장으로 알려졌는데 역시 몽그첩이라네요..생긴모습도 목소리도 완전 불여우랍니다...혹시 모르는분들 또 당할수있으니 이 내용 알려주자구요~...ㅠㅠ....",1
10,상품성 미쳤네.. 수리비만 적당하면 무조건 제타살듯,9
11,폭바가 욕먹은거 만회하려고 작정했나 보네요..이런 자세 대환영입니다. 많이 출시해서 국내시장 점유율 가져가길 바랍니다.,1
12,이런거 너무좋은듯. 앞으로 많이했으면 ㅠㅠ. 폭바 예전부터 너무 좋아하던 브랜드라 ㅠㅠ 꼭사고싶다.,5
13,"작은 파사트를 만들었군요. 파사트 몰아보니 상당히 부드럽고, 현대차 스러운 승차감이던데요. 아주 맘에 듭니다.",1
14,와~ 정말 가성비란 이런거다 라는걸 확실히 보여주네요,8
15,설명 참 디테일하게 하시네요.시내구간에서 설명하며 운행하는게 몇몇 구간에서 위험해보였습니다.,2
16,안녕하세요 모카 애청 구독자입니다~저는 차를 좋아하는데저희 집이 차를 가지고있지 않기에섬세하게 설명을 잘 해주시는  모카의 시승기를 꾸준히 보고 있습니다^^그러나 제가 자동차의 이름과 브랜드는 잘 아는데(연비 출력 터보 등)자동차 용어가 뭘 뜻하는건지를 잘 모르겠어서요ㅠㅠ 바쁘시겠지만 자동차용어 설명 영상도 만들어주실수있나요?? 부탁드립니다~,1
17,항상 차분하고 꼼꼼 한리뷰  ㅎㅎㅎㅎ2차 분량이야기도 내년초에 있던데 이렇게 만 계속 나온다면 그리고  보증도 5년10만 아니었나요 현기의 본진에 폭바가  초토화시킬날이 멀지 안았네요 ㅎ,1
18,아무리 생각을해도 이번 7세대 제타가 잘나오긴 한것 같습니다.일부옵션이 빠진건 아쉬울지 몰라도 CN7 아반떼보다야 더 나아 보이네요.,18
19,"점화플러그나 순정냉각수값, 엔진마운트같은 소모품가격만 합리적이면 엄청 좋을듯... 아무리봐도 현대기아차의 차값이 너무 비싸긴 하니깐",1
20,김한용기자님 너무좋아요 오래전부터 자동차관련 뉴스 봐왔는데 김한용기자님이 젤 담백하시네요 굿굿,7
21,사이드 미러 수동은 락폴딩 시공비까지 넉넉하게 8만원이면 사제로 달수있어서 별로 큰 단점은 아니라고 봅니다.근데 디자인이 나쁜건 아닌데 뭔가 올드해보여서... 전 디자인만 봤을땐 아반떼가 좀 더 나은것 같아요.,3
22,국산차를 견제할 수입차가 나타났다는 점에서 의미가 있는 자동차...뭐 사실 올해 팔린 제타보다는 내년에 나오는 페이스 리프트된 차가 더 중요하죠.. 진짜 팔려고 내놓는 차는 그때부터일꺼니깐요,1
23,전 개취이지만 모든 디지털화 되어가는 세상에 계기판 바늘이 더 머랄까 정감이 가고 특히 제타 같은 차에 어울린다라고  생각하네요,75
24,흥미 있게 잘 소개해 주셔서 즐겁게 봤습니다그런데 이 차가 싼이유를 재일 마지막에 설명해 주셨군요 '땡처리' 차였으니까 쌌잖아요 ㅎㅎㅎ,1
25,리뷰 잘 보았습니다.현재 저도 제타 2021년식 예약하고 대기중 입니다.한가지 아쉬운점은 2020년식과 2021년식의 차이점그리고 사이드미러 수동 및 운전석 거울이 광각이 아님점사제로 했을 경우 비용이나 요런것들 까지 같이 정보를 주셨다면더 좋았을거 같습니다 ^^,1
26,실물봤는데 너무 예뻐요.. 준대형사이즈에 그런 디자인이면 별로였을것 같은데 준중형사이즈라 예쁩니다 ㅎㅎ,10
