,comments,likes
0,"역시 모카는 밥먹으면서 편안하게 보는게 최고네요! 좋은 리뷰 잘봤습니다!개인적으로 저희 아버지께서 11년식 파사트 오너이신데, 과거의 파사트를 직접 경험한 상태에서 리뷰를 봐서 이해가 더 잘되네요! 파사트 정말 기본기 충실한 차 맞습니다! 아버지도 한 번도 큰 고장없이 잘 타고다니시거든요. 폭스바겐 앞으로의 행보가 기대가 되네요! 가격을 더 낮춰서 현기를 위협했으면 합니다! 정신차리게 ㅎㅎㅎ",4
1,모던하면서도 클래식한 독일 디자인의 끝이네. 인테리어 좋네요. 심심할 수는 있어도 쉽게 질리지 않는 디자인임.,16
2,역시 관록의 자동차 블러그 답네요 리뷰가 차를 타고 같이 가는것처럼 차의 느낌을 잘 설명해주시네요 설명듣고 깜짝 놀라고 갑니다 ㅎㅎ한용이형님 작정하고 리뷰를 하시는건가요 대단하십니다 ㅎㅎㅎ시승안하고도 차의 느낌이 그대로 느껴지네요 ㅎㅎㅎ,8
3,역시 모카. 시승기는  실망시키지않습니다. 수고하셨습니다,3
4,패밀리세단에 4기통 디젤+DCT 조합이 우리나라 운전자의 취향과는 다소 거리가 먼데 소음과 진동 측면에서도 설명이 있었으면 좋았을것 같습니다,1
5,합리적인 가격에 질리지 않는 디자인. 잔 고장 없고 연비도 좋은 자동차.,2
6,작년에 이맘 때 쯤 티구안 구매했는데...파사트 너무 사고싶네요 ㅠ기능적인 부분도 늘어나고 디자인도 좋아서 뽐뿌오네요,12
7,"김한용 리뷰어님 국산 프리미엄(?) 대형세단의 심한 차제 단차들을 생각하면 폭스바겐 파사트 GT의 단차가 없는 깨끗한 보닛 라인은 소비자로서 의미가 매우 크다고 생각하며, 지금 잘나가는 국산 준대형 세단을 구입해 오일 증발 현상과 소음 때문에 고생을 하며 투정을 부리는 소비자를 보면 더더욱 폭스바겐 파사트 GT의 가치가 돋보이는 것 같습니다.  흉 프락치들이 숨어있는 국토부나 소보원을 믿지 말고 폭바파G로 바꿔 타는게  낫다고 생각합니다. PS 과거 폭바 티구안의 자차 무게 5배를 견디는 차체 루프강성을 봤을 때 패밀리카로 파사트 GT 안전성도 믿음이 갑니다.",2
8,아테온 구입한지 1년되었는데 당연히 잔고장 없고 디젤이라 찬밥이지만 연비 좋고 기본기 좋고 안전장비도 충실하고 국산차 대비 가격도 합리적이고. 만족도가 정말 좋습니다.다음차도 폭바 사려구요.뚜아랙 혹은 티구안 등 SUV를 언젠가 또 구입할수도~파사트 지티도 강추드립니다.,10
9,폭스바겐은 클래식한 자동차의 표본을 보여주는듯..,16
10,와!  자율주행 고속에서 저정도 빠져 나가면 좋내여 지리네,2
11,치우치지않은 리뷰 언제나  잘보고있습니다,1
12,"파사트 GT 엔이 a6 엔진이랑같은거 쓴다던데./3년전엔가 렌트카빌러서 딱하루 몰아봣는데차정말 좋구나 라고느낌. 기본기가 아주아주 좋았고 치고나가는거며 연비며 전부다 좋앗음.     그느낌을 신형 그렌져나  k7 이런차에선 절대 느낄수가없음,.",4
13,멋진 시승가 감사드려요~,3
14,디젤이지만 너무 맘에 드는 차량이네요.연비와 출력 토크 세마리 토끼를 잡은...,7
15,폭스바겐 디자인은 참 안질리고  세련되서 좋음,14
16,H사 임원차였던 파샤트TDI 2014년식 2년 됐을때 매입해서 5년동안 정말 잘 탔던 차. 최근 새차로 바꿀때 암튼 그 기분이..  정말 소모품만 갈아줬는데~네비빼고는 잔고장없이 없었음..독일차 클라스는 어마어마함. ㅎㅎ,12
17,"몇년전에 3천주고 현기 아닌 국산차 구매해서 만족하면서 타고 있는데, 주변 사람들 차 뽑을때 가격들으면 ㅎㄷㄷ함 이제는 수입차가 할인이 많아서 더 저렴해지는 시대가 오나봄.. 이래나 저래나 할부끼고 사는 사람이 많을테니까",1
18,파사트 GT는 가솔린 모델이 한국에 수입될일 없다 = 독일차중 미국에 수출하는 가솔린 모델이 존재해야 한국에도 그 가솔린 모델이 수입된다 이거 첨 알았네요~ 좋은 정보임다.,4
19,저렴해보이지는않네요ㅋ 김한용기자님새해건강하시고 복많이받으세요,2
20,파사트는 세단이 아니라 웨건이 진짜 실용적임. 유럽에서는 대부분 웨건으로 회사차들이 많음.,4
