,comments,likes
0,요즘 막 여성분들 앞세워서 하는 자동차 시승기가 많은데 제대로 된 최고의 자동차 시승기는 역시 오토뷰죠!!,173
1,대차로 며칠 받아서 운행해보니 핸들링 코너링이 SUV의 느낌이 전혀 아니더라고요서스펜션도 무지 고급지고 계기판 위치도 맘에 들고 오토홀드가 없는거 빼면 별로 단점이 없었어요투싼 NX4 대비 스펙상 출력 차이가 큰데 고속도로는 며칠동안 못 나가봐서 고속은 모르겠지만시내주행은 디젤엔진이라 그런지 가솔린이었던 투싼 대비 더 여유롭더라고요브레이크도 더 안정적이더군요 푸조라는 브랜드에 대해 잘몰랐는데 며칠간 좋은 경험을 했네요,9
2,"역시나 믿고보는 오토뷰 잘 봤습니다. 푸조 좋아하고 3008 시승도 해봤습니다. 자신만의 매력을 가진건 분명한데 막상 사려고 하면 전륜구동, 촘촘하지 못한 서비스망, 그리고 높은 가격 때문에 배제하게 됩니다. 비슷한 가격과 브랜드 포지션에 티구안이라는 좋은 대안이 있기 때문입니다. 실구매가 4000만원을 들고 저 급의 수입 SUV 를 고른다면 티구안, 3008, CR-V 를 생각할 수 밖에 없는데 서비스망을 생각하면 답정너 티구안이죠. 그리고 푸조의 브랜드 네임밸류에 비해 너무 비쌉니다. 전륜구동 3008 이 티구안 4모션 보다 비싼 가격을 누가 납득할 수 있을까요. 푸조가 한국에서 판매량을 늘리려면 가격을 500 씩 내리고 서비스망을 더 확충해야 합니다.",14
3,"이제 곧 푸조코리아 들어오니 기존보다 서비스,운영 등 모든 면이 좋아질것...",23
4,마지막 멘트가 좋게 다가오네요..많이 팔리고 관심도가 높은 모델이 아니더라도 소비자들을 위해서 영상을 제작하신다는 그 마음이 크게 와닿습니다.오토뷰 정말 감사하네요,10
5,20:40 방향성 진짜 개멋있다 오래 쭉 이어졌으면 좋겠다 이게 차리뷰지,28
6,내년부터 한불 딜러쉽 종료되고 푸조코리아 정식으로 출범한다고 합니다~  현지화도 더 잘될거라 기대되네요~,12
7,역시 오토뷰 !! ,2
8,멋진채널 늘 응원합니다,1
9,각 회사마다의 특성이나 차량특성을 알고싶다면 오토뷰를 여러번보는 일인입니다 ㅎㅎㅎ 여러차종 해주시면 저라도 여러번 보겠습니다,1
10,이런차들도 가격경쟁 이겨서 흥했으면 좋겠다. 워낙 세계 유례없는 독점시스템이라...,16
11,가솔린도 같이 나왔으면 고민했을텐데,2
12,싼데 서비스거지같은차.. as쉣! 특히  일산서비스센터  쉣!...팔고 에비에이터로온게  신의한수..   일산섭스에서못고친다고 성수로  몇번 노가다시킴  ..부품도 한달이상걸림알게모르게  디젤엔진누유 작살..못고침.,12
13,역시 멋진리뷰 감사~~,6
14,진짜 좋은데 안팔려서 안타까운 차...,3
15,정도를 걷는 믿음직스런 자동차 채널,1
16,페이스리프트 전 모델도 첫해만 1.6블루hd에 아이신6단 들어가고 2년간 1.5블루hd에 아이신8단 들어갑니다. 그래서 페이스리프트 전 후 모델로 엔진과 미션을 비교하는건 아닌거 같습니다. 타이어는 그대로 컨티넨탈이었는데 이게 우리나라 도로 노면을 타는 타이어라 바꼈는데 더 안좋나보내요ㅎㅎ 잘 봤습니다,3
17,오토뷰는 사랑입니다,1
18,직접타본 일인으로가성비짱 좋아요 연비는 뭐 말할것도 없조ㅡ 서비스비용부분 안좋다하는데타사와비교해도 나쁘지않습니다제가탄모델은핸들링 코너링도 굿이였어요,4
19,디젤장인 푸조,16
20,자동차 리뷰는 오토뷰 뿐입니다…^^!다른채널은 어그~~~ 로 끌려고  … 이성을 끌어들이는데… 오토뷰는 오직 차의 이야기뿐이라 좋습니다.. 정확한 정보를 전달하는데 힘쓰는 오토뷰 화이팅 입니다..,14
21,동급 동가격대에서 이렇게 확실하게 살 이유가 전혀 없기도 힘들다,20
22,"제로백 측정 때, 가속되는 소리가 영상에 녹음이 빠진 것이 아쉽네요",5
23,푸조 차는 좋은데 인식이 안바껴서 안타깝습니다. 과거 20대때 207cc 애용했는데 지금도 생각이 나는 좋은 차였다고 생각합니다.지금은 실내외 디자인까지 특징있게 잘 발전해온거같으니 상품성만 개선하면 될거같네요.영상 잘보고 갑니다!,23
24,푸조는 2~3년 뒤에 사는게 꿀팁이지,1
25,"시승기는 오토뷰죠푸조 차 좋습니다내년에 푸조코리아 생김니다As , 가격 등등에서 많은 변화가예상됩니다.현기랑은 한 차원 다른차 입니다세세한 부분에서 특히!!스탤란티스가 새 주인이라더욱 기대됩니다",2
26,외형은 진짜 멋지네,6
27,푸조 좋죠 차가 취미인 사람들은 다알죠 다만 ....,3
28,음 곧 페이스 리프트 되면 가격 떨어졌을때 사는게 제일 좋아 보이는데 푸조가 신형 나왔다고 길거리에 널린 차도 아니라서 딱히 구형 탄다고 위쉬울맘도 적을듯,1
29,잘 봤습니다 ㅎㅎ,2
30,푸조는 엔진도잘 만들지만 차체 무게중심 정말 잘잡는다고알고있습니다 브랜드떼고보면 매우 상위권이라생각됩니다옵션은 빼구요ㅋㅋㅋ,3
31,국산화가 르노가 아니라 뾔조가 됐어야 했다는 생각을 자주 합니다. 남의떡 효과인지 모르겠지만 르노보다 푸조가 훨씬 더 있어보여요.,11
32,연비측정하실땐 리셋하고 하시나요?  또 자동차 최고의 승차감은 차에 적힌 적정공기압에서 나오나요?,1
33,3008 1.2 가솔린모델도 출시됐다던데 기회가 닿으면 비교 리뷰해 주시면 좋을거같습니다.,1
34,PD님 숨소리 멋짐,2
35,태형이 만족스럽다면 만족스러운 차란거다~,1
36,20:40 리뷰어로서 제작자로서는 거의 금기시 되는 멘트인데 솔직하게 풀어주시네요 ㅎ,2
37,"푸조 리뷰는 안봐왔는데, 제목에 여기도 관심 좀! 하셔서 들어왔어요^^",1
38,역시 멋집니다 !!!!!! 고인물 팬으로서 항상 신뢰합니다 짱,3
