,comments,likes
0,판매완료 되었습니다~!!,4
1,푸조 성덕이신게 딱 보이네요!!,4
2,"부품수급이나,정비는 힘든가요..?관심있게보고있는매물입니다",3
3,다른 rcz는 없나요 저도 구매하고 싶어서요,2
4,젠쿱보다 디자인은 인정,3
5,오 고속주행 할 때 어떤지 궁금하네요,3
6,이 차 메리트는 없더군요. 지인이 1만타고 팔았어요.,2
7,근데 푸조랑 브라부스랑 무슨 관계있나요??,3
8,신기하게도 생겼네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3
9,푸조에서 스포츠카가 나옴????,3
10,저게 왜 단종이 됬을까..지금이면 더 빠르고 멋있을 뜻,5
11,Peugeot RCZ a dream,2
12,you know there is american top gear lol,1
13,You have gotten to have English subtitle.,1
14,"they are not Americans, they are British,lol",1
15,가솔린에 수동에 소형차 내가 파는 206rc 좀 사가세요 ㅋㅋ,1
16,한불모터스 나쁜.... 가솔린 좀 다오,1
17,"왜 자꾸 푸조를'뿌조,뿌조'라고 발음을 하시는지...",6
18,2011 푸조 RCZ 1.6차량정보 상세보기:http://api.meetcha.co.kr/mccarinfo/carDetail?carNumber=49오4878,1
19,팔렷나요? 더 싸게는 안되나요?,3
20,목소리가 정말 예쁘세요,2
21,팔렸나요~~??!!??,2
22,데이라이트 없고 라이트도 hid인가?Led가 아니라.?쩝..,1
23,갬성갬성~실내도 갬성 넘치는 디자인이 이뻐요,1
24,사고 싶은데 한번더 안하나요?,1
